name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Simfer Cuisinière à Gaz - 4Feux 50×50 gris - Garantie 1 an,69 900 FCFA,https://www.jumia.sn/simfer-cuisiniere-a-gaz-4feux-5050-gris-garantie-1-an-10039347.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/393001/1.jpg?0442,True,85 000 FCFA,18%,,
SMART TECHNOLOGY Machine à Café + 2 tasses - 0.24L -STPE-1202C - 450W - Noir,9 900 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-2-tasses-0.24l-stpe-1202c-450w-noir-9902214.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/22099/1.jpg?7867,True,15 000 FCFA,34%,3.4 out of 5,(65)
Generic Mini Mixeur de Fruits Portable électrique Rechargeable avec USB - 380ml - Mauve,5 500 FCFA,https://www.jumia.sn/mini-mixeur-de-fruits-portable-electrique-rechargeable-avec-usb-380ml-mauve-generic-mpg39694.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/33988/1.jpg?0464,False,9 000 FCFA,39%,3.3 out of 5,(30)
SMART TECHNOLOGY Machine à Café - 0.6L -STPE-1707C - 550W - Noir,10 600 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-0.6l-stpe-1707c-550w-noir-9902213.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/22099/1.jpg?7868,True,18 000 FCFA,41%,4.4 out of 5,(14)
Wireless Pompe à Eau électrique Rechargeable,3 199 FCFA,https://www.jumia.sn/pompe-a-eau-electrique-rechargeable-wireless-mpg20826.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/48749/1.jpg?2101,False,3 290 FCFA,3%,4.2 out of 5,(44)
SMART TECHNOLOGY Machine à Café - 0.6L -STPE-1707C - 550W - Noir,11 200 FCFA,https://www.jumia.sn/smart-technology-machine-a-cafe-0.6l-stpe-1707c-550w-noir-9959364.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/39599/1.jpg?6590,True,18 000 FCFA,38%,3.5 out of 5,(2)
Generic Blender Mixer Portable et Rechargeable Via USB,5 500 FCFA,https://www.jumia.sn/blender-mixer-portable-et-rechargeable-via-usb-generic-mpg32674.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/73043/1.jpg?5993,False,,,3.8 out of 5,(8)
Generic Lampe Anti Moustique - Blanc,5 990 FCFA,https://www.jumia.sn/lampe-anti-moustique-blanc-generic-mpg11781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/50529/1.jpg?3807,False,,,3.4 out of 5,(8)
Marado Bouilloire en Verre à LED Marado 2 Litres - 1500 W - 220 - 240 V / 50 HZ,9 300 FCFA,https://www.jumia.sn/marado-bouilloire-en-verre-a-led-marado-2-litres-1500-w-220-240-v-50-hz-9735035.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/05379/1.jpg?7426,False,15 000 FCFA,38%,4.3 out of 5,(4)
Generic Mixeur 3 en 1 multifonctions 800W,13 500 FCFA,https://www.jumia.sn/mixeur-3-en-1-multifonctions-800w-generic-mpg39757.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/15289/1.jpg?1774,False,,,4.1 out of 5,(33)
