name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Clé USB Micro Android OTG - 64GB,4 498 FCFA,https://www.jumia.sn/generic-cle-usb-micro-android-otg-64gb-9106399.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/36019/1.jpg?0918,True,7 824 FCFA,43%,3.8 out of 5,(105)
Generic Sac A Dos Ordinateur Portable A Port USB - Noir/Gris,5 900 FCFA,https://www.jumia.sn/sac-a-dos-a-port-usb-noirgris-generic-mpg46092.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/85016/1.jpg?6610,True,13 394 FCFA,56%,3.7 out of 5,(120)
Generic Souris Sans Fil Rechargeable - 2.4Ghz - Noir,2 200 FCFA,https://www.jumia.sn/generic-souris-sans-fil-rechargeable-2.4ghz-noir-6094102.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/14906/1.jpg?4412,True,4 584 FCFA,52%,4.2 out of 5,(169)
Generic Clé USB 2.0 - 32GB - Argent,2 968 FCFA,https://www.jumia.sn/generic-cle-usb-2.0-32gb-argent-6094106.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/14906/1.jpg?4413,True,5 820 FCFA,49%,3.7 out of 5,(40)
Disque Dur Externe Seagate - 1 To - Noir,26 900 FCFA,https://www.jumia.sn/disque-dur-externe-1-to-noir-seagate-mpg27579.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/756/1.jpg?2038,True,57 215 FCFA,53%,4.4 out of 5,(81)
Generic Mini support d'ordinateur portable pliable en métal,1 990 FCFA,https://www.jumia.sn/generic-mini-support-dordinateur-portable-pliable-en-metal-9488653.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/68849/1.jpg?5989,True,4 490 FCFA,56%,4 out of 5,(1)
Generic Course De Souris Radio-argent,1 700 FCFA,https://www.jumia.sn/generic-course-de-souris-radio-argent-9096334.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/36909/1.jpg?5310,True,3 604 FCFA,53%,3.7 out of 5,(56)
Generic Tapis De Souris 70 * 30 Cm Caoutchouc Souple,2 500 FCFA,https://www.jumia.sn/generic-tapis-de-souris-70-30-cm-caoutchouc-souple-9801071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/01089/1.jpg?3902,True,4 902 FCFA,49%,3.5 out of 5,(4)
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés Noir,4 900 FCFA,https://www.jumia.sn/10000mah-power-banks-4-cables-tres-mince-de-charge-integres-noir-generic-mpg44904.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/01579/1.jpg?1502,False,9 000 FCFA,46%,4 out of 5,(10)
Generic Souris De Jeu Gamer - 6 boutons - Noir,2 490 FCFA,https://www.jumia.sn/generic-souris-de-jeu-gamer-6-boutons-noir-6094103.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/14906/1.jpg?4415,True,4 882 FCFA,49%,4.2 out of 5,(48)
Generic Sac A Dos A Port USB - Gris,6 831 FCFA,https://www.jumia.sn/generic-sac-a-dos-a-port-usb-gris-8841544.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/51488/1.jpg?6937,True,13 394 FCFA,49%,3.8 out of 5,(29)
Nb Clé USB - 32Go - Noir,2 800 FCFA,https://www.jumia.sn/cle-usb-32go-noir-nb-mpg7833.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/46539/1.jpg?2442,False,7 000 FCFA,60%,4.1 out of 5,(130)
Generic Clé USB Clé USB 64G avec porte-clés,5 200 FCFA,https://www.jumia.sn/generic-cle-usb-cle-usb-64g-avec-porte-cles-9843713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/73489/1.jpg?6206,True,10 000 FCFA,48%,4.5 out of 5,(2)
Generic Support ordinateur - Noir 9 à 17 pouces - 37W x 26.5D x 33H,2 900 FCFA,https://www.jumia.sn/support-ordinateur-noir-9-a-17-pouces-37w-x-26.5d-x-33h-generic-mpg35621.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/35149/1.jpg?5346,False,10 000 FCFA,71%,3.5 out of 5,(31)
Generic Carte mémoire Carte Micro SD 64 Go Carte TF,5 760 FCFA,https://www.jumia.sn/generic-carte-memoire-carte-micro-sd-64-go-carte-tf-9843699.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/63489/1.jpg?6207,True,11 294 FCFA,49%,5 out of 5,(1)
Fashion 3 pièces Fashion Sac à dos hommes Sac à dos ecole pour les voyages,6 500 FCFA,https://www.jumia.sn/fashion-3-pieces-fashion-sac-a-dos-hommes-sac-a-dos-ecole-pour-les-voyages-9731443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/41379/8.jpg?3038,True,10 235 FCFA,36%,4.4 out of 5,(33)
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés Noir/blanc,6 000 FCFA,https://www.jumia.sn/10000mah-power-banks-4-cables-tres-mince-de-charge-integres-noirblanc-generic-mpg32110.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/58749/1.jpg?2106,False,25 000 FCFA,76%,4.6 out of 5,(7)
DAKEWEI SN Carte Mémoire - 32 GB - Noir,2 800 FCFA,https://www.jumia.sn/carte-memoire-32-gb-noir-dakewei-sn-mpg20863.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/46539/1.jpg?3673,False,7 000 FCFA,60%,3.7 out of 5,(67)
Generic Souris De Jeu Gamer - gris,1 900 FCFA,https://www.jumia.sn/generic-souris-de-jeu-gamer-gris-9096335.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/36909/1.jpg?7784,True,4 310 FCFA,56%,4 out of 5,(25)
"Hp Mini HP Stream - Ecran 11"" - Dual Core - RAM 4Go - Stockage 64Go - Noir",119 900 FCFA,https://www.jumia.sn/mini-hp-stream-ecran-11-dual-core-4go-ram-64go-emmc-hp-mpg45757.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/41879/1.jpg?1784,True,230 000 FCFA,48%,4 out of 5,(1)
Generic Mini Ventilateur Portable Rechargeable - Alea-6,2 400 FCFA,https://www.jumia.sn/mini-ventilateur-portable-rechargeable-alea-6-generic-mpg39718.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/73198/1.jpg?4768,False,6 000 FCFA,60%,2.8 out of 5,(4)
DELL Pro Sleeve 15 - housse d'ordinateur portable,6 900 FCFA,https://www.jumia.sn/dell-pro-sleeve-15-housse-dordinateur-portable-9478406.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/48749/1.jpg?1153,False,14 000 FCFA,51%,4.2 out of 5,(6)
Generic Adaptateur OTG Micro USB mâle vers USB 3.1 femelle COULEUR NOIRE,665 FCFA,https://www.jumia.sn/generic-adaptateur-otg-micro-usb-male-vers-usb-3.1-femelle-couleur-noire-9792116.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/12979/1.jpg?3965,False,801 FCFA,17%,4.1 out of 5,(10)
Imation Clé USB IMATION - 32 GB - Noir,2 800 FCFA,https://www.jumia.sn/cle-usb-imation-32-gb-noir-imation-mpg10140.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/72739/1.jpg?6184,False,5 000 FCFA,44%,4.1 out of 5,(49)
