name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion Lot De 4 T-Shirt En Coton à Manches Courtes Pour Hommes,7 900 FCFA,https://www.jumia.sn/lot-de-4-t-shirt-en-coton-a-manches-courtes-pour-hommes-fashion-mpg31616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/27005/1.jpg?2633,True,16 000 FCFA,51%,3.8 out of 5,(583)
Fashion 2022 Basket Class Pour Homme - Kaki,6 999 FCFA - 7 999 FCFA,https://www.jumia.sn/fashion-2022-basket-class-pour-homme-kaki-6034146.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/14306/1.jpg?3832,True,15 980 FCFA,56%,4.1 out of 5,(148)
Fashion Baskets à Lacets Respirants pour Hommes de Couleur Unie,7 450 FCFA,https://www.jumia.sn/fashion-baskets-a-lacets-respirants-pour-hommes-de-couleur-unie-6042852.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/82406/1.jpg?3360,True,14 608 FCFA,49%,3.9 out of 5,(385)
Starvalley Nouveau Baskets De Mode pour Hommes - Gris,2 990 FCFA - 3 490 FCFA,https://www.jumia.sn/nouveau-baskets-de-mode-pour-hommes-gris-starvalley-mpg37949.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/48263/1.jpg?8943,True,6 843 FCFA - 9 216 FCFA,68%,4.1 out of 5,(361)
Fashion Pantalons Chino pour Homme-Noir,5 400 FCFA - 5 850 FCFA,https://www.jumia.sn/pantalons-chino-pour-homme-noir-fashion-mpg43033.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/83616/1.jpg?3791,True,5 990 FCFA,10%,3.5 out of 5,(228)
Fashion Chaussures Décontractées Pour Femmes,1 900 FCFA,https://www.jumia.sn/chaussures-decontractees-pour-femmes-fashion-mpg43030.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/07029/1.jpg?1607,True,8 000 FCFA,76%,5 out of 5,(3)
Fashion Men's Platform Daddy Shoes Mecha Transformers Sneakers,8 900 FCFA,https://www.jumia.sn/fashion-mens-platform-daddy-shoes-mecha-transformers-sneakers-9796387.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/36979/1.jpg?6294,True,10 567 FCFA,16%,4.6 out of 5,(33)
Fashion Sac à Main Sac à Bandoulière 4 En 1 - Noir,5 240 FCFA,https://www.jumia.sn/fashion-sac-a-main-sac-a-bandouliere-4-en-1-noir-9802475.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/42089/1.jpg?6260,True,10 320 FCFA,49%,,
Fashion Lot De 4 T-Shirt Bundle 100% Coton T-shirts à Manches Courtes Pour Hommes,7 900 FCFA,https://www.jumia.sn/lot-de-4-t-shirt-bundle-100-coton-t-shirts-a-manches-courtes-pour-hommes-fashion-mpg31615.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/83616/1.jpg?5587,True,16 000 FCFA - 18 627 FCFA,58%,3.8 out of 5,(176)
Fashion 2 anneaux élégants pour couple - argent,2 300 FCFA,https://www.jumia.sn/2-anneaux-elegants-pour-couple-argent-fashion-mpg31542.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/70394/1.jpg?7712,True,4 706 FCFA,51%,3.7 out of 5,(163)
