name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Tire lait électrique double,22 060 FCFA,https://www.jumia.sn/generic-tire-lait-electrique-double-9981881.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/81899/1.jpg?7021,False,55 800 FCFA,60%,,
Generic Kangourou - Porte Bébé 0 à 12 mois - Baby Carriers - Bleu,4 855 FCFA,https://www.jumia.sn/kangourou-porte-bebe-0-a-12-mois-baby-carriers-bleu-generic-mpg33872.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/20529/1.jpg?1231,False,4 900 FCFA,1%,3.2 out of 5,(20)
Generic Kangourou -Porte-Bébé de 0 à 2 ans - Baby Carriers - rouge,4 460 FCFA,https://www.jumia.sn/kangourou-porte-bebe-de-0-a-2-ans-baby-carriers-rouge-generic-mpg33873.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/10529/1.jpg?1603,False,4 800 FCFA,7%,4.2 out of 5,(17)
Generic Tire-lait Manuel Puissant Extracteur De Lait De Ventouse Biberon Pour L'allaitement Tire La Pompe à Lait De Mamelon,7 400 FCFA,https://www.jumia.sn/generic-tire-lait-manuel-puissant-extracteur-de-lait-de-ventouse-biberon-pour-lallaitement-tire-la-pompe-a-lait-de-mamelon-6077985.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/97706/1.jpg?3674,True,10 400 FCFA,29%,4 out of 5,(1)
MELOLAC Céréales - 50g,225 FCFA,https://www.jumia.sn/melolac-cereales-50g-9733598.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/53379/1.jpg?8003,True,,,1 out of 5,(1)
Generic Tire-Lait Manuel de Haute Qualité - Blanc,7 200 FCFA,https://www.jumia.sn/generic-tire-lait-manuel-de-haute-qualite-blanc-9843666.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/63489/1.jpg?0141,False,19 000 FCFA,62%,3 out of 5,(4)
Pampers Pack 1 mois - 72 couches - Pampers Baby Dry Mini - Taille 3,10 075 FCFA,https://www.jumia.sn/pampers-pack-1-mois-72-couches-pampers-baby-dry-mini-taille-3-9294574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/54929/1.jpg?3802,True,,,4 out of 5,(1)
Generic porte bébé kangourou 3 styles -rouge,4 900 FCFA,https://www.jumia.sn/generic-porte-bebe-kangourou-3-styles-rouge-9805392.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/35089/1.jpg?3323,False,9 500 FCFA,48%,3.7 out of 5,(3)
Generic Ensemble sac à langer & porte bébé kangourou ( 2 en 1),15 575 FCFA,https://www.jumia.sn/ensemble-sac-a-langer-porte-bebe-kangourou-2-en-1-generic-mpg33423.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/94539/1.jpg?7030,False,18 500 FCFA,16%,4.8 out of 5,(6)
Generic Trotteur Youpala Pour Bébé - ( multicolores) CA820938,18 900 FCFA,https://www.jumia.sn/generic-trotteur-youpala-pour-bebe-multicolores-ca820938-6106125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/16016/1.jpg?3825,False,50 000 FCFA,62%,4 out of 5,(4)
White Lot de 2 Biberon anti-coliques incassable Mer 250ml tétine,4 375 FCFA,https://www.jumia.sn/lot-de-2-biberon-anti-coliques-incassable-mer-250ml-tetine-white-mpg40283.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/75379/1.jpg?8237,False,14 000 FCFA,69%,4 out of 5,(5)
NIVEA Gel Douche - 3En1 - Corps/Visage/Cheveux - Homme,1 490 FCFA,https://www.jumia.sn/nivea-gel-douche-3en1-corpsvisagecheveux-homme-9840441.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/40489/1.jpg?7723,False,,,,
Generic Lit Appoint Bébé avec Moustiquaire -rose,7 500 FCFA,https://www.jumia.sn/lit-appoint-bebe-avec-moustiquaire-rose-generic-mpg34079.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/13168/1.jpg?2406,False,20 000 FCFA,63%,4.5 out of 5,(6)
Generic Sac à Langer 4 en 1 (2 Sacs+Trousse Biberon & Trousse),10 500 FCFA,https://www.jumia.sn/generic-sac-a-langer-4-en-1-2-sacstrousse-biberon-trousse-9797431.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/47979/1.jpg?9912,False,15 000 FCFA,30%,4.7 out of 5,(3)
Generic Sacs à langer pour bébé 4 pièces,9 000 FCFA,https://www.jumia.sn/sacs-a-langer-pour-bebe-4-pieces-generic-mpg35313.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/46539/1.jpg?3826,False,10 900 FCFA,17%,4 out of 5,(5)
Generic Gamme Complet Babymed Lait + Huile de massage + Savon douceur + Parfum + Pommade + Talc + Lingette,3 610 FCFA,https://www.jumia.sn/gamme-complet-babymed-lait-huile-de-massage-savon-douceur-parfum-pommade-talc-lingette-generic-mpg33576.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/75706/1.jpg?1487,False,3 890 FCFA,7%,4 out of 5,(23)
Pampers Couches Bébé Baby Dry Maxi - Taille 4 ( 9 - 18 kg ) - 32 Couches,5 560 FCFA,https://www.jumia.sn/pampers-couches-bebe-baby-dry-maxi-taille-4-9-18-kg-32-couches-9294578.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/54929/1.jpg?1111,True,,,5 out of 5,(2)
