name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Savonet Gel Lavant Liquide - Aqua - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-aqua-350ml-10030512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/503001/1.jpg?4350,True,,,,
Savonet Gel Lavant Liquide - Pêche - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-peche-350ml-10030513.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/503001/1.jpg?4615,True,,,,
La Cigale Savon De Marseille 4 x 100 Gr Miel,1 390 FCFA,https://www.jumia.sn/la-cigale-savon-de-marseille-4-x-100-gr-miel-10030535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/503001/1.jpg?6054,True,,,,
Renova Essuie-Tout Maxi Absorption - 1 Rouleaux XXL Extra,1 000 FCFA,https://www.jumia.sn/renova-essuie-tout-maxi-absorption-1-rouleaux-xxl-extra-10030537.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/503001/1.jpg?5478,True,,,,
La Cigale Savon De Marseille 4 x 100 Gr Glycerine,1 390 FCFA,https://www.jumia.sn/la-cigale-savon-de-marseille-4-x-100-gr-glycerine-10030534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/503001/1.jpg?6166,True,,,,
Generic Brosse Nettoyante Electrique Pour Visage - 5 In 1 - Rose/Blanc,1 454 FCFA,https://www.jumia.sn/brosse-nettoyante-electrique-pour-visage-5-in-1-roseblanc-generic-mpg32767.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/14906/1.jpg?4413,True,2 851 FCFA,49%,3.2 out of 5,(94)
Bio Karite Beurre de Karité Prémium Pur Non raffiné Bio Karité 100ml,550 FCFA,https://www.jumia.sn/beurre-de-karite-premium-pur-non-raffine-bio-karite-100ml-bio-karite-mpg28004.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/43406/1.jpg?1104,True,2 000 FCFA,73%,3.8 out of 5,(66)
Lanbena Liquide Blanchiment Dentaire Lanbena,2 900 FCFA,https://www.jumia.sn/liquide-blanchiment-dentaire-lanbena-lanbena-mpg30738.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/90288/1.jpg?9110,True,10 000 FCFA,71%,3.4 out of 5,(356)
Bio Naturelle Attoté original 100% naturel 500ml,6 000 FCFA,https://www.jumia.sn/bio-naturelle-attote-original-100-naturel-500ml-8820365.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/30288/1.jpg?1649,False,15 000 FCFA,60%,3.5 out of 5,(94)
Generic Tondeuse A Cheveux Electrique Rechargeable,4 273 FCFA,https://www.jumia.sn/generic-tondeuse-a-cheveux-electrique-rechargeable-9106321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/36019/1.jpg?9795,True,8 378 FCFA,49%,3.6 out of 5,(78)
Generic Balance Pesé Personne Eléctronique De Graisse Corporelle IMC,4 190 FCFA,https://www.jumia.sn/generic-balance-pese-personne-electronique-de-graisse-corporelle-imc-8841540.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/51488/1.jpg?9372,True,8 216 FCFA,49%,4.1 out of 5,(61)
TOPICREM Soins hydratant Ultra Hydratant Lait Corps 500ML + Savon surgras 150G Offert,8 900 FCFA,https://www.jumia.sn/topicrem-soins-hydratant-ultra-hydratant-lait-corps-500ml-savon-surgras-150g-offert-6062260.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/22606/1.jpg?9985,True,22 000 FCFA,60%,4.2 out of 5,(24)
Pocabana Déodorant Roll-On - 50 ML,650 FCFA,https://www.jumia.sn/pocabana-deodorant-roll-on-50-ml-1259412.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/49521/1.jpg?2494,True,1 500 FCFA,57%,4.6 out of 5,(18)
Generic Pack make up complet + 1 lip gloss et 1 crayon offert,8 700 FCFA,https://www.jumia.sn/generic-pack-make-up-complet-1-lip-gloss-et-1-crayon-offert-9415799.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/75149/1.jpg?1277,False,25 000 FCFA,65%,4 out of 5,(21)
Htc Tondeuse Professionnelle Sans Fil - Rechargeable AT 209 - 3W - Bleu,2 500 FCFA,https://www.jumia.sn/htc-tondeuse-professionnelle-sans-fil-rechargeable-at-209-3w-bleu-9368715.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/78639/1.jpg?0413,False,3 990 FCFA,37%,3.6 out of 5,(150)
TOPICREM Duo Lait Éclaircissant Ultra-Hydratant - 500 ml - Blanc,22 990 FCFA,https://www.jumia.sn/topicrem-duo-lait-eclaircissant-ultra-hydratant-500-ml-blanc-1211924.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/91121/1.jpg?1099,True,64 000 FCFA,64%,4.4 out of 5,(135)
TOPICREM Gamme Eclaircissant complète - Lait+Crème jour+Crème Nuit + Sérum + Savon,39 990 FCFA,https://www.jumia.sn/topicrem-gamme-eclaircissant-complete-laitcreme-jourcreme-nuit-serum-savon-6034267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/24306/1.jpg?0160,True,90 000 FCFA,56%,4.6 out of 5,(23)
Lanbena hair growth pousse barbe,1 490 FCFA,https://www.jumia.sn/hair-growth-pousse-barbe-lanbena-mpg36814.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/61488/1.jpg?3161,True,10 000 FCFA,85%,3.3 out of 5,(127)
Generic Tondeuse A Cheveux - USB - Noir,4 800 FCFA,https://www.jumia.sn/generic-tondeuse-a-cheveux-usb-noir-6105781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/75016/1.jpg?9663,True,9 875 FCFA,51%,3.9 out of 5,(59)
