name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Samsung Galaxy A03 Core - 4G - 6.5"" - RAM 2Go - ROM 32Go - Caméra 13+2MP - 5000mAh- Noir",48 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-core-4g-6.5-ram-2go-rom-32go-camera-132mp-5000mah-noir-6100199.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/10016/1.jpg?8517,True,75 000 FCFA,35%,4 out of 5,(56)
Generic Montres Bluetooth Intelligentes Pour Les Bandes Ios Et Android,5 390 FCFA,https://www.jumia.sn/generic-montres-bluetooth-intelligentes-pour-les-bandes-ios-et-android-9832502.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/52389/1.jpg?0039,True,9 945 FCFA,46%,,
TWS Ecouteurs Pro 5 - Android / Ios - Qualité Garantie,4 900 FCFA,https://www.jumia.sn/ecouteurs-pro-5-android-ios-qualite-garantie-blanc-tws-mpg38014.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/35965/1.jpg?3881,False,50 000 FCFA,90%,3.5 out of 5,(180)
"Samsung Galaxy A03 Core - 4G - 6.5"" - RAM 2Go - ROM 32Go - Caméra 13+2MP - 5000mAh- Bleu",48 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-core-4g-6.5-ram-2go-rom-32go-camera-132mp-5000mah-bleu-9845388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/35489/1.jpg?6701,True,75 000 FCFA,35%,3.9 out of 5,(34)
ARHANORY Support De Trépied Téléphone Selfie Anneau Lumineux-Noir,2 500 FCFA,https://www.jumia.sn/support-de-trepied-telephone-selfie-anneau-lumineux-noir-generic-mpg35576.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/03089/1.jpg?2238,True,5 600 FCFA,55%,3.6 out of 5,(32)
TWS Bluetooth headset 5.0 model KJ10,3 900 FCFA,https://www.jumia.sn/casque-sans-fil-bluetooth-noir-generic-mpg32865.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/36909/1.jpg?3853,True,8 898 FCFA,56%,3.6 out of 5,(7)
Generic Carte Mémoire Micro Sd - 32GB - Noir,1 798 FCFA,https://www.jumia.sn/generic-carte-memoire-micro-sd-32gb-noir-6094109.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/14906/1.jpg?4413,True,3 525 FCFA,49%,3.5 out of 5,(43)
"Samsung Galaxy A12- 4G - 6.5"" - RAM 4Go - ROM 64Go - Caméra 48+5+2+2MP - 5000mAh – Black",82 600 FCFA,https://www.jumia.sn/galaxy-a12-4g-6.5-ram-4go-rom-64go-camera-48522mp-5000mah-black-samsung-mpg37591.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/10016/1.jpg?0980,True,100 000 FCFA,17%,4.2 out of 5,(172)
Generic Écouteurs Bluetooth F9 + Capacité De Batterie 2000mAh,7 690 FCFA,https://www.jumia.sn/ecouteurs-bluetooth-f9-capacite-de-batterie-2000mah-generic-mpg36271.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/57216/1.jpg?0506,True,13 153 FCFA,42%,3.9 out of 5,(220)
Generic Écouteurs Stéréo Sans Fil Bluetooth 5.0 Micro,4 500 FCFA,https://www.jumia.sn/generic-ecouteurs-stereo-sans-fil-bluetooth-5.0-micro-8359844.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/89538/1.jpg?8667,True,8 824 FCFA,49%,3.8 out of 5,(124)
"Mione AB1 -Écran1.44"" - RAM 32 Mo - ROM 32 Mo - Dual Sim - Batterie 800 mAh - Noir/Rouge",3 900 FCFA,https://www.jumia.sn/mione-ab1-ecran1.44-ram-32-mo-rom-32-mo-dual-sim-batterie-800-mah-noirrouge-10003095.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/030001/1.jpg?5211,True,10 000 FCFA,61%,,
Generic Powerbank - 20000mAh - Rouge/Noir,5 398 FCFA,https://www.jumia.sn/generic-powerbank-20000mah-rougenoir-8841531.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/51488/1.jpg?9372,True,10 584 FCFA,49%,3.5 out of 5,(51)
Tecno POP 2F - 5.5’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - Batterie : 2400mAh - Noir,32 900 FCFA,https://www.jumia.sn/tecno-pop-2f-5.5-double-sim-rom-16-go-ram-1-go-camera-85-mp-batterie-2400mah-noir-5977478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/47795/1.jpg?5803,True,47 970 FCFA,31%,3.7 out of 5,(64)
"Tecno Spark 8P- 6.6"" - ROM 64Go - RAM 4Go - Caméra 50MP/8MP - 5000mAh - Tahiti Gold",73 550 FCFA,https://www.jumia.sn/tecno-spark-8p-6.6-rom-64go-ram-4go-camera-50mp8mp-5000mah-tahiti-gold-9790229.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/20979/1.jpg?6263,True,95 000 FCFA,23%,4.7 out of 5,(19)
Generic Casque Audio Sans Fil Bleutooth multicolore,5 900 FCFA,https://www.jumia.sn/casque-audio-sans-fil-bleutooth-multicolore-generic-mpg32862.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/70835/1.jpg?2865,False,25 000 FCFA,76%,4 out of 5,(67)
Generic Portable 20000mAh Banques De Puissance De Charge,3 325 FCFA,https://www.jumia.sn/generic-portable-20000mah-banques-de-puissance-de-charge-9096338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/36909/1.jpg?5310,True,6 520 FCFA,49%,4.4 out of 5,(10)
Generic Oreillette Bluetooth F9 5.0 - Noir,6 610 FCFA,https://www.jumia.sn/generic-oreillette-bluetooth-f9-5.0-noir-8852766.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/72588/1.jpg?0208,True,12 961 FCFA,49%,3.9 out of 5,(20)
TWS Ecouteurs Pro8s qualité garantie blanc,8 990 FCFA,https://www.jumia.sn/tws-ecouteurs-pro8s-qualite-garantie-blanc-9847069.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/07489/1.jpg?8600,False,35 000 FCFA,74%,,
