name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic 01 pcs Djellaba Unisexe Tenue très agréable à porter Ample,19 890 FCFA - 19 999 FCFA,https://www.jumia.sn/generic-01-pcs-djellaba-unisexe-tenue-tres-agreable-a-porter-ample-9900932.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/90099/1.jpg?2954,False,35 000 FCFA,43%,,
Generic Bain intime bac pour bain vapeur intime,9 100 FCFA,https://www.jumia.sn/bain-intime-bac-pour-bain-vapeur-intime-generic-mpg44910.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/04979/1.jpg?1969,False,,,5 out of 5,(1)
Gel Lavant Moussant à L'extrait De Lavande - 500ml,1 200 FCFA,https://www.jumia.sn/carrefour-gel-lavant-moussant-a-lextrait-de-lavande-500ml-3402406.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/42043/1.jpg?3382,False,,,5 out of 5,(1)
White Label Brosse de bain en silicone bleu,1 500 FCFA,https://www.jumia.sn/brosse-de-bain-en-silicone-bleu-white-label-mpg38323.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/90229/1.jpg?5393,False,,,3.8 out of 5,(5)
"Generic Serviette de bain - Coton - 1,5m x 1m - Orange",3 900 FCFA,https://www.jumia.sn/generic-serviette-de-bain-coton-15m-x-1m-orange-1215460.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/45121/1.jpg?3727,False,,,,
Generic Brosse de Bain Exfoliant Doux Massage En Silicone - Ecologique,1 890 FCFA,https://www.jumia.sn/brosse-de-bain-exfoliant-doux-massage-en-silicone-ecologique-generic-mpg32763.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/99429/1.jpg?0282,False,5 000 FCFA,62%,2 out of 5,(1)
Herb Day herbes naturelles pour bain de vapeur soin intime,7 000 FCFA,https://www.jumia.sn/herb-day-herbes-naturelles-pour-bain-de-vapeur-soin-intime-9248829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/88429/1.jpg?9966,False,,,,
Gel parties intimes antibacteriel,1 500 FCFA,https://www.jumia.sn/parties-intimes-antibacteriel-gel-mpg43836.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/22389/1.jpg?9334,False,5 000 FCFA,70%,,
Bassin siege de bain,15 000 FCFA,https://www.jumia.sn/siege-de-bain-bassin-mpg45155.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/40529/1.jpg?5369,False,,,4.5 out of 5,(2)
MAYANA Authentique - Savon Mayana tout type de peau - Aloé Vera,1 290 FCFA,https://www.jumia.sn/authentique-savon-mayana-tout-type-de-peau-aloe-vera-ozentya-mpg37300.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/60129/1.jpg?0038,False,2 000 FCFA,36%,,
Longrich Shampooing Anti-Pelliculaire - Blanc (300 Ml),8 500 FCFA,https://www.jumia.sn/longrich-shampooing-anti-pelliculaire-blanc-300-ml-8891103.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/11988/1.jpg?1599,True,,,,
White Label Gel douche exfoliant bb clear 600 ml,1 975 FCFA,https://www.jumia.sn/gel-douche-exfoliant-bb-clear-600-ml-white-label-mpg40418.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/46727/1.jpg?8183,False,2 200 FCFA,10%,4.3 out of 5,(3)
MAYANA Authentique - Savon Anti Acné - By Mayana Cosmetics,1 390 FCFA,https://www.jumia.sn/authentique-savon-anti-acne-by-mayana-cosmetics-ozentya-mpg37299.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/66289/1.jpg?8166,False,2 000 FCFA,31%,4.5 out of 5,(2)
3 Pommes Lot de 3 crochet murale adhésif,800 FCFA,https://www.jumia.sn/3-pommes-lot-de-3-crochet-murale-adhesif-10028846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/882001/1.jpg?1071,False,,,,
Jet Serviette de Plage - Pastèque - Polyester - Rouge,13 800 FCFA,https://www.jumia.sn/serviette-de-plage-pasteque-polyester-rouge-jet-mpg45739.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/53988/1.jpg?5010,True,,,5 out of 5,(1)
Generic Support de Brosse à Dents Stérilisateur,5 000 FCFA,https://www.jumia.sn/generic-support-de-brosse-a-dents-sterilisateur-9846448.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/46489/1.jpg?0899,False,16 000 FCFA,69%,,
Generic Intimo Toilette Intime PH 5.5 pour Femme 100% Naturel Venant d'Italie,5 000 FCFA,https://www.jumia.sn/generic-intimo-toilette-intime-ph-5.5-pour-femme-100-naturel-venant-ditalie-9801441.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/41089/1.jpg?5691,False,10 000 FCFA,50%,,
Generic Intimo Toilette Intime PH 5.5 pour Femme 100% Naturel Venant d'Italie,5 000 FCFA,https://www.jumia.sn/generic-intimo-toilette-intime-ph-5.5-pour-femme-100-naturel-venant-ditalie-9801443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/41089/1.jpg?5691,False,10 000 FCFA,50%,,
Longrich La pâte dentifrice Longrich à la base de l'aloès verra/thé blanc-200ml,4 500 FCFA,https://www.jumia.sn/la-pate-dentifrice-longrich-a-la-base-de-laloes-verrathe-blanc-200ml-longrich-mpg36779.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/40872/1.jpg?0074,False,,,4 out of 5,(3)
Generic Gel douche exfoliant bb clear 600 ml,1 990 FCFA,https://www.jumia.sn/generic-gel-douche-exfoliant-bb-clear-600-ml-6075115.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/15706/1.jpg?2918,False,,,,
