name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic 2 kk Baffles pour ordinateurs et télévision écran plat avec Son de Bass,3 250 FCFA,https://www.jumia.sn/2-kk-baffles-pour-ordinateurs-et-television-ecran-plat-avec-son-de-bass-generic-mpg32205.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/60149/1.jpg?5363,False,8 000 FCFA,59%,3.3 out of 5,(22)
"Generic Support pliable, élégant pour ordinateur Portable, pour Notebook, Support de refroidissement, Antidérapant",2 700 FCFA,https://www.jumia.sn/support-pliable-elegant-pour-ordinateur-portable-pour-notebook-support-de-refroidissement-antiderapant-generic-mpg42629.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/81929/1.jpg?7835,False,10 000 FCFA,73%,3.4 out of 5,(9)
White Pair de Baffles pour ordinateurs et télévision écran plat avec super Bass,3 800 FCFA,https://www.jumia.sn/white-pair-de-baffles-pour-ordinateurs-et-television-ecran-plat-avec-super-bass-9471397.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/31749/1.jpg?8233,False,8 500 FCFA,55%,4 out of 5,(2)
Axtel Casque Axtel avec micro et touches de commandes,65 000 FCFA,https://www.jumia.sn/casque-axtel-avec-micro-et-touches-de-commandes-axtel-mpg44666.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/75703/1.jpg?2791,True,,,,
Generic 2 Baffles pour ordinateurs et télévision écran plat avec Son de Bass,4 900 FCFA,https://www.jumia.sn/generic-2-baffles-pour-ordinateurs-et-television-ecran-plat-avec-son-de-bass-5354036.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/04535/1.jpg?4371,False,25 000 FCFA,80%,3.3 out of 5,(7)
Logitech H110 - Casque Stéréo Headset + Micro -Noir,13 900 FCFA,https://www.jumia.sn/h110-casque-stereo-headset-micro-noir-logitech-mpg29592.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/83134/1.jpg?1144,False,25 000 FCFA,44%,3.9 out of 5,(14)
Generic Support ventilé et Tablette pour Ordinateur - Noir,4 900 FCFA,https://www.jumia.sn/support-ventile-et-tablette-pour-ordinateur-noir-generic-mpg35643.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/64149/1.jpg?4151,False,9 000 FCFA,46%,4 out of 5,(16)
Generic Ecouteur Bluetooth pro 5s blanc,8 900 FCFA,https://www.jumia.sn/ecouteur-bluetooth-pro-5s-blanc-generic-mpg30450.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/12716/1.jpg?6912,False,35 000 FCFA,75%,5 out of 5,(1)
Generic Enceintes hifi- Haut-parleurs 2.0 USB en bois multimédia pour PC/téléviseurs,9 900 FCFA,https://www.jumia.sn/generic-enceintes-hifi-haut-parleurs-2.0-usb-en-bois-multimedia-pour-pcteleviseurs-9969644.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/69699/1.jpg?4060,False,10 500 FCFA,6%,,
Generic Baffle haut-parleur ordinateur 2.0 multimédia / TELEVISION,6 194 FCFA,https://www.jumia.sn/baffle-haut-parleur-ordinateur-2.0-multimedia-television-generic-mpg32558.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/56539/1.jpg?3090,False,9 900 FCFA,37%,5 out of 5,(1)
"Rapoo webcam HD avec microphone, caméra d'ordinateur USB RAPOO C270L",39 500 FCFA,https://www.jumia.sn/rapoo-webcam-hd-avec-microphone-camera-dordinateur-usb-rapoo-c270l-9791769.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/71979/1.jpg?6195,False,,,5 out of 5,(1)
Logitech H111 - Casque Stéréo Headset + Micro -Noir,14 000 FCFA,https://www.jumia.sn/logitech-h111-casque-stereo-headset-micro-noir-9110846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/80119/1.jpg?4404,False,25 000 FCFA,44%,4.5 out of 5,(2)
Generic Rallonge 4 port USB et 4 prise de tête,3 500 FCFA,https://www.jumia.sn/rallonge-4-port-usb-et-4-prise-de-tete-generic-mpg35071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/36389/1.jpg?3679,False,10 000 FCFA,65%,,
Generic Casque Audio Sans Fil Bleutooth multicolore B/N,5 900 FCFA,https://www.jumia.sn/generic-casque-audio-sans-fil-bleutooth-multicolore-bn-6169969.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/99616/1.jpg?4569,False,25 000 FCFA,76%,4 out of 5,(3)
Generic Haut Parleur Bluetooth avec radio & carte/USB/TF,3 724 FCFA,https://www.jumia.sn/generic-haut-parleur-bluetooth-avec-radio-carteusbtf-9368722.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/78639/1.jpg?9676,False,4 900 FCFA,24%,3.3 out of 5,(3)
White Haut Parleur Bluetooth Sans fil - Portable - radio solaire avec port USB - FM,9 500 FCFA,https://www.jumia.sn/white-haut-parleur-bluetooth-sans-fil-portable-radio-solaire-avec-port-usb-fm-9461493.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/41649/1.jpg?7881,False,,,,
Generic Mini Haut Parleur Bluetooth Portable -Sans fil radio solaire avec port USB - FM,7 750 FCFA,https://www.jumia.sn/mini-haut-parleur-bluetooth-portable-sans-fil-radio-solaire-avec-port-usb-fm-generic-mpg39680.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/30589/1.jpg?9676,False,20 000 FCFA,61%,3 out of 5,(1)
Logitech H111 - Casque Stéréo Headset + Micro -Noir,13 900 FCFA,https://www.jumia.sn/logitech-h111-casque-stereo-headset-micro-noir-6145759.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/75416/1.jpg?5266,False,25 000 FCFA,44%,3 out of 5,(3)
Generic 2 baffle pour ordinateur portable super sympa,4 900 FCFA,https://www.jumia.sn/generic-2-baffle-pour-ordinateur-portable-super-sympa-6055852.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/85506/1.jpg?4373,False,15 000 FCFA,67%,,
