name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Casque Bluetooth Sport Tour de Cou,2 990 FCFA,https://www.jumia.sn/generic-casque-bluetooth-sport-tour-de-cou-9079531.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/59709/4.jpg?2842,True,5 863 FCFA,49%,3.9 out of 5,(71)
Generic Écouteurs intra-auriculaires sans fil Bluetooth 5.0 TWS Pro 4,3 900 FCFA,https://www.jumia.sn/generic-ecouteurs-intra-auriculaires-sans-fil-bluetooth-5.0-tws-pro-4-9842644.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/62489/1.jpg?8498,True,8 647 FCFA,55%,3.1 out of 5,(9)
Generic Support mural TV fixe 14-42 pouces,1 590 FCFA,https://www.jumia.sn/generic-support-mural-tv-fixe-14-42-pouces-9963574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/53699/1.jpg?7928,False,5 000 FCFA,68%,,
Generic Support Mural TV LED/LCD - pour Ecrans Plat,2 900 FCFA,https://www.jumia.sn/support-mural-tv-ledlcd-pour-ecrans-de-32-a-60-pouces-generic-mpg2647.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/56206/1.jpg?4413,False,8 000 FCFA,64%,4 out of 5,(58)
Generic Casque écouteur Bluetooth Sport Casque Bluetooth Fitness CA820363,8 000 FCFA,https://www.jumia.sn/generic-casque-ecouteur-bluetooth-sport-casque-bluetooth-fitness-ca820363-9841999.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/91489/1.jpg?5044,False,25 000 FCFA,68%,3.2 out of 5,(13)
Generic Support Mural Décodeur DVD Acier Verre,2 800 FCFA,https://www.jumia.sn/support-mural-decodeur-dvd-acier-verre-generic-mpg20350.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/20739/1.jpg?4123,False,5 000 FCFA,44%,4.1 out of 5,(27)
"Generic Support Mural TV Orientable -TV LED ( 14"" a 55"") - Noir",5 999 FCFA,https://www.jumia.sn/generic-support-mural-tv-orientable-tv-led-14-a-55-noir-8271657.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/61728/1.jpg?3414,False,6 305 FCFA,5%,3.3 out of 5,(7)
Generic Support Mural Décodeur DVD Acier Verre,2 490 FCFA,https://www.jumia.sn/support-mural-decodeur-dvd-acier-verre-generic-mpg43378.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/20739/1.jpg?4123,False,6 900 FCFA,64%,4.7 out of 5,(3)
Fashion Lampe Ultra-Violet Anti-Insectes Anti Moustique ((Grande taille)) Tue Mouche Electrique Destructeur d’Insectes - 2 W - LED,14 000 FCFA,https://www.jumia.sn/fashion-lampe-ultra-violet-anti-insectes-anti-moustique-grande-taille-tue-mouche-electrique-destructeur-dinsectes-2-w-led-9346162.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/16439/1.jpg?9605,False,30 000 FCFA,53%,1.5 out of 5,(2)
Generic Téléviseur écran plat 17 Pouces avec port USB/HDMI & support mural,30 875 FCFA,https://www.jumia.sn/televiseur-ecran-plat-17-pouces-avec-port-usbhdmi-support-mural-generic-mpg35945.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/17779/1.jpg?1634,False,39 500 FCFA,22%,,
Generic Android H96 Max Smart Android 10.0 TV Box RK3318 4GB + 64 GB+ deuxieme telecommande de remplacement,31 000 FCFA,https://www.jumia.sn/generic-android-h96-max-smart-android-10.0-tv-box-rk3318-4gb-64-gb-deuxieme-telecommande-de-remplacement-9206137.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/16029/1.jpg?0046,False,44 000 FCFA,30%,4.5 out of 5,(6)
Generic Android 10.1 TV Box 5G USB 3.0 [Dernière Version] 360 - 2/32 GB - Noir,17 900 FCFA,https://www.jumia.sn/android-10.1-tv-box-5g-usb-3.0-derniere-version-360-noir-generic-mpg32468.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/61788/1.jpg?0606,False,74 000 FCFA,76%,3.6 out of 5,(7)
Generic Ecouteurs Sans Fil - V25 Bluetooth haute qualité stéréo pour Sport,7 900 FCFA,https://www.jumia.sn/ecouteurs-sans-fil-v25-bluetooth-haute-qualite-stereo-pour-sport-generic-mpg30454.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/19639/1.jpg?8491,False,11 500 FCFA,31%,3.7 out of 5,(22)
Generic Kit de Nettoyage d'Ecran TV LCD complet - Pour Ordinateur de Bureau - Portable - Caméra Numérique - Clavier,1 800 FCFA,https://www.jumia.sn/generic-kit-de-nettoyage-decran-tv-lcd-complet-pour-ordinateur-de-bureau-portable-camera-numerique-clavier-5480523.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/50845/1.jpg?2363,False,5 000 FCFA,64%,4.5 out of 5,(2)
Sports Écouteurs Sport - Sans Fil - Bluetooth Avec 2 Batteries,9 900 FCFA,https://www.jumia.sn/sports-ecouteurs-sport-sans-fil-bluetooth-avec-2-batteries-10002799.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/720001/1.jpg?1599,False,19 000 FCFA,48%,,
"Mini Clavier Backlit Wireless , Ergonomique sans Fil avec Touchpad – Pour Smart TV, Android TV Box, Google Chromecase, mini PC, HTPC, Console, Ordinateur etc….",7 600 FCFA,https://www.jumia.sn/clavier-backlit-wireless-ergonomique-sans-fil-avec-touchpad-pour-smart-tv-android-tv-box-google-chromecase-mini-pc-htpc-console-ordinateur-etc.-mini-mpg31330.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/51589/1.jpg?4341,False,15 000 FCFA,49%,4.2 out of 5,(5)
Generic Ecouteurs Sans Fil - New Bluetooth haute qualité stéréo pour Sport,4 890 FCFA,https://www.jumia.sn/ecouteurs-sans-fil-new-bluetooth-haute-qualite-stereo-pour-sport-generic-mpg33266.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/61189/1.jpg?8420,False,8 000 FCFA,39%,3.2 out of 5,(6)
