name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Generic Transmetteur Récepteur Audio Sans Fil Bluetooth 5.0 RCA, Jack AUX 3.5mm, Adaptateur Pour Musique, Dongle USB, Pour Voiture, PC, TV, écouteurs",7 400 FCFA,https://www.jumia.sn/generic-transmetteur-recepteur-audio-sans-fil-bluetooth-5.0-rca-jack-aux-3.5mm-adaptateur-pour-musique-dongle-usb-pour-voiture-pc-tv-ecouteurs-9825381.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/35289/1.jpg?5401,True,13 618 FCFA,46%,,
"Generic Kit Panneaux solaire rechargeable - pour charger téléphone -5V,1.8W",6 500 FCFA,https://www.jumia.sn/generic-kit-panneaux-solaire-rechargeable-pour-charger-telephone-5v1.8w-9794526.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/54979/1.jpg?4577,False,7 000 FCFA,7%,,
"White and white Rechargeable-Kit d'Eclairage Solaire avec Radio FM, USB/TF, 2 Lampes Led 3W",9 500 FCFA,https://www.jumia.sn/white-and-white-rechargeable-kit-declairage-solaire-avec-radio-fm-usbtf-2-lampes-led-3w-9368341.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/38639/1.jpg?8417,False,15 000 FCFA,37%,,
"Generic Kit d'Eclairage Solaire Radio FM, USB/TF, 2 Lampes Led 3W",8 050 FCFA,https://www.jumia.sn/kit-declairage-solaire-radio-fm-usbtf-2-lampes-led-3w-nns-ns1320ls-white-label-mpg16884.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/20739/1.jpg?5200,False,14 500 FCFA,44%,4 out of 5,(15)
"Generic Kit d'Eclairage Solaire avec Radio FM, USB/TF, 2 Lampes Led 3W",10 200 FCFA,https://www.jumia.sn/kit-declairage-solaire-avec-radio-fm-usbtf-2-lampes-led-3w-generic-mpg44478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/03489/1.jpg?4133,False,15 000 FCFA,32%,,
"Generic Kit d'Eclairage Solaire avec Radio FM, USB/TF, 2 Lampes Led 3W",10 500 FCFA,https://www.jumia.sn/kit-declairage-solaire-avec-radio-fm-usbtf-2-lampes-led-3w-generic-mpg28845.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/30479/1.jpg?5197,False,20 000 FCFA,48%,,
"White Label NNS 2730 Kit d'Eclairage Solaire Radio FM, USB/TF, 2 Lampes Led 3W",12 900 FCFA,https://www.jumia.sn/white-label-nns-2730-kit-declairage-solaire-radio-fm-usbtf-2-lampes-led-3w-9823129.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/13289/1.jpg?1062,False,25 000 FCFA,48%,,
"White Kit d'Eclairage Solaire Radio FM, USB/TF, 2 Lampes Led 3W",9 900 FCFA,https://www.jumia.sn/kit-declairage-solaire-radio-fm-usbtf-2-lampes-led-3w-white-mpg40278.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/66339/1.jpg?3173,False,15 000 FCFA,34%,4.7 out of 5,(3)
"White Label Kit d'Eclairage Solaire Radio FM, USB/TF, 2 Lampes Led 3W, NNS ns1320ls",11 900 FCFA,https://www.jumia.sn/kit-declairage-solaire-radio-fm-usbtf-2-lampes-led-3w-nns-ns1320ls-white-label-mpg40482.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/33149/1.jpg?1749,False,25 000 FCFA,52%,,
"White Kit Solaire avec Radio FM, USB/TF, 2 Lampes LED 3W éclairage",10 997 FCFA,https://www.jumia.sn/white-kit-solaire-avec-radio-fm-usbtf-2-lampes-led-3w-eclairage-9354049.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/04539/1.jpg?8378,False,31 900 FCFA,66%,,
"Generic Câble audio jack 3,5 torsadé - Noir",1 900 FCFA,https://www.jumia.sn/generic-cable-audio-jack-35-torsade-noir-9827468.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/47289/1.jpg?7860,False,3 900 FCFA,51%,,
