name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Pack de 06 Voile Habiba en Coton - Multicouleur,5 499 FCFA,https://www.jumia.sn/pack-de-06-voile-habiba-en-coton-multicouleur-generic-mpg34800.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/40099/1.jpg?0979,False,12 000 FCFA,54%,3 out of 5,(2)
"Generic Lunettes de lecture +2, en Métal avec demi-monture, pour homme et femme, nouvelle collection 2022,",4 900 FCFA,https://www.jumia.sn/generic-lunettes-de-lecture-2-en-metal-avec-demi-monture-pour-homme-et-femme-nouvelle-collection-2022-9829372.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/39289/1.jpg?7074,False,15 000 FCFA,67%,4 out of 5,(1)
Generic Lunettes photogray Anti-Reflet - Pour Homme - Noir/Marron,8 900 FCFA,https://www.jumia.sn/generic-lunettes-photogray-anti-reflet-pour-homme-noirmarron-9797758.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/77979/1.jpg?0540,False,20 000 FCFA,56%,1 out of 5,(1)
Generic Lunettes de lecture photogray anti reflet - Femme,5 780 FCFA,https://www.jumia.sn/lunettes-de-lecture-photogray-anti-reflet-femme-generic-mpg34227.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/54016/1.jpg?2873,False,15 000 FCFA,61%,4 out of 5,(64)
Generic White Label Gaine bandage Amincissante,8 000 FCFA,https://www.jumia.sn/generic-white-label-gaine-bandage-amincissante-9846437.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/46489/1.jpg?0897,False,10 000 FCFA,20%,5 out of 5,(1)
Generic Lunettes photogray anti reflet,9 600 FCFA,https://www.jumia.sn/generic-lunettes-photogray-anti-reflet-6068399.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/38606/1.jpg?0963,False,12 000 FCFA,20%,3 out of 5,(1)
Generic Ceinture Fine-beige,990 FCFA,https://www.jumia.sn/generic-ceinture-fine-beige-8934726.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/74398/1.jpg?8269,True,1 941 FCFA,49%,4.5 out of 5,(2)
Generic Pack de 06 Voile Habiba en Coton - Multicouleur,5 900 FCFA,https://www.jumia.sn/generic-pack-de-06-voile-habiba-en-coton-multicouleur-10002822.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/820001/1.jpg?1599,False,100 000 FCFA,94%,,
Generic Lunettes de lecture photogray anti reflet - Femme,10 900 FCFA,https://www.jumia.sn/lunettes-de-lecture-photogray-anti-reflet-femme-generic-mpg45500.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/77979/1.jpg?0540,False,20 000 FCFA,46%,,
Generic Ensemble nouizette 3 piece Femmes taille standard blanc,6 750 FCFA,https://www.jumia.sn/generic-ensemble-nouizette-3-piece-femmes-taille-standard-blanc-9763846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/83679/1.jpg?8355,False,8 000 FCFA,16%,3 out of 5,(1)
