name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic LBQ Support De Trépied Léger Pour Caméra Avec Sac-14-40 Pouces - Noir,7 040 FCFA,https://www.jumia.sn/support-de-trepied-leger-pour-camera-avec-sac-14-40-pouces-noir-generic-mpg46577.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/85693/1.jpg?3837,True,13 804 FCFA,49%,3.8 out of 5,(38)
Generic Micro Cravate M1 pour Smartphones et appareils Photo,9 990 FCFA,https://www.jumia.sn/micro-cravate-m1-pour-smartphones-et-appareils-photo-generic-mpg29027.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/54788/1.jpg?0450,False,35 000 FCFA,71%,3.4 out of 5,(15)
Generic Mini Trépied En éponge Flexible Avec Obturateur à Distance Bluetooth Pour IPhone Mini Caméra Trépied Support De Téléphone Clip Stand (Noir),5 500 FCFA,https://www.jumia.sn/generic-mini-trepied-en-eponge-flexible-avec-obturateur-a-distance-bluetooth-pour-iphone-mini-camera-trepied-support-de-telephone-clip-stand-noir-6077997.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/97706/1.jpg?6061,True,10 788 FCFA,49%,5 out of 5,(1)
"Generic Kits de Lentilles Caméra 360 °, Lentille Macro Grand Angle Noir",7 000 FCFA - 10 500 FCFA,https://www.jumia.sn/generic-kits-de-lentilles-camera-360-lentille-macro-grand-angle-noir-9927260.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/27299/1.jpg?2460,False,10 000 FCFA - 15 000 FCFA,50%,,
"White Support (Wireless)de chargeur iphone,watch ,ecouteur.",13 000 FCFA,https://www.jumia.sn/white-support-wirelessde-chargeur-iphonewatch-ecouteur.-9843187.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/13489/1.jpg?5803,False,25 000 FCFA,48%,,
Generic Weifeng WT-1003 171CM 67 Inch Professional Tripod Camera Monopod For Canon For Eos For Nikon SLR,40 000 FCFA,https://www.jumia.sn/generic-weifeng-wt-1003-171cm-67-inch-professional-tripod-camera-monopod-for-canon-for-eos-for-nikon-slr-9832857.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/82389/1.jpg?0219,False,60 000 FCFA,33%,,
Generic Trépied Pour Caméra -13-48 Pouces - Or,9 900 FCFA,https://www.jumia.sn/generic-trepied-pour-camera-13-48-pouces-or-3956989.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/96593/1.jpg?9286,True,14 900 FCFA,34%,,
Kodak 4 PILES RECHARGEABLES AA KODAK AVEC CHARGEUR,18 300 FCFA,https://www.jumia.sn/kodak-4-piles-rechargeables-aa-kodak-avec-chargeur-4287907.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/97824/1.jpg?9379,False,35 500 FCFA,48%,5 out of 5,(1)
Generic Professionnel pliable caméra support de trépied support vis 360 degrés fluide tête trépied stabilisateur trépied pour téléphone(#Large),7 920 FCFA,https://www.jumia.sn/generic-professionnel-pliable-camera-support-de-trepied-support-vis-360-degres-fluide-tete-trepied-stabilisateur-trepied-pour-telephonelarge-2419597.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/59142/1.jpg?6150,False,15 529 FCFA,49%,4.5 out of 5,(2)
"Generic Mini Trépied Support de Téléphone, smartphones, Caméra",4 900 FCFA,https://www.jumia.sn/generic-mini-trepied-support-de-telephone-smartphones-camera-9790447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/40979/1.jpg?4576,False,5 000 FCFA,2%,4 out of 5,(1)
