name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Mini support d'ordinateur portable pliable en métal,1 990 FCFA,https://www.jumia.sn/generic-mini-support-dordinateur-portable-pliable-en-metal-9488653.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/68849/1.jpg?5989,True,4 490 FCFA,56%,4 out of 5,(1)
Generic Sac A Dos Ordinateur Portable A Port USB - Noir/Gris,5 900 FCFA,https://www.jumia.sn/sac-a-dos-a-port-usb-noirgris-generic-mpg46092.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/85016/1.jpg?6610,True,13 394 FCFA,56%,3.7 out of 5,(120)
Generic Sac A Dos A Port USB - Gris,6 831 FCFA,https://www.jumia.sn/generic-sac-a-dos-a-port-usb-gris-8841544.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/51488/1.jpg?6937,True,13 394 FCFA,49%,3.8 out of 5,(29)
Generic Support ordinateur - Noir 9 à 17 pouces - 37W x 26.5D x 33H,2 900 FCFA,https://www.jumia.sn/support-ordinateur-noir-9-a-17-pouces-37w-x-26.5d-x-33h-generic-mpg35621.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/35149/1.jpg?5346,False,10 000 FCFA,71%,3.5 out of 5,(31)
Fashion 3 pièces Fashion Sac à dos hommes Sac à dos ecole pour les voyages,6 500 FCFA,https://www.jumia.sn/fashion-3-pieces-fashion-sac-a-dos-hommes-sac-a-dos-ecole-pour-les-voyages-9731443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/41379/8.jpg?3038,True,10 235 FCFA,36%,4.4 out of 5,(33)
DELL Pro Sleeve 15 - housse d'ordinateur portable,6 900 FCFA,https://www.jumia.sn/dell-pro-sleeve-15-housse-dordinateur-portable-9478406.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/48749/1.jpg?1153,False,14 000 FCFA,51%,4.2 out of 5,(6)
"Generic Sac à Dos De Randonnée 40L, Sac à Dos De Voyage Extérieur Imperméable",11 980 FCFA,https://www.jumia.sn/generic-sac-a-dos-de-randonnee-40l-sac-a-dos-de-voyage-exterieur-impermeable-8812234.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/22188/1.jpg?0236,True,25 188 FCFA,52%,3.1 out of 5,(14)
Generic Sac A Dos scolaire- Noir,6 999 FCFA,https://www.jumia.sn/generic-sac-a-dos-scolaire-noir-9992066.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/02999/1.jpg?1338,False,12 000 FCFA,42%,,
Generic kit de nettoyage d'ecran pour ordinateur portable,1 950 FCFA,https://www.jumia.sn/kit-de-nettoyage-decran-pour-ordinateur-portable-generic-mpg36163.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/07706/1.jpg?9151,False,4 000 FCFA,51%,3.6 out of 5,(8)
"Lenovo Sac Ordinateur Portable Lenovo NC100, 15.6´´",9 500 FCFA,https://www.jumia.sn/lenovo-sac-ordinateur-portable-lenovo-nc100-15.6-9984854.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/84899/1.jpg?3686,False,20 000 FCFA,53%,,
