name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Coque IPad pro 11 2018 / IPad pro 2020 / IPad pro 2021,17 000 FCFA,https://www.jumia.sn/generic-coque-ipad-pro-11-2018-ipad-pro-2020-ipad-pro-2021-9841498.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/41489/1.jpg?6839,False,,,,
Generic pour Samsung Galaxy A50 étui mince mat couverture souple étuis pour Samsung Galaxy A40 A30 A70 A20 A10 A60 coques de téléphone(Bla),5 737 FCFA,https://www.jumia.sn/generic-pour-samsung-galaxy-a50-etui-mince-mat-couverture-souple-etuis-pour-samsung-galaxy-a40-a30-a70-a20-a10-a60-coques-de-telephonebla-2824497.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/44282/1.jpg?4455,False,11 249 FCFA,49%,,
"Generic 3 Ports USB multiprise USB, chargeur USB avec 3 Câbles USB de 1,5 m",3 500 FCFA,https://www.jumia.sn/generic-3-ports-usb-multiprise-usb-chargeur-usb-avec-3-cables-usb-de-15-m-9402205.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/22049/1.jpg?4600,False,4 000 FCFA,13%,,
Generic H & A luxe 360 couverture complète téléphone étui pour samsung Galaxy S10 S9 S8 Plus S7 Edge Note 9 8 couverture antichoc S10 lite Fundas Capa(purple),11 267 FCFA,https://www.jumia.sn/generic-h-a-luxe-360-couverture-complete-telephone-etui-pour-samsung-galaxy-s10-s9-s8-plus-s7-edge-note-9-8-couverture-antichoc-s10-lite-fundas-capapurple-2744495.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/44472/1.jpg?0500,False,14 083 FCFA,20%,,
White Label Housse - Etui Universel 360° Rotatif pour Tablette 8 pouces - BLEU,3 000 FCFA,https://www.jumia.sn/housse-etui-universel-360-rotatif-pour-tablette-8-pouces-bleu-white-label-mpg40455.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/019/1.jpg?8205,False,6 000 FCFA,50%,4 out of 5,(1)
Generic Tablet Case For IPad 10.2 (2019) Keyboard Case With Pencil Holder,15 500 FCFA,https://www.jumia.sn/generic-tablet-case-for-ipad-10.2-2019-keyboard-case-with-pencil-holder-6235109.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/15326/1.jpg?4844,False,31 000 FCFA,50%,,
White Label Housse Tablette 8 pouces - Etui Universel 360° Rotatif - BLEU,7 000 FCFA,https://www.jumia.sn/white-label-housse-tablette-8-pouces-etui-universel-360-rotatif-bleu-3431910.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/91343/1.jpg?7784,False,,,5 out of 5,(1)
"Generic Housse - standard Tablette 7, 8 ou 10 pouces - Noir",1 690 FCFA - 3 500 FCFA,https://www.jumia.sn/generic-housse-standard-tablette-7-8-ou-10-pouces-noir-90471.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/409/1.jpg?9943,False,3 500 FCFA,52%,4.5 out of 5,(6)
Generic OR 10400MAH Portable 4*18650 External Phone Charger,10 720 FCFA,https://www.jumia.sn/generic-or-10400mah-portable-418650-external-phone-charger-6003012.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/03006/1.jpg?1766,False,21 020 FCFA,49%,,
Generic Mini clavier sans fil Bluetooth mince WIRELESS,11 900 FCFA,https://www.jumia.sn/generic-mini-clavier-sans-fil-bluetooth-mince-wireless-10041584.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/514001/1.jpg?3377,False,,,,
