name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Generic Support Mural TV Orientable -TV LED ( 14"" a 42"") - Noir",3 900 FCFA,https://www.jumia.sn/support-mural-tv-orientable-tv-led-14-a-42-noir-generic-mpg35592.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/46539/1.jpg?8202,False,10 000 FCFA,61%,4.1 out of 5,(73)
Generic Refroidisseur pour Ordinateur Portable 9 à 17 pouces - Noir,5 500 FCFA,https://www.jumia.sn/refroidisseur-pour-ordinateur-portable-9-a-17-pouces-noir-generic-mpg35135.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/84268/1.jpg?9698,False,35 000 FCFA,84%,3.8 out of 5,(10)
Generic TÉLÉCOMMANDE ANDROID TV BOX,3 200 FCFA,https://www.jumia.sn/generic-telecommande-android-tv-box-8837464.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/47388/1.jpg?1868,False,6 500 FCFA,51%,4 out of 5,(12)
"Generic Support Mural TV pivotant -TV LED ( 14"" a 55"") - Noir",6 200 FCFA,https://www.jumia.sn/support-mural-tv-pivotant-tv-led-14-a-55-noir-generic-mpg44524.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/57216/1.jpg?2822,False,6 320 FCFA,2%,4.5 out of 5,(2)
Generic Android 10.1 TV Box 5G USB 3.0 - Noir,16 900 FCFA,https://www.jumia.sn/generic-android-10.1-tv-box-5g-usb-3.0-noir-8941672.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/61498/1.jpg?0779,False,40 000 FCFA,58%,3.3 out of 5,(4)
Generic Refroidisseur pour Ordinateur Portable 12 à 17.3 Pouces,5 500 FCFA,https://www.jumia.sn/refroidisseur-pour-ordinateur-portable-12-a-17.3-pouces-generic-mpg35129.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/62716/1.jpg?5123,False,35 000 FCFA,84%,4.1 out of 5,(7)
"2 White Support Mural TV Pivotant LED ( 14"" a 42"") - Noir",4 830 FCFA,https://www.jumia.sn/2-white-support-mural-tv-pivotant-led-14-a-42-noir-9762601.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/62679/1.jpg?1007,False,15 000 FCFA,68%,,
Generic Support Mural TV LED/LCD - pour Ecrans de 26 à 63 Pouces,2 100 FCFA,https://www.jumia.sn/support-mural-tv-ledlcd-pour-ecrans-de-26-a-55-pouces-generic-mpg20354.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/49639/1.jpg?5446,False,4 500 FCFA,53%,3.6 out of 5,(26)
"White Support TV Mural - fixation LED Plasma - 14""-42'",1 900 FCFA,https://www.jumia.sn/support-tv-mural-fixation-led-plasma-14-42-white-mpg40304.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/63379/1.jpg?2695,False,3 500 FCFA,46%,3 out of 5,(2)
Generic Refroidisseur pour Ordinateur Portable 12 ″ -17 ″ N88,5 500 FCFA,https://www.jumia.sn/refroidisseur-pour-ordinateur-portable-12-17-n88-generic-mpg35132.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/67706/1.jpg?0675,False,35 000 FCFA,84%,3.9 out of 5,(9)
"Generic Support Mural TV Orientable -TV LED ( 14"" a 55"") - Noir",4 900 FCFA,https://www.jumia.sn/support-mural-tv-orientable-tv-led-14-a-55-noir-generic-mpg7488.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/16029/1.jpg?0046,False,6 900 FCFA,29%,4.1 out of 5,(39)
Generic Support Mural TV 26 à 63 pouces-Noir,2 900 FCFA,https://www.jumia.sn/generic-support-mural-tv-26-a-63-pouces-noir-5508828.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/88055/1.jpg?1018,False,8 000 FCFA,64%,4.1 out of 5,(12)
