name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Css Sucre en Morceaux - 1KG,590 FCFA,https://www.jumia.sn/css-sucre-en-morceaux-1kg-10030324.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/303001/1.jpg?7481,True,690 FCFA,14%,5 out of 5,(1)
Candia Lait 1/2 Ecrémé Edge 200 ML,90 FCFA,https://www.jumia.sn/candia-lait-12-ecreme-edge-200-ml-10039383.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/393001/1.jpg?4197,True,,,,
Savonet Gel Lavant Liquide - Citron - 350ML,390 FCFA,https://www.jumia.sn/savonet-gel-lavant-liquide-citron-350ml-10030514.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/503001/1.jpg?4802,True,,,,
Sauce Verte Nokoss - 370G,990 FCFA,https://www.jumia.sn/reine-sauce-verte-nokoss-370g-10030333.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/303001/1.jpg?9937,True,1 120 FCFA,12%,,
La Perruche Sucre Roux Morceaux 1Kg,1 890 FCFA,https://www.jumia.sn/la-perruche-sucre-roux-morceaux-1kg-10030524.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/503001/1.jpg?5599,True,2 120 FCFA,11%,,
Anita Epice Viande 50g - Anita,490 FCFA,https://www.jumia.sn/anita-epice-viande-50g-anita-10030287.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/203001/1.jpg?4796,True,,,,
Anita 7epices 50g - Anita,550 FCFA,https://www.jumia.sn/anita-7epices-50g-anita-10030285.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/203001/1.jpg?4748,True,,,,
Anita Epices Grillades 50G - Anita,490 FCFA,https://www.jumia.sn/anita-epices-grillades-50g-anita-10030288.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/203001/1.jpg?4783,True,,,,
Anita Epice Poulet 50g - Anita,490 FCFA,https://www.jumia.sn/anita-epice-poulet-50g-anita-10030286.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/203001/1.jpg?4760,True,,,,
Anita Gingembre 50g - Anita,450 FCFA,https://www.jumia.sn/anita-gingembre-50g-anita-10030289.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/203001/1.jpg?4809,True,,,,
