name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Welsea Thon à L'huile De Tournesol Poche 74g,525 FCFA,https://www.jumia.sn/welsea-thon-a-lhuile-de-tournesol-poche-74g-10030505.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/503001/1.jpg?3748,True,,,,
Welsea Thon Miettes à L'huile de Tournesol 160g,925 FCFA,https://www.jumia.sn/welsea-thon-miettes-a-lhuile-de-tournesol-160g-10030510.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/503001/1.jpg?4081,True,1 100 FCFA,16%,,
PINTON Pâtée Sardinelle - 380g - Pinton,900 FCFA,https://www.jumia.sn/pinton-patee-sardinelle-380g-pinton-9800798.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/70089/1.jpg?1453,True,920 FCFA,2%,,
Cap Africa Pâte De Thon 160g,440 FCFA,https://www.jumia.sn/cap-africa-pate-de-thon-160g-9757150.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/17579/1.jpg?4946,True,,,4 out of 5,(12)
Al Jazira Dattes Ravier 500G,800 FCFA,https://www.jumia.sn/al-jazira-dattes-ravier-500g-9898682.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/68989/1.jpg?4732,True,,,4.4 out of 5,(21)
Concentré De Tomates - 800G,1 360 FCFA,https://www.jumia.sn/dieg-bou-diar-concentre-de-tomates-800g-3072486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/42703/1.jpg?2009,True,,,4.2 out of 5,(13)
Avril Petits Pois Très Fins - 400G,680 FCFA,https://www.jumia.sn/avril-petits-pois-tres-fins-400g-9163366.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/33619/1.jpg?4823,True,,,3 out of 5,(1)
Welsea Thon Miettes à L'huile de Tournesol 160g,990 FCFA,https://www.jumia.sn/welsea-thon-miettes-a-lhuile-de-tournesol-160g-9764556.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/54679/1.jpg?1161,True,,,4 out of 5,(1)
Maman Purée de Pomme de Terre Chapelet - 10X30G,925 FCFA,https://www.jumia.sn/maman-puree-de-pomme-de-terre-chapelet-10x30g-9370301.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/30739/1.jpg?7693,True,,,,
Welsea Thon à L'huile De Tournesol Poche 74g,500 FCFA,https://www.jumia.sn/welsea-thon-a-lhuile-de-tournesol-poche-74g-9757152.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/17579/1.jpg?1027,True,590 FCFA,15%,4.4 out of 5,(7)
Mina Ananas Tranchés Brisées - 565ML,740 FCFA,https://www.jumia.sn/mina-ananas-tranches-brisees-565ml-9372488.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/42739/1.jpg?2061,True,,,1 out of 5,(1)
Sofia Paquet De Coco Râpé - 250G,790 FCFA,https://www.jumia.sn/sofia-paquet-de-coco-rape-250g-9346469.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/46439/1.jpg?1890,True,,,,
Lido Boites De Sardines - 125g,350 FCFA,https://www.jumia.sn/lido-boites-de-sardines-125g-8772553.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/52778/1.jpg?3813,False,,,4.3 out of 5,(26)
Avril Haricots Blancs - 400G,690 FCFA,https://www.jumia.sn/avril-haricots-blancs-400g-9163374.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/33619/1.jpg?0336,True,,,3.7 out of 5,(3)
Concentré De Tomates - 400G,790 FCFA,https://www.jumia.sn/dieg-bou-diar-concentre-de-tomates-400g-3072499.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/42703/1.jpg?2447,True,,,4.1 out of 5,(17)
Maman Purée de Pomme de Terre - 440G,1 340 FCFA,https://www.jumia.sn/maman-puree-de-pomme-de-terre-440g-9370303.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/30739/1.jpg?1607,True,,,4 out of 5,(6)
Avril Mais Doux 300g,600 FCFA,https://www.jumia.sn/avril-mais-doux-300g-9785176.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/15879/1.jpg?5994,True,,,4.5 out of 5,(2)
Lay'S Chips Saveur Fromage Lays - 145g,2 096 FCFA,https://www.jumia.sn/lays-chips-saveur-fromage-lays-145g-6095877.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/85906/1.jpg?2223,False,,,,
Mina Mais Doux - 340G,580 FCFA,https://www.jumia.sn/mina-mais-doux-340g-9372505.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/52739/1.jpg?2335,True,,,4.7 out of 5,(7)
Linguère Double Concentré de Tomates - 350G,560 FCFA,https://www.jumia.sn/linguere-double-concentre-de-tomates-350g-6064459.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/44606/1.jpg?5004,False,,,,
Concentré de tomate-1KG,1 375 FCFA,https://www.jumia.sn/dieg-bou-diar-concentre-de-tomate-1kg-5666464.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/46665/1.jpg?3382,False,,,3.7 out of 5,(3)
Amora Flacon D'arôme - 160ML,990 FCFA,https://www.jumia.sn/amora-flacon-darome-160ml-9346468.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/46439/1.jpg?1879,True,1 000 FCFA,1%,5 out of 5,(1)
Generic Pate d'arachide - Gade Gui - 1 kg,1 416 FCFA,https://www.jumia.sn/generic-pate-darachide-gade-gui-1-kg-9802899.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/82089/1.jpg?0368,False,2 000 FCFA,29%,5 out of 5,(1)
Avril Petits Pois Extra Fins - 400G,780 FCFA,https://www.jumia.sn/avril-petits-pois-extra-fins-400g-9163367.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/33619/1.jpg?4962,True,,,5 out of 5,(1)
Welsea Thon Naturel Poche 74g,490 FCFA,https://www.jumia.sn/welsea-thon-naturel-poche-74g-9757151.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/17579/1.jpg?5085,True,,,4 out of 5,(1)
Olives Vertes Farcies Aux Poivrons - 150g,890 FCFA,https://www.jumia.sn/carrefour-olives-vertes-farcies-aux-poivrons-150g-3374876.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/84733/1.jpg?9148,False,,,3.3 out of 5,(3)
Generic Pâte d'arachide en sachet - Gade gui - 250 g,350 FCFA,https://www.jumia.sn/generic-pate-darachide-en-sachet-gade-gui-250-g-9802708.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/72089/1.jpg?5929,False,,,,
Zwan Pack Tapenade 2 Boites Bœuf + Poulet - 200G,2 710 FCFA,https://www.jumia.sn/zwan-pack-tapenade-2-boites-boeuf-poulet-200g-9902223.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/22099/1.jpg?0307,True,,,,
Boite De Macédoine 5 Légumes - 400G,610 FCFA,https://www.jumia.sn/dieg-bou-diar-boite-de-macedoine-5-legumes-400g-3072652.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/62703/1.jpg?1401,True,,,4.3 out of 5,(4)
Generic Pate d'arachide Gade gui '' 100% SENEGALAIS - 5KG,7 000 FCFA,https://www.jumia.sn/pate-darachide-gade-gui-100-senegalais-5kg-generic-mpg34590.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/20979/1.jpg?3269,False,,,,
Avril Lentilles - 400G,680 FCFA,https://www.jumia.sn/avril-lentilles-400g-9163376.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/33619/1.jpg?8161,True,,,,
Welsea Thon Albacore Naturel 160g,1 400 FCFA,https://www.jumia.sn/welsea-thon-albacore-naturel-160g-9757154.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/17579/1.jpg?1093,True,,,5 out of 5,(1)
Carvi Food Viande De Bœuf Séchée - Halal - Ail - 30g,1 250 FCFA,https://www.jumia.sn/carvi-food-viande-de-boeuf-sechee-halal-ail-30g-94553.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/549/1.jpg?4301,False,2 000 FCFA,38%,3.3 out of 5,(12)
Sofia Ananas Tranches Entieres - 565G,1 090 FCFA,https://www.jumia.sn/sofia-ananas-tranches-entieres-565g-9346462.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/46439/1.jpg?9096,True,,,,
Double Concentré De Tomates - 30g,55 FCFA,https://www.jumia.sn/dieg-bou-diar-double-concentre-de-tomates-30g-6072507.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/52706/1.jpg?6317,False,,,4.5 out of 5,(2)
Generic Cafe Touba Gade Gui 250g,850 FCFA,https://www.jumia.sn/generic-cafe-touba-gade-gui-250g-9901768.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/71099/1.jpg?6052,False,,,,
Couscous Grains Moyens - 1Kg,1 290 FCFA,https://www.jumia.sn/carrefour-couscous-grains-moyens-1kg-2391323.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/31932/1.jpg?4525,False,,,5 out of 5,(2)
Sachets De Thé Vert - Ananas Pamplemousse -X25,1 100 FCFA,https://www.jumia.sn/carrefour-sachets-de-the-vert-ananas-pamplemousse-x25-2483088.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/03842/1.jpg?9451,False,,,4.3 out of 5,(4)
Bonduelle Pot De Mais Doux 1/2,1 705 FCFA,https://www.jumia.sn/bonduelle-pot-de-mais-doux-12-6073805.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/83706/1.jpg?1748,False,,,4 out of 5,(1)
Avril Haricots verts extra fins-425G,700 FCFA,https://www.jumia.sn/avril-haricots-verts-extra-fins-425g-5952918.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/92595/1.jpg?7659,False,,,5 out of 5,(1)
