name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
TP Link Switch - TL-SF1008D 8-Port 10/100Mbps - Blanc,9 000 FCFA,https://www.jumia.sn/tp-link-switch-tl-sf1008d-8-port-10100mbps-blanc-1214284.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/24121/1.jpg?9626,False,,,,
Original Répéteur WiFi 5 bi-bande - AC750 Mbps - RE200 - Blanc,27 000 FCFA,https://www.jumia.sn/original-repeteur-wifi-5-bi-bande-ac750-mbps-re200-blanc-1213196.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/13121/1.jpg?2829,False,28 000 FCFA,4%,,
Nitro PDF 12 Pro - Authentique,34 000 FCFA,https://www.jumia.sn/pdf-12-pro-authentique-nitro-mpg45798.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/898/1.jpg?5325,False,75 000 FCFA,55%,4.5 out of 5,(2)
Kaspersky Small Office Security - 1 Serveur + 10 PC / MAC / Smartphone,153 000 FCFA,https://www.jumia.sn/kaspersky-small-office-security-1-serveur-10-pc-mac-smartphone-94029.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/049/1.jpg?1763,False,290 000 FCFA,47%,,
Original TP-LINK TL-WN823N Adaptateur USB sans fil N mini à 300 Mbps,10 000 FCFA,https://www.jumia.sn/original-tp-link-tl-wn823n-adaptateur-usb-sans-fil-n-mini-a-300-mbps-1213178.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/13121/1.jpg?5648,False,11 000 FCFA,9%,5 out of 5,(1)
Kaspersky Small Office Security - 1 Serveur + 5 PC / MAC / Smartphone,95 000 FCFA,https://www.jumia.sn/small-office-security-1-serveur-5-pc-mac-smartphone-kaspersky-mpg3139.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/049/1.jpg?1763,False,160 000 FCFA,41%,,
Original AC1200 Mesh WiFi Range Extender,50 000 FCFA,https://www.jumia.sn/original-ac1200-mesh-wifi-range-extender-1213177.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/13121/1.jpg?5469,False,,,,
Original Norton Security Deluxe 3 Utilisateurs - 1 Année (PC/Mac),20 000 FCFA,https://www.jumia.sn/original-norton-security-deluxe-3-utilisateurs-1-annee-pcmac-1212496.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/42121/1.jpg?7450,False,,,3.5 out of 5,(4)
Kaspersky internet security 2022 1+1 Poste (2 Postes) - 12 Mois de Garantie,45 000 FCFA,https://www.jumia.sn/kaspersky-internet-security-2022-11-poste-2-postes-12-mois-de-garantie-9969270.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/29699/1.jpg?5368,False,,,,
TP Link Clé WiFi N150 - Noir,7 000 FCFA,https://www.jumia.sn/tp-link-cle-wifi-n150-noir-1212495.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/42121/1.jpg?7450,False,11 000 FCFA,36%,4.8 out of 5,(4)
Original Norton Norton Antivirus Basic 1 Appareil 1 An,16 000 FCFA,https://www.jumia.sn/original-norton-norton-antivirus-basic-1-appareil-1-an-1212497.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/42121/1.jpg?7450,False,,,,
TP Link Switch - TL-SF1024D - 24 Ports - 10/100 Mps - Noir,35 000 FCFA,https://www.jumia.sn/tp-link-switch-tl-sf1024d-24-ports-10100-mps-noir-1214290.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/24121/1.jpg?3368,False,36 000 FCFA,3%,5 out of 5,(1)
Kaspersky Antivirus Internet Security Protection 2021 1 Poste + 1 (2 Postes ) - Vert,21 500 FCFA,https://www.jumia.sn/antivirus-internet-security-protection-2019-1-poste-1-2-postes-vert-kaspersky-mpg12294.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/82489/1.jpg?0225,False,,,4.1 out of 5,(7)
TP-Link AC1200 Wi-Fi Range Extender RE305,39 000 FCFA,https://www.jumia.sn/tp-link-ac1200-wi-fi-range-extender-re305-1213191.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/13121/1.jpg?7548,False,50 000 FCFA,22%,,
