name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Plaque Chauffante Electrique cuisinière électrique - 500W - Blanc,5 900 FCFA,https://www.jumia.sn/plaque-chauffante-electrique-cuisiniere-electrique-500w-blanc-generic-mpg26678.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/10475/1.jpg?5437,False,9 500 FCFA,38%,3 out of 5,(4)
White Label Mini Réchaud Electrique - 1000 W - Blanc,4 900 FCFA,https://www.jumia.sn/mini-rechaud-electrique-1000-w-blanc-white-label-mpg43677.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/70129/1.jpg?5331,False,10 000 FCFA,51%,4.6 out of 5,(5)
Generic Cuisinière de Table - 2 Feux,20 000 FCFA,https://www.jumia.sn/cuisiniere-de-table-2-feux-generic-mpg9509.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/8644/1.jpg?8543,False,,,3.5 out of 5,(6)
Generic Réchaud électrique 500w blanc,7 000 FCFA,https://www.jumia.sn/generic-rechaud-electrique-500w-blanc-9963076.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/03699/1.jpg?3546,False,10 000 FCFA,30%,,
Generic Cuisinière - Plaque Chauffante Electrique PM 10 cm - 500W - CA820665,9 000 FCFA,https://www.jumia.sn/generic-cuisiniere-plaque-chauffante-electrique-pm-10-cm-500w-ca820665-9277766.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/77729/1.jpg?5232,False,18 000 FCFA,50%,5 out of 5,(1)
Generic Mini réchaud en Métal - 880g - 220 V-230 V,4 500 FCFA,https://www.jumia.sn/mini-rechaud-en-metal-880g-220-v-230-v-generic-mpg26529.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/73134/1.jpg?0664,False,,,3.7 out of 5,(9)
Generic Plaque chauffante électrique multifonction portable chauffe-cuisine STR,8 000 FCFA,https://www.jumia.sn/generic-plaque-chauffante-electrique-multifonction-portable-chauffe-cuisine-str-10022460.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/422001/1.jpg?1528,False,18 000 FCFA,56%,,
White Label Mini Réchaud Electrique - 5000 W - Blanc,4 900 FCFA,https://www.jumia.sn/white-label-mini-rechaud-electrique-5000-w-blanc-3534394.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/34353/1.jpg?2156,False,,,3 out of 5,(1)
Hot Plate Réchaud Double Feu Electrique - 2000 W - Blanc,8 000 FCFA,https://www.jumia.sn/rechaud-double-feu-electrique-2000-w-blanc-hot-plate-mpg36469.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/94089/1.jpg?3181,False,,,4 out of 5,(2)
Generic Plaque chauffante numérique - CA820670,24 900 FCFA,https://www.jumia.sn/generic-plaque-chauffante-numerique-ca820670-8815777.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/75188/1.jpg?6178,False,50 000 FCFA,50%,3.5 out of 5,(2)
