name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Roch Blender avec broyeur 2 en 1 - 1.5 L - Roch RBL-113-C,9 600 FCFA,https://www.jumia.sn/blender-avec-broyeur-2-en-1-1.5-l-roch-rbl-113-c-roch-mpg43720.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/78389/1.jpg?6400,True,20 000 FCFA,52%,3.9 out of 5,(102)
Roch Blender avec broyeur 2 en 1 - 1.5 L - Roch RBL-116-C,9 600 FCFA,https://www.jumia.sn/roch-blender-avec-broyeur-2-en-1-1.5-l-roch-rbl-116-c-9838793.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/78389/1.jpg?3499,True,20 000 FCFA,52%,4 out of 5,(73)
Generic Batteur Electrique - 7 vitesses - 260W - Blanc,4 228 FCFA,https://www.jumia.sn/batteur-electrique-7-vitesses-180w-blanc-generic-mpg32616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/75016/1.jpg?8862,True,8 290 FCFA,49%,4 out of 5,(80)
Astech Réfrigérateur bar 2 portes 85L - FP 118 - Gris,95 500 FCFA,https://www.jumia.sn/refrigerateur-bar-2-portes-118l-a-astech-fp-118-astech-mpg44992.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/94489/1.jpg?1050,True,105 000 FCFA,9%,3.7 out of 5,(10)
SMART TECHNOLOGY Congélateur Horizontal 72 Litres Brut - Gris - Garantie 12 Mois,88 850 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-72-litres-brut-gris-garantie-12-mois-8886039.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/06888/4.jpg?2172,True,150 000 FCFA,41%,3.1 out of 5,(11)
Astech Réfrigérateur - Astech - 2 Portes - Gris - 138 Litres - A+ - Garantie 12 Mois,139 950 FCFA,https://www.jumia.sn/refrigerateur-astech-2-portes-gris-138-litres-a-garantie-12-mois-astech-mpg42011.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/94489/1.jpg?1050,True,145 000 FCFA,3%,3.3 out of 5,(29)
Haier Réfrigérateur Combiné 175 Litres - 3 Tiroirs - HDR230MPS – Garantie 12 Mois,159 900 FCFA,https://www.jumia.sn/haier-refrigerateur-combine-175-litres-3-tiroirs-hdr230mps-garantie-12-mois-9970868.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/80799/1.jpg?7805,True,167 617 FCFA,5%,,
SMART TECHNOLOGY Cuisinière à Gaz 4 Feux Inox -Four- Rotisseur - Allumage automatique - 50x50Cm - Inox,92 200 FCFA,https://www.jumia.sn/smart-technology-cuisiniere-a-gaz-4-feux-inox-four-rotisseur-allumage-automatique-50x50cm-inox-9752801.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/82579/1.jpg?2189,True,150 000 FCFA,39%,4.4 out of 5,(25)
SMART TECHNOLOGY Réfrigérateur Bar 1 Porte 90 Litres - Inox - Garantie 12 Mois,79 900 FCFA,https://www.jumia.sn/smart-technology-refrigerateur-bar-1-porte-90-litres-inox-garantie-12-mois-9827947.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/97289/1.jpg?8449,True,100 000 FCFA,20%,3.1 out of 5,(13)
Astech Cuisinière 4 feux 50X50 CSI-50MS,76 900 FCFA,https://www.jumia.sn/astech-cuisiniere-4-feux-50x50-csi-50ms-9850925.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/90589/1.jpg?2251,True,90 000 FCFA,15%,3.5 out of 5,(6)
