name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Tondeuse Rechargeable Yandou - Epilatoire - Unisex,4 290 FCFA,https://www.jumia.sn/generic-tondeuse-rechargeable-yandou-epilatoire-unisex-9223443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/43229/1.jpg?5586,False,14 000 FCFA,69%,,
Generic CORRECTEUR DE POSTURE INTELLIGENT AVEC CAPTEUR INTELLIGENT,7 000 FCFA,https://www.jumia.sn/generic-correcteur-de-posture-intelligent-avec-capteur-intelligent-9805652.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/65089/1.jpg?5397,False,9 000 FCFA,22%,,
Generic Tondeuse Rechargeable Yandou - Moteur silencieux et ultra puissant - 220V - 3W,3 900 FCFA,https://www.jumia.sn/tondeuse-rechargeable-yandou-moteur-silencieux-et-ultra-puissant-220v-3w-generic-mpg2754.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/8101/1.jpg?3707,False,4 900 FCFA,20%,4 out of 5,(4)
Generic Tondeuse Rechargeable Yandou - Moteur silencieux / ultra puissant - 220V - 3W,3 890 FCFA,https://www.jumia.sn/generic-tondeuse-rechargeable-yandou-moteur-silencieux-ultra-puissant-220v-3w-9223437.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/43229/1.jpg?0788,False,10 000 FCFA,61%,4.3 out of 5,(4)
Autre Dissolvant de callosités pédicure motorisé avec aspirateur intégré,7 500 FCFA,https://www.jumia.sn/autre-dissolvant-de-callosites-pedicure-motorise-avec-aspirateur-integre-9793851.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/83979/1.jpg?2047,False,15 000 FCFA,50%,,
Inse Porte capsules rotatif,12 000 FCFA,https://www.jumia.sn/inse-porte-capsules-rotatif-3676696.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/66763/1.jpg?6067,False,,,5 out of 5,(1)
White Label Mètre électrique d'artefact de visage de bain de soin personnel lavant un visage,4 250 FCFA,https://www.jumia.sn/metre-electrique-dartefact-de-visage-de-bain-de-soin-personnel-lavant-un-visage-white-label-mpg38513.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/76516/1.jpg?0864,False,9 000 FCFA,53%,,
Sanitas ELECTROSTIMULATEUR TENS POUR GENOUX ET COUDES,27 500 FCFA,https://www.jumia.sn/sanitas-electrostimulateur-tens-pour-genoux-et-coudes-6100396.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/30016/1.jpg?7895,False,,,,
Elite CALOR ELITE OPTILISS SF3212,24 900 FCFA,https://www.jumia.sn/elite-calor-elite-optiliss-sf3212-9828315.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/38289/1.jpg?4521,False,28 000 FCFA,11%,,
Elite CALOR ELITE STUDIO DRY+,24 900 FCFA,https://www.jumia.sn/elite-calor-elite-studio-dry-9828333.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/38289/1.jpg?8374,False,30 000 FCFA,17%,,
Elite CALOR HANDY DRY CV1612,14 900 FCFA,https://www.jumia.sn/elite-calor-handy-dry-cv1612-9828341.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/38289/1.jpg?8375,False,17 000 FCFA,12%,,
Elite CALOR SIGNATURE PRO AC 7812,28 900 FCFA,https://www.jumia.sn/elite-calor-signature-pro-ac-7812-9828319.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/38289/1.jpg?4521,False,35 000 FCFA,17%,,
