name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Apple IPhone X - 4G LTE - 5.8 Pouces - 3Go Ram - 64Go Rom - 12 Mpx - Blanc - Reconditionné,169 900 FCFA,https://www.jumia.sn/apple-iphone-x-4g-lte-5.8-pouces-3go-ram-64go-rom-12-mpx-blanc-reconditionne-9842231.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/22489/1.jpg?8232,True,229 000 FCFA,26%,4.8 out of 5,(4)
Apple IPhone 13 Pro - 6.1 - 128 Go - 12 Mpx - 12 Mpx - 5G - Gold,685 900 FCFA,https://www.jumia.sn/apple-iphone-13-pro-6.1-128-go-12-mpx-12-mpx-5g-gold-9846941.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/96489/1.jpg?2820,True,755 000 FCFA,9%,,
"Apple iPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Gold",139 500 FCFA,https://www.jumia.sn/apple-iphone-7-plus-5.5-4g-3128go-12mpx-reconditionne-gold-9698758.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/78969/1.jpg?7818,True,189 900 FCFA,27%,4 out of 5,(3)
Apple IPhone X - 4G LTE - 5.8 Pouces - 3Go Ram - 64Go Rom - 12 Mpx - Space Grey - Reconditionné,170 500 FCFA,https://www.jumia.sn/apple-iphone-x-4g-lte-5.8-pouces-3go-ram-64go-rom-12-mpx-space-grey-reconditionne-9848368.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/38489/1.jpg?8232,True,229 000 FCFA,26%,,
"Apple iPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Silver",139 500 FCFA,https://www.jumia.sn/apple-iphone-7-plus-5.5-4g-3128go-12mpx-reconditionne-silver-9794995.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/94979/1.jpg?8920,True,189 900 FCFA,27%,,
"Apple iPhone 8 Plus - 5.5""- 4GLTE- 64Go ROM - 3Go RAM - 12Mpx - Reconditionné - Noir",170 500 FCFA,https://www.jumia.sn/apple-iphone-8-plus-5.5-4glte-64go-rom-3go-ram-12mpx-reconditionne-noir-9699585.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/59969/1.jpg?0157,True,265 000 FCFA,36%,5 out of 5,(2)
"Apple IPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Noir",135 900 FCFA,https://www.jumia.sn/apple-iphone-7-plus-5.5-4g-3128go-12mpx-reconditionne-noir-9695835.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/85969/1.jpg?9970,True,189 900 FCFA,28%,3 out of 5,(2)
Apple IPhone 11 – 4G - 12 Mpx – 6.1’’- 4/64 Go - Blanc,283 600 FCFA,https://www.jumia.sn/apple-iphone-11-4g-12-mpx-6.1-464-go-blanc-9845384.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/35489/1.jpg?6455,True,338 000 FCFA,16%,,
"Apple IPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Rose Gold",135 900 FCFA,https://www.jumia.sn/apple-iphone-7-plus-5.5-4g-3128go-12mpx-rose-gold-9699117.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/19969/1.jpg?6018,True,189 900 FCFA,28%,5 out of 5,(1)
"Apple IPhone XR- 6.1""- 12 Mpx- 64 Go- IOS 12- 4G- Blanc",185 900 FCFA,https://www.jumia.sn/apple-iphone-xr-6.1-12-mpx-64-go-ios-12-4g-blanc-10024195.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/142001/1.jpg?2462,True,300 000 FCFA,38%,,
