name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Body Huile Disaar Carrot Miracle pour les Peaux, Corps 100ml",2 199 FCFA,https://www.jumia.sn/huile-disaar-carrot-miracle-pour-les-peaux-corps-100ml-body-mpg31185.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/90099/1.jpg?2954,False,7 000 FCFA,69%,,
Disaar BEAUTY Huile d'Olive d'Espagne - 240 ml,1 800 FCFA,https://www.jumia.sn/beauty-huile-dolive-despagne-240-ml-disaar-mpg31417.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/26289/1.jpg?8008,False,5 000 FCFA,64%,,
"Generic Le Dr Bojay - Huile Essentielle de Ginseng pour les Cheveux, Visage, Peau, Corps",2 490 FCFA,https://www.jumia.sn/le-dr-bojay-huile-essentielle-de-ginseng-pour-les-cheveux-visage-peau-corps-generic-mpg34036.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/94979/1.jpg?5846,False,10 000 FCFA,75%,4 out of 5,(1)
Ahsan Lot de 3 désodorisant chambre bureau 900ml,3 600 FCFA,https://www.jumia.sn/ahsan-lot-de-3-desodorisant-chambre-bureau-900ml-9992951.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/92999/1.jpg?7336,False,,,,
"Body Huile Disaar de Jojoba naturelle pour les Peaux, Corps 100ml",2 909 FCFA,https://www.jumia.sn/huile-disaar-de-jojoba-naturelle-pour-les-peaux-corps-100ml-body-mpg31188.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/65089/1.jpg?5150,False,6 500 FCFA,55%,,
Naseem Thiouraye Bakhour Sadaat et Amani by Naseem,8 500 FCFA,https://www.jumia.sn/thiouraye-bakhour-sadaat-et-amani-by-naseem-naseem-mpg38173.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/43406/1.jpg?0370,False,,,5 out of 5,(1)
Naseem Thiouraye Bakhour Burhan by Naseem,4 000 FCFA,https://www.jumia.sn/thiouraye-bakhour-burhan-by-naseem-naseem-mpg38171.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/14606/1.jpg?6208,False,,,5 out of 5,(1)
Naseem Thiouraye Oud Sakina Bakhoor,8 250 FCFA,https://www.jumia.sn/naseem-thiouraye-oud-sakina-bakhoor-6172710.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/72716/1.jpg?0309,False,,,4 out of 5,(1)
Generic Kit de 3 Huiles essentielles,11 000 FCFA,https://www.jumia.sn/generic-kit-de-3-huiles-essentielles-9843829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/83489/1.jpg?8332,False,,,,
Disaar BEAUTY Huile d'Olive d'Espagne 2X - 240 ml,3 000 FCFA,https://www.jumia.sn/disaar-beauty-huile-dolive-despagne-2x-240-ml-9900545.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/50099/1.jpg?2346,False,10 000 FCFA,70%,,
