name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Paint Roller Rouleaux de peinture murale mour Maison Bureau brosse poignée,5 600 FCFA,https://www.jumia.sn/generic-paint-roller-rouleaux-de-peinture-murale-mour-maison-bureau-brosse-poignee-9993121.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/13999/1.jpg?2866,False,15 000 FCFA,63%,,
Generic Sticker Fleurs 3D - Effet Miroir,2 500 FCFA,https://www.jumia.sn/sticker-fleurs-3d-effet-miroir-generic-mpg45633.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/971/1.jpg?8867,False,3 000 FCFA,17%,3.4 out of 5,(23)
Generic 12 Pieces Hexagonaux Autocollant 3D Effet Miroir 15x15cm,13 500 FCFA,https://www.jumia.sn/generic-12-pieces-hexagonaux-autocollant-3d-effet-miroir-15x15cm-9793040.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/03979/1.jpg?3822,False,15 000 FCFA,10%,,
Generic Window Curtains Tiger Mother Baby Cub Together Lion Modern,6 575 FCFA,https://www.jumia.sn/generic-window-curtains-tiger-mother-baby-cub-together-lion-modern-1968082.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/08691/1.jpg?5251,False,12 892 FCFA,49%,,
Generic Tableau Décoratif Mural En Bois Motif Fleur Blanc/Doré 45*45cm,15 000 FCFA,https://www.jumia.sn/generic-tableau-decoratif-mural-en-bois-motif-fleur-blancdore-4545cm-8790065.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/00978/1.jpg?5345,False,,,,
Generic Fleurs de papier - art de Mur - Ensemble de Fleurs de Papier,40 000 FCFA,https://www.jumia.sn/generic-fleurs-de-papier-art-de-mur-ensemble-de-fleurs-de-papier-8813378.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/33188/1.jpg?6106,False,,,,
Generic Décos Cercles Effet Miroir - Taille moyenne 115 X 62cm,16 500 FCFA,https://www.jumia.sn/generic-decos-cercles-effet-miroir-taille-moyenne-115-x-62cm-45063.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/054/1.jpg?2246,False,17 500 FCFA,6%,3.8 out of 5,(16)
White Label Tableau Décoratif - Cœur - 30 x 60cm x 2 pces ; 30 x 80cm x 2pces - Rose,39 500 FCFA,https://www.jumia.sn/white-label-tableau-decoratif-coeur-30-x-60cm-x-2-pces-30-x-80cm-x-2pces-rose-58648.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/685/1.jpg?7863,False,,,5 out of 5,(1)
Generic Fleurs de papier - art de Mur - Ensemble de Fleurs de Papier,35 000 FCFA,https://www.jumia.sn/generic-fleurs-de-papier-art-de-mur-ensemble-de-fleurs-de-papier-8813379.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/33188/1.jpg?6106,False,,,,
White Label Tableau arbre gris rouge,42 500 FCFA,https://www.jumia.sn/white-label-tableau-arbre-gris-rouge-63607.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/636/1.jpg?7146,False,,,5 out of 5,(1)
