name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Renova Papier Toilette - 4 Rouleaux Super,780 FCFA,https://www.jumia.sn/renova-papier-toilette-4-rouleaux-super-9790331.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/30979/1.jpg?9238,True,,,4.5 out of 5,(6)
Energizer Pile AAA R3 x 2,570 FCFA,https://www.jumia.sn/energizer-pile-aaa-r3-x-2-9790382.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/30979/1.jpg?0009,True,,,5 out of 5,(1)
4 Blocs De Chasse D'eau - 50g,890 FCFA,https://www.jumia.sn/carrefour-4-blocs-de-chasse-deau-50g-6078312.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/38706/1.jpg?3483,False,,,4.8 out of 5,(4)
Energizer Pile 9V,1 200 FCFA,https://www.jumia.sn/energizer-pile-9v-9790379.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/30979/1.jpg?7022,True,,,,
Other Ambientador concentrée Alicia - 125 ml + 25ml Offert,1 900 FCFA,https://www.jumia.sn/ambientador-concentree-alicia-125-ml-25ml-offert-other-mpg37184.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/28516/1.jpg?3451,False,,,,
Renova Papier Toilette - 12 Rouleaux Super,2 460 FCFA,https://www.jumia.sn/renova-papier-toilette-12-rouleaux-super-9790326.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/30979/1.jpg?9265,True,,,,
White Label Lave vitre magnétique double face,5 500 FCFA,https://www.jumia.sn/lave-vitre-magnetique-double-face-white-label-mpg40508.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/15289/1.jpg?0093,False,,,4 out of 5,(1)
Yotox Insecticide Jaune 400ML,890 FCFA,https://www.jumia.sn/yotox-insecticide-jaune-400ml-9756750.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/76579/1.jpg?9597,True,,,5 out of 5,(3)
Green Leaf 4 Pièges à leurre pour souris et rat panneaux collants de force piège à colle intérieur et extérieur,1 990 FCFA,https://www.jumia.sn/4-pieges-a-leurre-pour-souris-et-rat-panneaux-collants-de-force-piege-a-colle-interieur-et-exterieur-green-leaf-mpg36405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/04706/1.jpg?4067,False,5 000 FCFA,60%,3 out of 5,(3)
Yotox Insecticide Suractivé 520ML,1 600 FCFA,https://www.jumia.sn/yotox-insecticide-suractive-520ml-9756748.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/76579/1.jpg?9567,True,,,4 out of 5,(1)
Generic Packs de 10 Craie Outil tueur Insectes Rampant et cafards,2 340 FCFA,https://www.jumia.sn/generic-packs-de-10-craie-outil-tueur-insectes-rampant-et-cafards-9797468.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/47979/1.jpg?3312,False,2 500 FCFA,6%,,
Nova Desodorisant Nova Fresh Nuit D'orient 500ml,1 175 FCFA,https://www.jumia.sn/desodorisant-nova-fresh-nuit-dorient-500ml-nova-mpg30182.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/28516/1.jpg?3450,False,,,4.5 out of 5,(2)
Generic POUDRE INSECTICIDE POWER PACK DE 24 X 30GR,4 800 FCFA,https://www.jumia.sn/generic-poudre-insecticide-power-pack-de-24-x-30gr-4323858.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/83234/1.jpg?7328,False,10 000 FCFA,52%,,
Generic Sniper Pour Punaise De Lit - Insecte - Cafards 100ml,3 890 FCFA,https://www.jumia.sn/generic-sniper-pour-punaise-de-lit-insecte-cafards-100ml-10030281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/203001/1.jpg?8542,False,7 500 FCFA,48%,,
Energizer Pile AA R6 x 4,1 070 FCFA,https://www.jumia.sn/energizer-pile-aa-r6-x-4-9790381.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/30979/1.jpg?7109,True,,,,
White Label Nova Lampe Anti moustique Insecte électrique,8 500 FCFA,https://www.jumia.sn/nova-lampe-anti-moustique-insecte-electrique-white-label-mpg38516.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/82216/1.jpg?4348,False,20 000 FCFA,58%,2 out of 5,(2)
