name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Mouchoirs De bureau / Evènementiel rouge,3 500 FCFA,https://www.jumia.sn/generic-mouchoirs-de-bureau-evenementiel-rouge-9728095.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/08279/1.jpg?7424,False,,,5 out of 5,(2)
Generic Mouchoirs De bureau / Evènementiel rose,3 500 FCFA,https://www.jumia.sn/generic-mouchoirs-de-bureau-evenementiel-rose-9728091.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/08279/1.jpg?5598,False,,,5 out of 5,(1)
Generic Guirlandes Lumineuses Décorative - LED - 2M - 10 Ampoules,1 400 FCFA,https://www.jumia.sn/generic-guirlandes-lumineuses-decorative-led-2m-10-ampoules-9801087.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/01089/1.jpg?9396,True,2 745 FCFA,49%,4 out of 5,(1)
Generic TELOTUNY 1 Set enfants dessin animé cuisine cuisine maison jouet fille jeu de rôle Mini Simulation ustensiles de cuisine vaisselle ustensiles de cuisine Z0109（#PK）,7 686 FCFA,https://www.jumia.sn/generic-telotuny-1-set-enfants-dessin-anime-cuisine-cuisine-maison-jouet-fille-jeu-de-role-mini-simulation-ustensiles-de-cuisine-vaisselle-ustensiles-de-cuisine-z0109pk-2968852.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/88692/1.jpg?8574,False,15 071 FCFA,49%,,
"Generic Malette - Ensemble Cuillère, Fourchette et Couteau - 24 PCSs",9 300 FCFA,https://www.jumia.sn/malette-ensemble-cuillere-fourchette-et-couteau-24-pcss-generic-mpg39580.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/09429/1.jpg?9245,False,13 580 FCFA,32%,4 out of 5,(5)
White Label Lot de 12 ballons de décoration gonflables,1 999 FCFA,https://www.jumia.sn/white-label-lot-de-12-ballons-de-decoration-gonflables-9805107.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/15089/1.jpg?5156,False,5 500 FCFA,64%,1 out of 5,(1)
Generic Lot de 3 tasses pour café,2 500 FCFA,https://www.jumia.sn/generic-lot-de-3-tasses-pour-cafe-9902489.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/42099/1.jpg?8699,False,5 000 FCFA,50%,4 out of 5,(1)
White Label Lot de 12 ballons de décoration gonflables,1 999 FCFA,https://www.jumia.sn/white-label-lot-de-12-ballons-de-decoration-gonflables-9805109.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/15089/1.jpg?6777,False,5 500 FCFA,64%,4 out of 5,(1)
Generic Guirlande Lumineuse boitier commande pour Noël Jardin Chambre Mariage,4 000 FCFA,https://www.jumia.sn/generic-guirlande-lumineuse-boitier-commande-pour-noel-jardin-chambre-mariage-9797974.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/97979/1.jpg?3627,False,,,,
Arôme zone Fontaine avec filtre à eau 16 litres,19 000 FCFA,https://www.jumia.sn/arome-zone-fontaine-avec-filtre-a-eau-16-litres-216933.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/9612/1.jpg?3156,False,,,3 out of 5,(2)
"Generic Thermos en Acier Inoxydable, Affichage de température d'écran Tactile de LED 500 ml Bleu",3 700 FCFA,https://www.jumia.sn/thermos-en-acier-inoxydable-affichage-de-temperature-decran-tactile-de-led-500-ml-bleu-generic-mpg46245.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/02099/1.jpg?2672,False,5 000 FCFA,26%,4 out of 5,(1)
"Generic Guirlande Télécommande 3 x 3m pour rideau Noël, Mariage, Chambre",15 000 FCFA,https://www.jumia.sn/generic-guirlande-telecommande-3-x-3m-pour-rideau-noel-mariage-chambre-9781580.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/51879/1.jpg?2939,False,25 000 FCFA,40%,,
Generic Cherry Couture Set 13 Pièces - Couvert Repas - Noir,13 900 FCFA,https://www.jumia.sn/generic-cherry-couture-set-13-pieces-couvert-repas-noir-9199616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/69919/1.jpg?8821,False,25 000 FCFA,44%,1.3 out of 5,(3)
"Generic Thermos en Acier Inoxydable, Affichage de température d'écran Tactile de LED 500 ml",3 700 FCFA,https://www.jumia.sn/thermos-en-acier-inoxydable-affichage-de-temperature-decran-tactile-de-led-500-ml-generic-mpg46243.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/02099/1.jpg?7392,False,5 000 FCFA,26%,5 out of 5,(1)
White Label Planche à découper Modulaire en Récipient avec Evacuation,3 490 FCFA,https://www.jumia.sn/planche-a-decouper-modulaire-en-recipient-avec-evacuation-white-label-mpg38559.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/24306/1.jpg?3401,False,6 500 FCFA,46%,4 out of 5,(14)
White Label Lot de 12 ballons de décoration gonflables,1 600 FCFA,https://www.jumia.sn/white-label-lot-de-12-ballons-de-decoration-gonflables-9805106.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/15089/1.jpg?5156,False,5 500 FCFA,71%,,
Sokany hachoir électrique,12 000 FCFA,https://www.jumia.sn/sokany-hachoir-electrique-10023726.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/732001/1.jpg?4857,False,,,,
Chin Série bol mahroush -50cm 45cm 40cm 35cm,30 000 FCFA,https://www.jumia.sn/chin-serie-bol-mahroush-50cm-45cm-40cm-35cm-9993185.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/13999/1.jpg?4884,False,,,,
Generic Offre : Ballon gonflable Lettres - Happy Birthday - Argent + 20 ballons-Multicolores,4 760 FCFA,https://www.jumia.sn/generic-offre-ballon-gonflable-lettres-happy-birthday-argent-20-ballons-multicolores-481570.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/5184/1.jpg?4434,False,10 000 FCFA,52%,3.7 out of 5,(3)
Generic 6 lot de verre pour petit déjeuner,4 300 FCFA,https://www.jumia.sn/generic-6-lot-de-verre-pour-petit-dejeuner-9900816.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/80099/1.jpg?8064,False,6 900 FCFA,38%,,
Generic Planche à découper Modulaire en Récipient avec Evacuation,3 890 FCFA,https://www.jumia.sn/generic-planche-a-decouper-modulaire-en-recipient-avec-evacuation-6034291.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/24306/1.jpg?3181,False,6 500 FCFA,40%,5 out of 5,(1)
Generic Other PACK de Set de Couteaux + Planche à Découper,19 900 FCFA,https://www.jumia.sn/generic-other-pack-de-set-de-couteaux-planche-a-decouper-9191541.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/51919/1.jpg?7860,False,25 000 FCFA,20%,4 out of 5,(1)
Generic Ensemble De Vaisselle De 24 Pièces,11 000 FCFA,https://www.jumia.sn/ensemble-de-vaisselle-de-24-pieces-generic-mpg46203.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/76589/1.jpg?3261,False,12 500 FCFA,12%,4.1 out of 5,(9)
Generic Égouttoir à vaisselle pliable.,5 900 FCFA,https://www.jumia.sn/generic-egouttoir-a-vaisselle-pliable.-9205898.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/85029/1.jpg?6723,False,8 000 FCFA,26%,,
Generic White Label Coupe-spirale de Légumes - Blanc,2 800 FCFA,https://www.jumia.sn/generic-white-label-coupe-spirale-de-legumes-blanc-9196762.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/76919/1.jpg?0257,False,6 000 FCFA,53%,3 out of 5,(2)
Generic Boîte sucrier Sugar conserve d'aliments,6 750 FCFA,https://www.jumia.sn/generic-boite-sucrier-sugar-conserve-daliments-9926350.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/36299/1.jpg?6465,False,10 000 FCFA,33%,,
Generic Étagère Carrousel - 20 épices en Inox,16 000 FCFA,https://www.jumia.sn/generic-etagere-carrousel-20-epices-en-inox-9191696.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/61919/1.jpg?3409,False,22 000 FCFA,27%,5 out of 5,(1)
"Generic Guirlande Lumineuse Coeur 3.5M pour Fenêtre,Noël,Mariage,Anniversaire",18 500 FCFA,https://www.jumia.sn/generic-guirlande-lumineuse-coeur-3.5m-pour-fenetrenoelmariageanniversaire-9786506.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/56879/1.jpg?4069,False,30 000 FCFA,38%,,
Generic ensemble de couteaux à fromage,5 900 FCFA,https://www.jumia.sn/generic-ensemble-de-couteaux-a-fromage-9205893.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/85029/1.jpg?5660,False,8 000 FCFA,26%,4 out of 5,(1)
Generic Guirlande Lumineuse avec boitier commande pour Noël Jardin Chambre Mariage,3 500 FCFA,https://www.jumia.sn/generic-guirlande-lumineuse-avec-boitier-commande-pour-noel-jardin-chambre-mariage-9127998.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/97219/1.jpg?0710,False,,,4.7 out of 5,(3)
Generic Lot de 6 verres pour Petit Déjeuner,4 300 FCFA,https://www.jumia.sn/generic-lot-de-6-verres-pour-petit-dejeuner-9900815.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/80099/1.jpg?8291,False,6 900 FCFA,38%,,
Generic Set de 25 barquettes en aluminium,2 300 FCFA,https://www.jumia.sn/set-de-25-barquettes-en-aluminium-generic-mpg16773.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/96159/1.jpg?2176,False,,,4 out of 5,(3)
"Generic Guirlande Télécommande 3 x 3m pour rideau Noël, Mariage, Chambre",15 000 FCFA,https://www.jumia.sn/generic-guirlande-telecommande-3-x-3m-pour-rideau-noel-mariage-chambre-9781583.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/51879/1.jpg?2943,False,25 000 FCFA,40%,1 out of 5,(1)
Generic Autre Chariot utilitaire roulant en métal à 4 niveaux,16 500 FCFA,https://www.jumia.sn/generic-autre-chariot-utilitaire-roulant-en-metal-a-4-niveaux-9191700.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/71919/1.jpg?3409,False,20 000 FCFA,18%,4 out of 5,(1)
"Generic Guirlande Lumineuse Coeur multicouleur 3.5M pour Fenêtre,Noël,Mariage,Anniversaire",18 500 FCFA,https://www.jumia.sn/generic-guirlande-lumineuse-coeur-multicouleur-3.5m-pour-fenetrenoelmariageanniversaire-9786556.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/56879/1.jpg?7285,False,30 000 FCFA,38%,,
"Generic Guirlande led batterie Télécommande 3 x 3m pour rideau Noël, Mariage, Chambre",15 000 FCFA,https://www.jumia.sn/generic-guirlande-led-batterie-telecommande-3-x-3m-pour-rideau-noel-mariage-chambre-9786466.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/46879/1.jpg?2113,False,25 000 FCFA,40%,,
"Generic Guirlande Rideau Télécommande 3 x 3m Noël, Mariage, Chambre",15 000 FCFA,https://www.jumia.sn/generic-guirlande-rideau-telecommande-3-x-3m-noel-mariage-chambre-9751027.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/01579/1.jpg?0376,False,25 000 FCFA,40%,,
Generic Bébé collations bol enfants enfants nourriture stockage plats Anti déversement 360 rotation bébé solide alimentation plaque vaisselle bébé alimentation trucs（#Watermelon red）,5 918 FCFA,https://www.jumia.sn/generic-bebe-collations-bol-enfants-enfants-nourriture-stockage-plats-anti-deversement-360-rotation-bebe-solide-alimentation-plaque-vaisselle-bebe-alimentation-trucswatermelon-red-2967765.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/77692/1.jpg?9852,False,11 604 FCFA,49%,,
Generic ustensiles de cuisine vaisselltensiles de cuisine,14 000 FCFA,https://www.jumia.sn/generic-ustensiles-de-cuisine-vaisselltensiles-de-cuisine-9791973.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/91979/1.jpg?8967,False,25 000 FCFA,44%,,
"Generic Guirlande Lumineuse Croissant lune blanc chaud 3.5M pour Fenêtre,Noël,Mariage,Anniversaire",18 500 FCFA,https://www.jumia.sn/generic-guirlande-lumineuse-croissant-lune-blanc-chaud-3.5m-pour-fenetrenoelmariageanniversaire-9795169.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/15979/1.jpg?9889,False,30 000 FCFA,38%,,
