name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Aspirateur de Voiture tapis et meubles,5 500 FCFA,https://www.jumia.sn/generic-aspirateur-de-voiture-tapis-et-meubles-9970694.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/60799/1.jpg?8007,False,15 000 FCFA,63%,2 out of 5,(1)
Generic Aspirateur de Voiture tapis et meubles - Plastique - bleu blanc,5 500 FCFA,https://www.jumia.sn/generic-aspirateur-de-voiture-tapis-et-meubles-plastique-bleu-blanc-9970716.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/70799/1.jpg?8007,False,25 000 FCFA,78%,1 out of 5,(1)
Generic Aspirateur de Voiture - Plastique - Bleu Blanc,5 500 FCFA,https://www.jumia.sn/generic-aspirateur-de-voiture-plastique-bleu-blanc-9970728.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/70799/1.jpg?8007,False,8 000 FCFA,31%,,
Generic Balai Pulvérisateur Lave Sol avec tête Flexible,6 300 FCFA,https://www.jumia.sn/generic-balai-pulverisateur-lave-sol-avec-tete-flexible-9850199.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/10589/1.jpg?7417,False,15 600 FCFA,60%,,
Generic Aspirateur de Voiture - Plastique - Bleu Blanc,5 900 FCFA,https://www.jumia.sn/generic-aspirateur-de-voiture-plastique-bleu-blanc-10028879.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/882001/1.jpg?2501,False,20 000 FCFA,71%,,
Original Lave-Meubles Nettoyant Bois – Destello – 300 ml,2 400 FCFA,https://www.jumia.sn/original-lave-meubles-nettoyant-bois-destello-300-ml-474537.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/5474/1.jpg?0616,False,,,,
Generic Aspirateur de Voiture tapis et meubles - Plastique - bleu blanc,6 290 FCFA,https://www.jumia.sn/generic-aspirateur-de-voiture-tapis-et-meubles-plastique-bleu-blanc-9827847.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/87289/1.jpg?8116,False,15 000 FCFA,58%,,
Generic Aspirateur de Voiture tapis et meubles,9 000 FCFA,https://www.jumia.sn/aspirateur-de-voiture-tapis-et-meubles-generic-mpg32526.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/73895/1.jpg?5800,False,20 000 FCFA,55%,3 out of 5,(3)
White Label Balai Lave Sol avec Vaporisateur Intégré - Convient pour toutes surfaces,9 900 FCFA,https://www.jumia.sn/balai-lave-sol-avec-vaporisateur-integre-convient-pour-toutes-surfaces-white-label-mpg15397.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/78198/1.jpg?2033,False,25 000 FCFA,60%,3.9 out of 5,(8)
"Generic Pulvérisation eau vadrouille lavage à la main, Eau pulvérisateur plaque, ménage",8 000 FCFA,https://www.jumia.sn/generic-pulverisation-eau-vadrouille-lavage-a-la-main-eau-pulverisateur-plaque-menage-9998594.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/58999/1.jpg?1410,False,12 000 FCFA,33%,,
"Original Tapis d'Entrée Grand Modèle- ""WELCOME"" - Marron",7 000 FCFA,https://www.jumia.sn/original-tapis-dentree-grand-modele-welcome-marron-1575494.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/45751/1.jpg?8489,False,,,4.4 out of 5,(5)
White Label Pompe à Eau,1 900 FCFA,https://www.jumia.sn/pompe-a-eau-white-label-mpg5019.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/556/1.jpg?2423,False,,,,
Generic Base spéciale pour lave-linge et réfrigérateur Support mobile multifonctionnel,18 500 FCFA,https://www.jumia.sn/generic-base-speciale-pour-lave-linge-et-refrigerateur-support-mobile-multifonctionnel-9259300.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/39529/1.jpg?7055,False,,,,
White Label Aspirateur de Voiture - Plastique - Bleu Blanc,6 999 FCFA,https://www.jumia.sn/aspirateur-de-voiture-plastique-bleu-blanc-white-label-mpg6779.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/2512/1.jpg?5823,False,15 000 FCFA,53%,2.8 out of 5,(4)
Generic Balai Pulvérisateur Lave Sol avec tête Flexible,6 930 FCFA,https://www.jumia.sn/generic-balai-pulverisateur-lave-sol-avec-tete-flexible-9900019.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/00099/1.jpg?4809,False,15 600 FCFA,56%,,
White Label Mini Hachoir,7 500 FCFA,https://www.jumia.sn/white-label-mini-hachoir-65588.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/556/1.jpg?2543,False,,,,
Ingco Souffleur Électrique - 600W - AB4018,18 900 FCFA,https://www.jumia.sn/ingco-souffleur-electrique-600w-ab4018-9206125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/16029/1.jpg?0046,False,24 900 FCFA,24%,,
Destello Nettoyant Joint de Carreaux - Acide - 750 ml,3 000 FCFA,https://www.jumia.sn/destello-nettoyant-joint-de-carreaux-acide-750-ml-3331172.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/11333/1.jpg?8806,False,,,,
White Label Pack de Plusieurs Hachoirs,14 900 FCFA,https://www.jumia.sn/white-label-pack-de-plusieurs-hachoirs-65589.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/556/1.jpg?2640,False,,,,
Generic Aspirateur de Voiture tapis et meubles - Plastique - bleu blanc,5 950 FCFA,https://www.jumia.sn/aspirateur-de-voiture-tapis-et-meubles-plastique-bleu-blanc-generic-mpg32527.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/61879/1.jpg?6137,False,7 000 FCFA,15%,3.2 out of 5,(6)
Generic Mini Aspirateur de Voiture - Bleu Blanc,8 990 FCFA,https://www.jumia.sn/mini-aspirateur-de-voiture-bleu-blanc-generic-mpg1946.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/07783/1.jpg?0171,False,20 000 FCFA,55%,2.9 out of 5,(15)
Continental Edison Aspirateur Balai - à Main sans Sac 2 EN 1 - 600W,35 000 FCFA,https://www.jumia.sn/continental-edison-aspirateur-balai-a-main-sans-sac-2-en-1-600w-26207.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/262/1.jpg?9967,False,65 000 FCFA,46%,4 out of 5,(2)
Generic Balai Lave Sol - Convient pour Toutes Surfaces,8 500 FCFA,https://www.jumia.sn/generic-balai-lave-sol-convient-pour-toutes-surfaces-489146.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/1984/1.jpg?2698,False,17 400 FCFA,51%,4.3 out of 5,(9)
