name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Aspirateur soufflant et sec -haeger - Puissant moteur en cuivre, capacité 21L -220 240V- 60Hz",94 000 FCFA,https://www.jumia.sn/haeger-aspirateur-soufflant-et-sec-haeger-puissant-moteur-en-cuivre-capacite-21l-220-240v-60hz-9982051.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/02899/1.jpg?1646,False,100 000 FCFA,6%,,
Samsung ASPIRATEUR - SAMSUNG - SC4130 - ROUGE,75 000 FCFA,https://www.jumia.sn/samsung-aspirateur-samsung-sc4130-rouge-82679.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/628/1.jpg?0368,False,110 000 FCFA,32%,4 out of 5,(1)
Ingco Aspirateur maison 2.5L 2000W- VC20258 INGCO,59 000 FCFA,https://www.jumia.sn/aspirateur-maison-2.5l-2000w-vc20258-ingco-ingco-mpg45145.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/27489/1.jpg?3415,False,,,,
Generic Robot Aspirateur Automatique & Autonome,125 000 FCFA,https://www.jumia.sn/generic-robot-aspirateur-automatique-autonome-6023846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/83206/1.jpg?0113,False,,,2.7 out of 5,(3)
Generic aspirateur de voiture humide et sec,14 400 FCFA,https://www.jumia.sn/aspirateur-de-voiture-humide-et-sec-generic-mpg45689.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/23788/1.jpg?3095,False,14 900 FCFA,3%,2 out of 5,(3)
Ecovacs Aspirateur Robot Laveur - Puissance 2300 Pa - Blanc,249 999 FCFA,https://www.jumia.sn/ecovacs-aspirateur-robot-laveur-puissance-2300-pa-blanc-9849972.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/99489/1.jpg?1384,False,,,,
Generic Grand Aspirateur De Voiture Humide Et Sec Aspirateur De Voiture Super Aspiration-Jaune,14 500 FCFA,https://www.jumia.sn/generic-grand-aspirateur-de-voiture-humide-et-sec-aspirateur-de-voiture-super-aspiration-jaune-6065491.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/45606/1.jpg?8843,False,18 000 FCFA,19%,2.5 out of 5,(2)
Generic Aspirateur Balai -Réservoir A Poussière 1.5L -1000 Watts - Svc 3472 - Noir,44 500 FCFA,https://www.jumia.sn/aspirateur-balai-reservoir-a-poussiere-1.5l-1000-watts-svc-3472-noir-generic-mpg32525.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/30339/1.jpg?2744,False,55 000 FCFA,19%,4 out of 5,(1)
Generic Tampon de Nettoyage en Microfibre/ Balai à Chaud - Sol Sèche en Quelques Minutes,21 500 FCFA,https://www.jumia.sn/tampon-de-nettoyage-en-microfibre-balai-a-chaud-sol-seche-en-quelques-minutes-generic-mpg35761.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/56089/1.jpg?1951,False,35 000 FCFA,39%,,
Continental Edison Aspirateur Balai - à Main sans Sac - 600 W - Vert Blanc,32 500 FCFA,https://www.jumia.sn/continental-edison-aspirateur-balai-a-main-sans-sac-600-w-vert-blanc-58672.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/685/1.jpg?0684,False,75 000 FCFA,57%,4 out of 5,(2)
Ingco Aspirateur - 2000 W - 2.5L - VC20258,60 500 FCFA,https://www.jumia.sn/aspirateur-2000-w-2.5l-vc20258-ingco-mpg36603.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/98198/1.jpg?3082,False,129 000 FCFA,53%,4.6 out of 5,(5)
LG Aspirateur 21 Litres - 220W - Doré,72 780 FCFA,https://www.jumia.sn/lg-aspirateur-21-litres-220w-dore-9849462.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/49489/1.jpg?0085,True,85 000 FCFA,14%,,
LG Aspirateur 2 en 1- VS8404 - Vert,167 225 FCFA,https://www.jumia.sn/lg-aspirateur-2-en-1-vs8404-vert-9849463.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/49489/1.jpg?0085,True,175 000 FCFA,4%,,
Sharp ASPIRATEUR AVEC Sac ECCB 18S Rouge,89 900 FCFA,https://www.jumia.sn/sharp-aspirateur-avec-sac-eccb-18s-rouge-10000773.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/700001/1.jpg?5059,False,120 000 FCFA,25%,,
Autre Aspirateur sans Sac 2 en 1 - balai et à main - 400W,35 000 FCFA,https://www.jumia.sn/autre-aspirateur-sans-sac-2-en-1-balai-et-a-main-400w-9195550.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/55919/1.jpg?6768,False,75 000 FCFA,53%,,
Generic Aspirateur de solide et de liquide 20L 1200w,75 000 FCFA,https://www.jumia.sn/generic-aspirateur-de-solide-et-de-liquide-20l-1200w-9981704.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/71899/1.jpg?4050,False,87 000 FCFA,14%,,
