name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Lampe Anti Moustique - Blanc,5 990 FCFA,https://www.jumia.sn/lampe-anti-moustique-blanc-generic-mpg11781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/50529/1.jpg?3807,False,,,3.4 out of 5,(8)
Wireless Pompe à Eau électrique Rechargeable,3 199 FCFA,https://www.jumia.sn/pompe-a-eau-electrique-rechargeable-wireless-mpg20826.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/48749/1.jpg?2101,False,3 290 FCFA,3%,4.2 out of 5,(44)
Shenke Lot de 5 Recharges Liquide pour Diffuseur anti moustique,5 200 FCFA,https://www.jumia.sn/shenke-lot-de-5-recharges-liquide-pour-diffuseur-anti-moustique-114490.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/4411/1.jpg?4229,False,12 000 FCFA,57%,3.9 out of 5,(17)
Generic Aérosol Vitfe - Anti-Moustiques - 400 ml,1 300 FCFA,https://www.jumia.sn/aerosol-vitfe-anti-moustiques-400-ml-generic-mpg32536.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/63603/1.jpg?3642,False,,,,
Generic Pompe à Eau Électrique Rechargeable - USB MODEL - HL -501,3 391 FCFA,https://www.jumia.sn/pompe-a-eau-electrique-rechargeable-usb-model-hl-501-generic-mpg23306.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/05149/1.jpg?6055,False,,,4.4 out of 5,(5)
Generic Lot de 5 Recharges Liquide pour Diffuseur anti moustique,5 190 FCFA,https://www.jumia.sn/lot-de-5-recharges-liquide-pour-diffuseur-anti-moustique-generic-mpg28949.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/26995/1.jpg?7006,False,10 000 FCFA,48%,3.7 out of 5,(3)
Generic 5 PACK 30 Recharges Diffuseur anti moustiques,4 900 FCFA,https://www.jumia.sn/5-pack-30-recharges-diffuseur-anti-moustiques-generic-mpg28320.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/93895/1.jpg?3890,False,9 090 FCFA,46%,4.6 out of 5,(8)
Generic Écran De Porte De Fermeture Automatique De Rideaux Magnétiques Anti Moustiques D'été -100*210cm - Noir,5 500 FCFA,https://www.jumia.sn/generic-ecran-de-porte-de-fermeture-automatique-de-rideaux-magnetiques-anti-moustiques-dete-100210cm-noir-9826883.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/86289/1.jpg?1081,True,8 990 FCFA,39%,,
Gener'Ink Diffuseur Electrique Anti Moustique -PLUS 30 recharges,4 900 FCFA,https://www.jumia.sn/generink-diffuseur-electrique-anti-moustique-plus-30-recharges-9249937.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/99429/1.jpg?5844,False,15 000 FCFA,67%,3.1 out of 5,(7)
Generic PifPaf Electrique - Diffuseur Anti Moustique + 1 Recharge,2 200 FCFA,https://www.jumia.sn/generic-pifpaf-electrique-diffuseur-anti-moustique-1-recharge-436459.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/4634/1.jpg?0591,False,,,2.5 out of 5,(2)
