name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Express Gant de musculation et fitness avec poignet en Microfibre,6 300 FCFA,https://www.jumia.sn/express-gant-de-musculation-et-fitness-avec-poignet-en-microfibre-10007840.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/870001/1.jpg?4030,False,,,,
Express Gant de musculation et fitness avec poignet en Microfibre,4 000 FCFA,https://www.jumia.sn/express-gant-de-musculation-et-fitness-avec-poignet-en-microfibre-9775014.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/05779/1.jpg?4429,False,15 000 FCFA,73%,4.7 out of 5,(3)
Kalenji Chaussure De Running Homme Run Cushion Brun By Decathlon,12 840 FCFA,https://www.jumia.sn/kalenji-chaussure-de-running-homme-run-cushion-brun-by-decathlon-9270175.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/10729/1.jpg?6339,False,,,4.3 out of 5,(9)
Generic 2x Maintiens Du Poignet Gauche/droite Pour Homme/femme,2 900 FCFA,https://www.jumia.sn/2x-maintiens-du-poignet-gauchedroite-pour-hommefemme-generic-mpg32267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/22779/1.jpg?6562,False,5 000 FCFA,42%,4.6 out of 5,(10)
Express Maintien Du Poignet Pour Homme/femme,3 000 FCFA,https://www.jumia.sn/express-maintien-du-poignet-pour-hommefemme-9772015.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/02779/1.jpg?4938,False,6 000 FCFA,50%,4.5 out of 5,(2)
Fashion Gant de Fitness/Musculation en Microfibre gris,3 000 FCFA,https://www.jumia.sn/gant-de-fitnessmusculation-en-microfibre-gris-fashion-mpg30222.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/30125/1.jpg?6275,False,10 000 FCFA,70%,3.2 out of 5,(10)
Kalenji Chaussures De Running Homme Kalenji Run 100 Blue Jean By Decathlon,11 235 FCFA,https://www.jumia.sn/kalenji-chaussures-de-running-homme-kalenji-run-100-blue-jean-by-decathlon-9270179.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/10729/1.jpg?6336,False,,,4.2 out of 5,(35)
Quechua Sac A Dos De Randonnee Nature - Nh100 - 10 Litres By Decathlon,3 210 FCFA,https://www.jumia.sn/quechua-sac-a-dos-de-randonnee-nature-nh100-10-litres-by-decathlon-9270268.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/20729/1.jpg?6343,False,,,3.4 out of 5,(5)
Kalenji Tee Shirt Running Homme Respirant Kalenji Dry Kaki Cendré By Decathlon,4 815 FCFA,https://www.jumia.sn/kalenji-tee-shirt-running-homme-respirant-kalenji-dry-kaki-cendre-by-decathlon-9270188.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/10729/1.jpg?6338,False,,,4 out of 5,(1)
"Nabaiji Chaussons Aquagym,aquabike Et Aquafitness Aquadots Noir By Decathlon",9 095 FCFA,https://www.jumia.sn/nabaiji-chaussons-aquagymaquabike-et-aquafitness-aquadots-noir-by-decathlon-9270314.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/30729/1.jpg?6344,False,,,5 out of 5,(1)
TARMAK KIT MINI BANDES ELASTIQUES SPORT EN LATEX X3 by decathlon,4 815 FCFA,https://www.jumia.sn/tarmak-kit-mini-bandes-elastiques-sport-en-latex-x3-by-decathlon-5973204.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/23795/1.jpg?5890,False,,,4 out of 5,(7)
Kipsta Chaussure De Football Enfant Terrains Secs Clr 500 Fg À Scratch Bleue Jaune Fluo By Decathlon,9 630 FCFA,https://www.jumia.sn/kipsta-chaussure-de-football-enfant-terrains-secs-clr-500-fg-a-scratch-bleue-jaune-fluo-by-decathlon-8814186.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/14188/1.jpg?9108,False,,,1 out of 5,(1)
White Label Nunchaku Chen Xi en acier inoxydable SLYK pour arts martiaux,3 500 FCFA,https://www.jumia.sn/nunchaku-chen-xi-en-acier-inoxydable-slyk-pour-arts-martiaux-white-label-mpg38517.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/82795/1.jpg?5931,False,5 000 FCFA,30%,4.3 out of 5,(8)
Kalenji Brassard Grand Smartphone Running Rose Corail Fluo By Decathlon,2 675 FCFA,https://www.jumia.sn/kalenji-brassard-grand-smartphone-running-rose-corail-fluo-by-decathlon-9275181.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/15729/1.jpg?2306,False,,,5 out of 5,(1)
Outshock GANTS DE BOXE 100 ROUGES DEBUTANT by decathlon,10 165 FCFA,https://www.jumia.sn/outshock-gants-de-boxe-100-rouges-debutant-by-decathlon-6044485.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/44406/1.jpg?6774,False,,,4.2 out of 5,(6)
Fashion Gant de protection pour motard en Microfibre,4 500 FCFA,https://www.jumia.sn/fashion-gant-de-protection-pour-motard-en-microfibre-9928334.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/38299/1.jpg?9691,False,12 000 FCFA - 15 000 FCFA,70%,,
Kipsta Chaussure De Football Adulte Terrains Secs Agility 900 Mesh Mid Fg Bordeaux By Decathlon,36 380 FCFA,https://www.jumia.sn/kipsta-chaussure-de-football-adulte-terrains-secs-agility-900-mesh-mid-fg-bordeaux-by-decathlon-9270168.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/10729/1.jpg?6337,False,,,,
Outshock BANDES DE BOXE 100 2 by decathlon,4 815 FCFA,https://www.jumia.sn/outshock-bandes-de-boxe-100-2-by-decathlon-6075695.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/65706/1.jpg?5599,False,,,,
Aptonia Crème De Protection Solaire Sport Ip50+ 50 Ml By Decathlon,4 280 FCFA,https://www.jumia.sn/aptonia-creme-de-protection-solaire-sport-ip50-50-ml-by-decathlon-8814170.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/14188/1.jpg?9108,False,,,4.5 out of 5,(2)
Generic Bande de resistance,5 800 FCFA,https://www.jumia.sn/bande-de-resistance-generic-mpg32589.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/46306/1.jpg?4672,False,25 000 FCFA,77%,3 out of 5,(2)
Generic Set de Punching Ball avec Gants Set de Boxe,25 000 FCFA,https://www.jumia.sn/generic-set-de-punching-ball-avec-gants-set-de-boxe-9794595.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/54979/1.jpg?9692,False,35 000 FCFA,29%,,
Nabaiji Lunettes De Natation - Xbase L Verres Clair - Bleu By Decathlon,3 745 FCFA,https://www.jumia.sn/nabaiji-lunettes-de-natation-xbase-l-verres-clair-bleu-by-decathlon-7954967.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/94597/1.jpg?8741,False,,,,
Fashion Half Finger Mountaineering Fitness Gloves Sports Tactics Gloves,4 400 FCFA,https://www.jumia.sn/half-finger-mountaineering-fitness-gloves-sports-tactics-gloves-fashion-mpg28226.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/96606/1.jpg?5908,False,7 900 FCFA,44%,4 out of 5,(1)
Domyos T-Shirt manches longues 100 fille GYM ENFANT blanc by decathlon,3 210 FCFA,https://www.jumia.sn/domyos-t-shirt-manches-longues-100-fille-gym-enfant-blanc-by-decathlon-6093310.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/33906/1.jpg?0362,False,,,,
Outshock BANDES DE BOXE 500 4M NOIRES by decathlon,7 490 FCFA,https://www.jumia.sn/outshock-bandes-de-boxe-500-4m-noires-by-decathlon-6093486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/43906/1.jpg?6945,False,,,5 out of 5,(1)
Domyos Short Respirant W500 Garçon Gym Enfant Bleu Marine By Decathlon,11 770 FCFA,https://www.jumia.sn/domyos-short-respirant-w500-garcon-gym-enfant-bleu-marine-by-decathlon-9270484.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/40729/1.jpg?6338,False,,,,
Everlast Unisex Core 2 Gants De Boxe Entraînement Sport,14 000 FCFA,https://www.jumia.sn/everlast-unisex-core-2-gants-de-boxe-entrainement-sport-10019576.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/591001/1.jpg?2344,False,20 000 FCFA,30%,,
