name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Gamme Complet Babymed Lait + Huile de massage + Savon douceur + Parfum + Pommade + Talc + Lingette,3 610 FCFA,https://www.jumia.sn/gamme-complet-babymed-lait-huile-de-massage-savon-douceur-parfum-pommade-talc-lingette-generic-mpg33576.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/75706/1.jpg?1487,False,3 890 FCFA,7%,4 out of 5,(23)
NIVEA Gel Douche - 3En1 - Corps/Visage/Cheveux - Homme,1 490 FCFA,https://www.jumia.sn/nivea-gel-douche-3en1-corpsvisagecheveux-homme-9840441.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/40489/1.jpg?7723,False,,,,
Babymed Gamme Complet Babymed Lait + Huile de massage + Savon douceur + Parfum + Pommade + Talc + Lingette,3 900 FCFA,https://www.jumia.sn/gamme-complet-babymed-lait-huile-de-massage-savon-douceur-parfum-pommade-talc-lingette-babymed-mpg28257.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/60229/1.jpg?5371,False,4 900 FCFA,20%,4.4 out of 5,(67)
Crème Douche Surgras Beurre De Karite - 400ML,2 780 FCFA,https://www.jumia.sn/cadum-creme-douche-surgras-beurre-de-karite-400ml-9123535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/53219/1.jpg?7011,True,,,3 out of 5,(1)
Generic Gant de toilette ( Gant en loofah ) - CA820514,2 990 FCFA,https://www.jumia.sn/generic-gant-de-toilette-gant-en-loofah-ca820514-104709.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/7401/1.jpg?0984,True,5 000 FCFA,40%,3.5 out of 5,(20)
Boudchou Gamme boudchou 8 articles ROSE,3 900 FCFA,https://www.jumia.sn/gamme-boudchou-8-articles-rose-boudchou-mpg25916.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/24116/1.jpg?7703,False,,,4.3 out of 5,(3)
Generic Gel douche éclaircissant bonne qualité-500ml,2 500 FCFA,https://www.jumia.sn/generic-gel-douche-eclaircissant-bonne-qualite-500ml-9806357.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/36089/1.jpg?0122,False,4 500 FCFA,44%,,
Gamme Cantu kids shampoo pour enfant Plus cantu detrangler,6 900 FCFA,https://www.jumia.sn/gamme-cantu-kids-shampoo-pour-enfant-plus-cantu-detrangler-cantu-mpg25913.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/76606/1.jpg?5107,False,,,4.3 out of 5,(7)
Gel Douche Hypoallergenique 400ML,2 780 FCFA,https://www.jumia.sn/cadum-gel-douche-hypoallergenique-400ml-9123536.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/53219/1.jpg?7511,True,,,4 out of 5,(2)
Generic Gant de Toilette ( Gant en loofah ) - Beige,1 400 FCFA,https://www.jumia.sn/gant-de-toilette-gant-en-loofah-beige-generic-mpg25243.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/28289/1.jpg?9864,False,6 000 FCFA,77%,3.5 out of 5,(6)
