name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Powerbank - 20000mAh - Rouge/Noir,5 398 FCFA,https://www.jumia.sn/generic-powerbank-20000mah-rougenoir-8841531.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/51488/1.jpg?9372,True,10 584 FCFA,49%,3.5 out of 5,(51)
Samsung - Power Bank 10000mAh - Original,13 500 FCFA,https://www.jumia.sn/samsung-power-bank-10000mah-original-9802044.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/02089/1.jpg?8683,False,18 500 FCFA,27%,4 out of 5,(3)
Generic Portable 5000mAh Banques De Puissance De Charge-P206A-Blanc,5 980 FCFA,https://www.jumia.sn/generic-portable-5000mah-banques-de-puissance-de-charge-p206a-blanc-3160357.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/30613/1.jpg?0117,True,8 611 FCFA,31%,4 out of 5,(40)
White Label Power bank Charge Rapide 10000 mAh Banques d’alimentation portable Noir,5 000 FCFA,https://www.jumia.sn/power-bank-charge-rapide-10000-mah-banques-dalimentation-portable-noir-white-label-mpg44353.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/91489/1.jpg?5648,False,12 000 FCFA,58%,,
Generic P206A-Portable 5000mAh Banques De Puissance De Charge - Noir,5 980 FCFA,https://www.jumia.sn/generic-p206a-portable-5000mah-banques-de-puissance-de-charge-noir-3160356.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/30613/1.jpg?8638,True,8 611 FCFA,31%,3.9 out of 5,(37)
Generic Powerbank 10000mAh - chargeur de batterie externe-blanc,5 082 FCFA,https://www.jumia.sn/generic-powerbank-10000mah-chargeur-de-batterie-externe-blanc-9806615.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/66089/1.jpg?1950,False,12 500 FCFA,59%,4 out of 5,(1)
Oraimo Powerbank 27000mAh - chargeur de batterie externe,20 000 FCFA,https://www.jumia.sn/oraimo-powerbank-27000mah-chargeur-de-batterie-externe-8875071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/05788/1.jpg?1372,False,45 000 FCFA,56%,,
TP Link Powerbank TP-link 10000mAh - chargeur de batterie externe,25 000 FCFA,https://www.jumia.sn/powerbank-tp-link-10000mah-chargeur-de-batterie-externe-tp-link-mpg46382.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/04016/1.jpg?7349,False,,,4.7 out of 5,(7)
Generic Power Bank Charge Rapide 10000 mAh Banques d’alimentation portable,5 800 FCFA,https://www.jumia.sn/generic-power-bank-charge-rapide-10000-mah-banques-dalimentation-portable-9900750.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/70099/1.jpg?4928,False,15 000 FCFA,61%,,
Generic POWER BANK wireless 10000MAH-trés efficace,11 500 FCFA,https://www.jumia.sn/generic-power-bank-wireless-10000mah-tres-efficace-9900352.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/30099/1.jpg?9251,False,19 900 FCFA,42%,,
Generic POWER BANK 10000 MAH wireless avec 4 câble de charge (4EN1),10 900 FCFA,https://www.jumia.sn/power-bank-10000-mah-wireless-avec-4-cable-de-charge-4en1-generic-mpg46083.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/30099/1.jpg?0979,False,19 000 FCFA,43%,,
Generic Power Bank Charge Rapide 10000 mAh Banques d’alimentation portable Noir,10 000 FCFA,https://www.jumia.sn/generic-power-bank-charge-rapide-10000-mah-banques-dalimentation-portable-noir-9970889.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/80799/1.jpg?5964,False,20 000 FCFA,50%,,
Generic Power Bank Charge Rapide 10000 mAh Banques d’alimentation portable Noir,12 000 FCFA,https://www.jumia.sn/generic-power-bank-charge-rapide-10000-mah-banques-dalimentation-portable-noir-9973920.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/93799/1.jpg?4280,False,20 000 FCFA,40%,,
Oraimo Power Bank Oraimo Traveler 3 Byte Massive Power 27000mAh,18 000 FCFA,https://www.jumia.sn/oraimo-power-bank-oraimo-traveler-3-byte-massive-power-27000mah-9969583.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/59699/1.jpg?8521,False,25 000 FCFA,28%,,
Generic PowerBank Smart - Pour Smartphones - 5000mAh - Flyght,8 990 FCFA,https://www.jumia.sn/generic-powerbank-smart-pour-smartphones-5000mah-flyght-9850260.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/20589/1.jpg?9674,False,20 000 FCFA,55%,,
Oraimo Powerbank 10000mAh - chargeur de batterie externe,12 000 FCFA,https://www.jumia.sn/powerbank-10000mah-chargeur-de-batterie-externe-oraimo-mpg37124.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/05788/1.jpg?1372,False,25 500 FCFA,53%,,
Fine Blue Power Banks - 6000 mah - Ecran LCD - Avec Câble - Blanc,5 520 FCFA,https://www.jumia.sn/fine-blue-power-banks-6000-mah-ecran-lcd-avec-cable-blanc-6026686.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/66206/1.jpg?7862,False,15 000 FCFA,63%,3.3 out of 5,(4)
Fine Blue Powerbank 6000 mAh D60 avec écran LCD - Banques d’alimentation portable,8 900 FCFA,https://www.jumia.sn/powerbank-6000-mah-d60-avec-ecran-lcd-banques-dalimentation-portable-fine-blue-mpg10829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/0065/1.jpg?0203,False,,,3.3 out of 5,(4)
Generic Power Bank Charge Rapide 10000 mAh Banques d’alimentation portable Noir,12 000 FCFA,https://www.jumia.sn/generic-power-bank-charge-rapide-10000-mah-banques-dalimentation-portable-noir-9973921.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/93799/1.jpg?4280,False,15 000 FCFA,20%,,
Generic Power Bank Charge Rapide 10000 mAh Banques d’alimentation portable Noir,12 000 FCFA,https://www.jumia.sn/generic-power-bank-charge-rapide-10000-mah-banques-dalimentation-portable-noir-9970892.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/80799/1.jpg?5965,False,15 000 FCFA,20%,,
Rohs POWER BANK wireless ORV 10000 MAH NOIR 4EN1,10 350 FCFA,https://www.jumia.sn/rohs-power-bank-wireless-orv-10000-mah-noir-4en1-9846547.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/56489/1.jpg?0905,False,20 000 FCFA,48%,,
Original POWER BANK ORV 10000 MAH NOIR,7 225 FCFA,https://www.jumia.sn/original-power-bank-orv-10000-mah-noir-9824625.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/64289/1.jpg?3684,False,10 000 FCFA,28%,5 out of 5,(1)
Generic Power Banks -de qualité - Ecran LCD - Avec Câble,19 900 FCFA,https://www.jumia.sn/generic-power-banks-de-qualite-ecran-lcd-avec-cable-6044044.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/04406/1.jpg?2657,False,35 000 FCFA,43%,,
Mobile POWER BANK MOBILE 12000 MAH BLANC 2 USB,7 875 FCFA,https://www.jumia.sn/mobile-power-bank-mobile-12000-mah-blanc-2-usb-9977597.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/57799/1.jpg?4455,False,14 000 FCFA,44%,,
Anker Chargeur Powerbank portable Anker 10 000 mAh ultra-rapide USB-C (entrée),19 900 FCFA,https://www.jumia.sn/anker-chargeur-powerbank-portable-anker-10-000-mah-ultra-rapide-usb-c-entree-9806355.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/36089/1.jpg?0122,False,40 900 FCFA,51%,,
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés Noir,7 900 FCFA,https://www.jumia.sn/generic-10000mah-power-banks-4-cables-tres-mince-de-charge-integres-noir-9990512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/50999/1.jpg?0457,False,10 000 FCFA,21%,,
Original POWER BANK ORV 30000 MAH BLANC,19 000 FCFA,https://www.jumia.sn/original-power-bank-orv-30000-mah-blanc-9994338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/34999/1.jpg?2449,False,35 000 FCFA,46%,,
Oraimo PowerBank Oraimo - Pour Smartphones A 07 - 200000mAh - Garantie 365 Jours,10 900 FCFA,https://www.jumia.sn/oraimo-powerbank-oraimo-pour-smartphones-a-07-200000mah-garantie-365-jours-10004958.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/940001/1.jpg?5559,False,20 000 FCFA,46%,,
White Label ZHUSE - Porte-monnaie Simili Cuir avec Powerbank Intégré - 4000mAh - Noir,25 000 FCFA,https://www.jumia.sn/zhuse-porte-monnaie-simili-cuir-avec-powerbank-integre-4000mah-noir-white-label-mpg27836.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/467/1.jpg?4003,False,40 000 FCFA,38%,,
Oraimo PowerBank Oraimo - Pour Smartphones A 09 - 200000mAh - Garantie 365 Jours,12 900 FCFA,https://www.jumia.sn/oraimo-powerbank-oraimo-pour-smartphones-a-09-200000mah-garantie-365-jours-10004850.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/840001/1.jpg?0105,False,20 000 FCFA,36%,,
Autre Batterie externe 2 000 mAH Noir,3 000 FCFA,https://www.jumia.sn/autre-batterie-externe-2-000-mah-noir-9927219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/27299/1.jpg?2459,False,5 000 FCFA,40%,,
Original POWER BANK ORV 20000 MAH NOIR,12 350 FCFA,https://www.jumia.sn/original-power-bank-orv-20000-mah-noir-9923023.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/03299/1.jpg?1190,False,20 000 FCFA,38%,5 out of 5,(1)
Mobile POWER BANK MOBILE 10000 MAH NOIR 2 USB,6 915 FCFA,https://www.jumia.sn/mobile-power-bank-mobile-10000-mah-noir-2-usb-9977615.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/67799/1.jpg?4456,False,12 000 FCFA,42%,,
