name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
White Power bank ( batterie externe10000mAh) avec 4 fils de sortie-blanc,4 800 FCFA,https://www.jumia.sn/power-bank-batterie-externe10000mah-avec-4-fils-de-sortie-blanc-white-mpg40290.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/64779/1.jpg?0398,False,11 500 FCFA,58%,3.3 out of 5,(9)
Oraimo Power Bank Charge Rapide 20000 mAh portable Garantie 365Jours,10 200 FCFA,https://www.jumia.sn/oraimo-power-bank-charge-rapide-20000-mah-portable-garantie-365jours-10028809.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/882001/1.jpg?1073,False,20 000 FCFA,49%,,
Oraimo - Power Bank Fast Charge 10000mAh,8 400 FCFA,https://www.jumia.sn/power-bank-fast-charge-10000mah-oraimo-mpg37113.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/54439/1.jpg?4073,False,12 000 FCFA,30%,4 out of 5,(1)
Oraimo Power Bank Charge Rapide 20000 mAh portable Garantie 365Jours,11 900 FCFA,https://www.jumia.sn/oraimo-power-bank-charge-rapide-20000-mah-portable-garantie-365jours-9735761.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/75379/1.jpg?7903,False,20 000 FCFA,41%,3.5 out of 5,(6)
Samsung Chargeur rapide - 2 USB - Type C - Noir / Blanc,2 500 FCFA,https://www.jumia.sn/samsung-chargeur-rapide-2-usb-type-c-noir-blanc-6026111.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/16206/1.jpg?1273,False,4 000 FCFA,38%,,
"Generic Hub USB 3.0 avec câble répartiteur chargeur 4 ports PC, Mac, imprimante",5 900 FCFA,https://www.jumia.sn/generic-hub-usb-3.0-avec-cable-repartiteur-chargeur-4-ports-pc-mac-imprimante-9970828.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/80799/1.jpg?2439,False,6 000 FCFA,2%,,
"Generic Montre Smart Watch , connectée par androïde et ios super qualité",35 000 FCFA,https://www.jumia.sn/generic-montre-smart-watch-connectee-par-androide-et-ios-super-qualite-9354691.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/64539/1.jpg?5314,False,,,,
White Label Power Bank Original 20 000 MA charge téléphone avec 4 cables,9 520 FCFA,https://www.jumia.sn/power-bank-original-20-000-ma-charge-telephone-avec-4-cables-white-label-mpg38579.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/72779/1.jpg?1318,False,34 000 FCFA,72%,,
Other Module Relais 2 Canaux,5 000 FCFA,https://www.jumia.sn/other-module-relais-2-canaux-29354.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/392/1.jpg?1702,False,,,,
Generic Câble Type-C - Blanc,1 290 FCFA,https://www.jumia.sn/cable-type-c-blanc-generic-mpg20127.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/38603/1.jpg?3697,False,2 200 FCFA,41%,,
