name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Tire-Lait Manuel de Haute Qualité - Blanc,7 200 FCFA,https://www.jumia.sn/generic-tire-lait-manuel-de-haute-qualite-blanc-9843666.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/63489/1.jpg?0141,False,19 000 FCFA,62%,3 out of 5,(4)
White Lot de 2 Biberon anti-coliques incassable Mer 250ml tétine,4 375 FCFA,https://www.jumia.sn/lot-de-2-biberon-anti-coliques-incassable-mer-250ml-tetine-white-mpg40283.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/75379/1.jpg?8237,False,14 000 FCFA,69%,4 out of 5,(5)
2 White Biberon d'alimentation avec Cuillère pour nouveau-né -90ML,2 900 FCFA,https://www.jumia.sn/2-white-biberon-dalimentation-avec-cuillere-pour-nouveau-ne-90ml-9797426.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/47979/1.jpg?9912,False,5 500 FCFA,47%,4 out of 5,(1)
2 White Lots de 2 Biberons à presser en Silicone avec Cuillère -90ML,3 500 FCFA,https://www.jumia.sn/2-white-lots-de-2-biberons-a-presser-en-silicone-avec-cuillere-90ml-9797425.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/47979/1.jpg?9912,False,5 500 FCFA,36%,4 out of 5,(2)
2 White Lots de 2 Biberons à presser en Silicone avec Cuillère -90ML,4 500 FCFA,https://www.jumia.sn/2-white-lots-de-2-biberons-a-presser-en-silicone-avec-cuillere-90ml-9797422.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/47979/1.jpg?9912,False,5 500 FCFA,18%,,
Generic Couverture bébé fille,4 900 FCFA,https://www.jumia.sn/generic-couverture-bebe-fille-9805036.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/05089/1.jpg?6073,False,10 000 FCFA,51%,3 out of 5,(2)
"Sannea Sac isotherme Sannea – Sacs à déjeuner pour enfants et adultes, Sacs de pique nique - Aléatoire",10 000 FCFA,https://www.jumia.sn/sannea-sac-isotherme-sannea-sacs-a-dejeuner-pour-enfants-et-adultes-sacs-de-pique-nique-aleatoire-9963018.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/03699/1.jpg?9084,False,15 000 FCFA,33%,,
Generic Couverture bébé fille rose,4 900 FCFA,https://www.jumia.sn/generic-couverture-bebe-fille-rose-9805037.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/05089/1.jpg?6073,False,10 000 FCFA,51%,,
"Sannea Sac isotherme Sannea – Sacs à déjeuner pour enfants et adultes, Sacs de pique nique - Aléatoire",10 000 FCFA,https://www.jumia.sn/sannea-sac-isotherme-sannea-sacs-a-dejeuner-pour-enfants-et-adultes-sacs-de-pique-nique-aleatoire-10028302.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/382001/1.jpg?0133,False,,,,
Chicco Biberon Silicone Perfect5 240ML Rose 2M,6 810 FCFA,https://www.jumia.sn/chicco-biberon-silicone-perfect5-240ml-rose-2m-9753774.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/73579/1.jpg?0039,True,,,4 out of 5,(1)
