name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion 2 anneaux élégants pour couple - argent,2 300 FCFA,https://www.jumia.sn/2-anneaux-elegants-pour-couple-argent-fashion-mpg31542.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/70394/1.jpg?7712,True,4 706 FCFA,51%,3.7 out of 5,(163)
Generic Ensemble de boucles d'oreilles en perles - 9 pièces,1 998 FCFA,https://www.jumia.sn/generic-ensemble-de-boucles-doreilles-en-perles-9-pieces-8934757.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/74398/1.jpg?7080,True,3 722 FCFA,46%,3.4 out of 5,(34)
Fashion 2pcs Couple Bracelets Hommes/Femmes Bracelets,1 900 FCFA,https://www.jumia.sn/fashion-2pcs-couple-bracelets-hommesfemmes-bracelets-9223997.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/93229/1.jpg?5670,True,3 000 FCFA,37%,3.6 out of 5,(5)
Fashion Collier + Bracelet + Boucles D'Oreilles + Bague,3 998 FCFA,https://www.jumia.sn/fashion-collier-bracelet-boucles-doreilles-bague-6105896.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/85016/1.jpg?8562,True,7 996 FCFA,50%,3.6 out of 5,(41)
Generic Collier Pendentif Panda,1 298 FCFA,https://www.jumia.sn/generic-collier-pendentif-panda-9751853.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/81579/1.jpg?9075,True,2 545 FCFA,49%,4.4 out of 5,(8)
Generic Bracelet Chaîne Serpent-d'or,1 208 FCFA,https://www.jumia.sn/generic-bracelet-chaine-serpent-dor-8934740.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/74398/1.jpg?7077,True,2 369 FCFA,49%,3.5 out of 5,(10)
Generic Ensemble de Bijoux Bracelet - 6 Pieces,1 598 FCFA,https://www.jumia.sn/generic-ensemble-de-bijoux-bracelet-6-pieces-9762951.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/92679/1.jpg?3545,True,3 196 FCFA,50%,2.3 out of 5,(3)
Fashion Ensemble de boucles d'oreilles avec collier en faux cristal,1 210 FCFA,https://www.jumia.sn/fashion-ensemble-de-boucles-doreilles-avec-collier-en-faux-cristal-9224760.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/74229/1.jpg?5671,True,2 373 FCFA,49%,3.6 out of 5,(7)
Generic Ensemble Collier Et Boucles D'oreilles,1 298 FCFA,https://www.jumia.sn/generic-ensemble-collier-et-boucles-doreilles-9098960.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/98909/1.jpg?7605,True,2 545 FCFA,49%,3.6 out of 5,(8)
Generic Ensemble Collier Et Boucles D'oreilles - Vert,1 298 FCFA,https://www.jumia.sn/generic-ensemble-collier-et-boucles-doreilles-vert-8934756.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/74398/1.jpg?7078,True,2 545 FCFA,49%,3.5 out of 5,(2)
Generic Bijoux Ensemble Bracelet - 5 pièces,990 FCFA,https://www.jumia.sn/generic-bijoux-ensemble-bracelet-5-pieces-9762948.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/92679/1.jpg?2953,True,1 941 FCFA,49%,4 out of 5,(3)
Generic Bracelet en Cuir Tressé - Noir,1 420 FCFA,https://www.jumia.sn/generic-bracelet-en-cuir-tresse-noir-3462556.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/52643/1.jpg?8872,True,2 028 FCFA,30%,3.2 out of 5,(11)
Fashion Attract Ins Style Personality Couple Necklace Pendant-Silver,1 899 FCFA,https://www.jumia.sn/fashion-attract-ins-style-personality-couple-necklace-pendant-silver-9850984.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/90589/1.jpg?8630,True,3 724 FCFA,49%,3.3 out of 5,(3)
