name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Mentos Jb Berry Lime 35pcs - Mentos,1 820 FCFA,https://www.jumia.sn/mentos-jb-berry-lime-35pcs-mentos-9800782.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/70089/1.jpg?6947,True,,,,
Mentos Jb Gum Berry Lime 18pcs - Mentos,910 FCFA,https://www.jumia.sn/mentos-jb-gum-berry-lime-18pcs-mentos-9800784.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/70089/1.jpg?6996,True,,,4 out of 5,(1)
Tablette Chocolat Supérieur Au Lait Extra Fin- 100G,990 FCFA,https://www.jumia.sn/carrefour-tablette-chocolat-superieur-au-lait-extra-fin-100g-2210806.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/80122/1.jpg?4885,False,,,4 out of 5,(1)
Mentos Ice Gum Sf Peppermint - Mentos,290 FCFA,https://www.jumia.sn/mentos-ice-gum-sf-peppermint-mentos-9800774.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/70089/1.jpg?6902,True,,,,
Mentos Ice Gum Sf Spearmint - Mentos,290 FCFA,https://www.jumia.sn/mentos-ice-gum-sf-spearmint-mentos-9800775.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/70089/1.jpg?6969,True,,,,
Tablette Chocolat Noir Aux Noisettes Entieres - 200G,1 750 FCFA,https://www.jumia.sn/carrefour-tablette-chocolat-noir-aux-noisettes-entieres-200g-9970866.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/80799/1.jpg?2429,False,,,5 out of 5,(1)
Mentos Ice Gum Sf Artic Mint - Mentos,290 FCFA,https://www.jumia.sn/mentos-ice-gum-sf-artic-mint-mentos-9800776.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/70089/1.jpg?6682,True,,,3 out of 5,(1)
Beignets Crevettes Lido - 170g,380 FCFA,https://www.jumia.sn/carrefour-beignets-crevettes-lido-170g-6072447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/42706/1.jpg?6327,False,,,3.7 out of 5,(7)
Mentos Pf Freshmint 18pcs - Mentos,910 FCFA,https://www.jumia.sn/mentos-pf-freshmint-18pcs-mentos-9800783.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/70089/1.jpg?7070,True,,,,
Mentos Chewing Gum - Freshmint,1 200 FCFA,https://www.jumia.sn/mentos-chewing-gum-freshmint-6073044.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/03706/1.jpg?6408,False,,,3.9 out of 5,(20)
Skittles Sachet Fruits 45g - Skittles,390 FCFA,https://www.jumia.sn/skittles-sachet-fruits-45g-skittles-9800729.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/70089/1.jpg?1816,True,,,,
Mentos Chewing Gum Blanc Sweetmint,2 110 FCFA,https://www.jumia.sn/mentos-chewing-gum-blanc-sweetmint-6072609.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/62706/1.jpg?6342,False,,,1 out of 5,(1)
Mentos Mint Roll 14pcs - Mentos,300 FCFA,https://www.jumia.sn/mentos-mint-roll-14pcs-mentos-9800778.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/70089/1.jpg?7027,True,,,2 out of 5,(1)
"Valda Pastilles ""Classic"" - 30g - Valda",750 FCFA,https://www.jumia.sn/valda-pastilles-classic-30g-valda-6072643.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/62706/1.jpg?6342,False,,,4 out of 5,(3)
Mentos Pf Freshmint 35pcs - Mentos,1 820 FCFA,https://www.jumia.sn/mentos-pf-freshmint-35pcs-mentos-9800780.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/70089/1.jpg?7048,True,,,,
Mentos Pf Wintergreen 18 Pcs - Mentos,910 FCFA,https://www.jumia.sn/mentos-pf-wintergreen-18-pcs-mentos-9800785.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/70089/1.jpg?7172,True,,,4 out of 5,(1)
Bonbons Aux Arômes Naturels D'Éucalyptus Et De Menthe - 240 G,1 050 FCFA,https://www.jumia.sn/carrefour-bonbons-aux-aromes-naturels-deucalyptus-et-de-menthe-240-g-2211150.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/11122/1.jpg?2946,False,,,4.3 out of 5,(8)
Kinder Gaufrettes Enrobées De Chocolat Au Lait - 43g,925 FCFA,https://www.jumia.sn/kinder-gaufrettes-enrobees-de-chocolat-au-lait-43g-6073059.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/03706/1.jpg?6409,False,,,4.7 out of 5,(3)
Pulmoll Eucalyptus-menthol 45G - Pulmoll,1 220 FCFA,https://www.jumia.sn/pulmoll-eucalyptus-menthol-45g-pulmoll-9800794.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/70089/1.jpg?5458,True,,,,
Ferrero Rocher Pack De 3 Chocolats Au Lait - 30g,1 165 FCFA,https://www.jumia.sn/ferrero-rocher-pack-de-3-chocolats-au-lait-30g-6073727.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/73706/1.jpg?1755,False,,,5 out of 5,(1)
Mentos Pf Wintergreen 35pcs - Mentos,1 820 FCFA,https://www.jumia.sn/mentos-pf-wintergreen-35pcs-mentos-9800781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/70089/1.jpg?7118,True,,,4 out of 5,(1)
Barres Céréales Chocolat Banane - 200G,1 150 FCFA,https://www.jumia.sn/carrefour-barres-cereales-chocolat-banane-200g-2274298.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/24722/1.jpg?4843,False,,,2 out of 5,(1)
Tablette Chocolat Noir - 3X100G,1 800 FCFA,https://www.jumia.sn/carrefour-tablette-chocolat-noir-3x100g-2211155.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/11122/1.jpg?2946,False,,,,
