name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Madar Lessive en Savon - 275G,185 FCFA,https://www.jumia.sn/madar-lessive-en-savon-275g-8872396.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/32788/1.jpg?8769,True,,,3.4 out of 5,(15)
Madar Eau de Javel - 1L,380 FCFA,https://www.jumia.sn/madar-eau-de-javel-1l-8872307.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/32788/1.jpg?3452,True,390 FCFA,3%,4.3 out of 5,(16)
Madar Lessive en Poudre - 900G,940 FCFA,https://www.jumia.sn/madar-lessive-en-poudre-900g-8872276.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/22788/1.jpg?3046,True,,,4.6 out of 5,(14)
Noura Lessive en Poudre - 900G,880 FCFA,https://www.jumia.sn/noura-lessive-en-poudre-900g-8872281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/22788/1.jpg?6908,True,,,4.7 out of 5,(3)
Madar Désodorisant Tropical - 300ML,580 FCFA,https://www.jumia.sn/madar-desodorisant-tropical-300ml-9973936.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/93799/1.jpg?3568,True,,,,
Omo Savon En Poudre - 500G,950 FCFA,https://www.jumia.sn/omo-savon-en-poudre-500g-9201973.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/91029/1.jpg?6893,True,,,3.4 out of 5,(5)
Noura Acide Chloridrique Flash 1L,350 FCFA,https://www.jumia.sn/noura-acide-chloridrique-flash-1l-9973940.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/93799/1.jpg?2939,True,390 FCFA,10%,4 out of 5,(1)
Madar Eau de Javel – 5L,1 600 FCFA,https://www.jumia.sn/madar-eau-de-javel-5l-9973939.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/93799/1.jpg?3064,True,1 680 FCFA,5%,5 out of 5,(1)
Madar Désodorisant Nature Verte - 300ML,550 FCFA,https://www.jumia.sn/madar-desodorisant-nature-verte-300ml-9973937.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/93799/1.jpg?8624,True,580 FCFA,5%,,
Ariel Poudre Lessive Machine 2Kg,4 000 FCFA,https://www.jumia.sn/ariel-poudre-lessive-machine-2kg-10023611.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/632001/1.jpg?9940,True,5 290 FCFA,24%,,
Omo Savon En Poudre - 12 x 25G,640 FCFA,https://www.jumia.sn/omo-savon-en-poudre-12-x-25g-9201975.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/91029/1.jpg?2649,True,,,4 out of 5,(1)
Madar Eau de Javel – 250ML,160 FCFA,https://www.jumia.sn/madar-eau-de-javel-250ml-9973938.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/93799/1.jpg?3076,True,,,,
Madar Désodorisant Fruits Rouges - 300ML,580 FCFA,https://www.jumia.sn/madar-desodorisant-fruits-rouges-300ml-9983257.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/23899/1.jpg?3135,True,,,,
Sanytol Lessive Désinfectant Du Linge - 500ML,2 840 FCFA,https://www.jumia.sn/sanytol-lessive-desinfectant-du-linge-500ml-9279679.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/69729/1.jpg?4398,True,,,,
Omo Savon En Poudre - 1Kg,1 640 FCFA,https://www.jumia.sn/omo-savon-en-poudre-1kg-9201974.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/91029/1.jpg?7959,True,,,5 out of 5,(1)
Madar Eau De Javel - 5 Litres,1 490 FCFA,https://www.jumia.sn/madar-eau-de-javel-5-litres-6072137.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/12706/1.jpg?6379,False,,,4 out of 5,(6)
Ariel Lessive Poudre - 400g,1 150 FCFA,https://www.jumia.sn/ariel-lessive-poudre-400g-6073427.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/43706/1.jpg?7245,False,,,4.6 out of 5,(5)
Désodorisant Textile Anti-Odeur - 500Ml,1 240 FCFA,https://www.jumia.sn/carrefour-desodorisant-textile-anti-odeur-500ml-2265870.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/85622/1.jpg?5522,False,,,,
Madar Lessive en Poudre - 1kg,1 050 FCFA,https://www.jumia.sn/madar-lessive-en-poudre-1kg-6063210.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/23606/1.jpg?6365,False,,,4.7 out of 5,(3)
Anti-calcaire en Gel 3 en 1 - 750ml,5 170 FCFA,https://www.jumia.sn/carrefour-anti-calcaire-en-gel-3-en-1-750ml-6072071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/02706/1.jpg?6400,False,,,4 out of 5,(2)
Noura Poudre - 1kg,1 060 FCFA,https://www.jumia.sn/noura-poudre-1kg-6078282.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/28706/1.jpg?3482,False,,,,
La Croix Eau De Javel - 800ml,690 FCFA,https://www.jumia.sn/la-croix-eau-de-javel-800ml-6072060.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/02706/1.jpg?6378,False,,,,
Saba Détergent en Poudre - 500g,690 FCFA,https://www.jumia.sn/saba-detergent-en-poudre-500g-6063223.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/23606/1.jpg?6365,False,,,4 out of 5,(1)
Détachant Avant Lavage Oxy Power - 500ml,1 500 FCFA,https://www.jumia.sn/carrefour-detachant-avant-lavage-oxy-power-500ml-6072255.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/22706/1.jpg?6326,False,,,,
Madar Eau De Javel - 900ml,440 FCFA,https://www.jumia.sn/madar-eau-de-javel-900ml-6072065.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/02706/1.jpg?6378,False,,,4 out of 5,(2)
Adoucissant Concentré Fraîcheur Alpine - 750Ml,1 100 FCFA,https://www.jumia.sn/carrefour-adoucissant-concentre-fraicheur-alpine-750ml-2265553.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/55622/1.jpg?6454,False,,,4.5 out of 5,(2)
Eau Ecarlate Détacheur Universel - 250ml,2 700 FCFA,https://www.jumia.sn/eau-ecarlate-detacheur-universel-250ml-6063205.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/23606/1.jpg?6365,False,,,,
Gel Canalisations Javel Avec Soude - 750ml,1 500 FCFA,https://www.jumia.sn/carrefour-gel-canalisations-javel-avec-soude-750ml-6072303.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/32706/1.jpg?6385,False,,,,
Madar Lessive en Poudre - 60g,100 FCFA,https://www.jumia.sn/madar-lessive-en-poudre-60g-6063207.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/23606/1.jpg?6365,False,,,4.6 out of 5,(5)
Saba Lessive en Poudre - 170g,280 FCFA,https://www.jumia.sn/saba-lessive-en-poudre-170g-6072739.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/72706/1.jpg?6423,False,,,5 out of 5,(1)
"Gel Wc Ultra+ Désinfectant, Effet Blanchissant Avec Javel - 750ml",1 400 FCFA,https://www.jumia.sn/carrefour-gel-wc-ultra-desinfectant-effet-blanchissant-avec-javel-750ml-6072299.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/22706/1.jpg?6384,False,,,5 out of 5,(1)
Adoucissant Blanc Hypoallergenique,990 FCFA,https://www.jumia.sn/carrefour-adoucissant-blanc-hypoallergenique-6025926.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/95206/1.jpg?7599,False,,,3.5 out of 5,(2)
Saba Lessive en Poudre - 60g,125 FCFA,https://www.jumia.sn/saba-lessive-en-poudre-60g-6072737.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/72706/1.jpg?6423,False,,,,
Corine De Farme 250ML SHAMPOOING DOUX CFARME,2 950 FCFA,https://www.jumia.sn/corine-de-farme-250ml-shampooing-doux-cfarme-6064715.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/74606/1.jpg?0976,False,,,,
Armonia Eau De Javel - 1 Litre,425 FCFA,https://www.jumia.sn/armonia-eau-de-javel-1-litre-6072058.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/02706/1.jpg?6377,False,,,,
Mir Lessive en Poudre - Couleurs - Paquet 360g,2 700 FCFA,https://www.jumia.sn/mir-lessive-en-poudre-couleurs-paquet-360g-6063217.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/23606/1.jpg?6365,False,,,,
Cubes Classique Sans Odeur - 40 Cubes,1 190 FCFA,https://www.jumia.sn/carrefour-cubes-classique-sans-odeur-40-cubes-2371381.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/31732/1.jpg?3984,False,,,4 out of 5,(1)
Madar Détergent Machine en Poudre - 3kg,4 920 FCFA,https://www.jumia.sn/madar-detergent-machine-en-poudre-3kg-6063226.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/23606/1.jpg?6365,False,,,4 out of 5,(1)
Détachant Sans Javel Oxy Soft - 1L,1 790 FCFA,https://www.jumia.sn/carrefour-detachant-sans-javel-oxy-soft-1l-2210037.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/00122/1.jpg?1107,False,,,4 out of 5,(2)
Madar Eau De Javel - 250ml,185 FCFA,https://www.jumia.sn/madar-eau-de-javel-250ml-6072135.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/12706/1.jpg?6379,False,,,,
