name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Oreillettes sans fil p47 pour casque Bluetooth,3 500 FCFA,https://www.jumia.sn/oreillettes-sans-fil-p47-pour-casque-bluetooth-generic-mpg34696.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/96016/1.jpg?2046,False,15 000 FCFA,77%,3.9 out of 5,(23)
Generic Casque Audio Sans Fil Bleutooth multicolore,5 900 FCFA,https://www.jumia.sn/casque-audio-sans-fil-bleutooth-multicolore-generic-mpg32862.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/70835/1.jpg?2865,False,25 000 FCFA,76%,4 out of 5,(68)
Generic Premium Casque P47sans fil pour casque Bluetooth,3 700 FCFA,https://www.jumia.sn/premium-casque-p47sans-fil-pour-casque-bluetooth-generic-mpg34970.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/12729/1.jpg?0909,False,15 000 FCFA,75%,3.4 out of 5,(69)
Generic Ecouteur Bluetooth sans fil pour tout smartphone,12 000 FCFA,https://www.jumia.sn/generic-ecouteur-bluetooth-sans-fil-pour-tout-smartphone-9962855.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/82699/1.jpg?9942,False,35 000 FCFA,66%,3.5 out of 5,(2)
Generic Ecouteur Audio Sans Fil Bleutooth magnétique noir,4 190 FCFA,https://www.jumia.sn/generic-ecouteur-audio-sans-fil-bleutooth-magnetique-noir-9849808.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/89489/1.jpg?0741,False,10 000 FCFA,58%,3.5 out of 5,(2)
Generic Écouteurs Bluetooth Pro5 - Noir,4 500 FCFA,https://www.jumia.sn/ecouteurs-bluetooth-pro5-noir-generic-mpg36272.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/52099/1.jpg?8703,False,12 000 FCFA,63%,3.5 out of 5,(28)
Lighting Adaptateur USB-C to Headphone Jack,1 470 FCFA,https://www.jumia.sn/lighting-adaptateur-usb-c-to-headphone-jack-10002797.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/720001/1.jpg?1600,False,7 000 FCFA,79%,,
White Label Casque P47 sans fil avec Bluetooth connecté,4 000 FCFA,https://www.jumia.sn/casque-p47-sans-fil-avec-bluetooth-connecte-white-label-mpg43921.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/80389/1.jpg?5524,False,8 000 FCFA,50%,3 out of 5,(3)
Generic Casque Audio Sans Fil Bleutooth 24h autonomie qualité garantie B,5 900 FCFA,https://www.jumia.sn/casque-audio-sans-fil-bleutooth-24h-autonomie-qualite-garantie-b-generic-mpg45316.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/30589/1.jpg?9676,False,15 000 FCFA,61%,,
Generic Casque sans fil Bluetooth avec luminosité réglable de 7 couleurs,8 800 FCFA,https://www.jumia.sn/casque-sans-fil-bluetooth-avec-luminosite-reglable-de-7-couleurs-generic-mpg44916.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/30589/1.jpg?9676,False,35 000 FCFA,75%,3.3 out of 5,(3)
