name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Mirinda Pack de Mirinda Fruity 33 CL - 1 Acheté 1 offert,2 500 FCFA,https://www.jumia.sn/mirinda-pack-de-mirinda-fruity-33-cl-1-achete-1-offert-10018645.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/681001/1.jpg?5990,True,,,,
Mirinda Pack de Mirinda Orange 33 CL - 1 Acheté 1 offert,2 500 FCFA,https://www.jumia.sn/mirinda-pack-de-mirinda-orange-33-cl-1-achete-1-offert-10018643.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/681001/1.jpg?2345,True,,,,
Pepsi Canette - Pepsi Max - 33CL,260 FCFA,https://www.jumia.sn/pepsi-canette-pepsi-max-33cl-9415225.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/25149/1.jpg?2762,True,270 FCFA,4%,5 out of 5,(3)
Coca-cola Canette - 330ML,285 FCFA,https://www.jumia.sn/coca-cola-canette-330ml-9850911.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/90589/1.jpg?7689,True,290 FCFA,2%,,
Pepsi Canette - 33 CL,260 FCFA,https://www.jumia.sn/canette-pepsi-33-cl-pepsi-mpg42989.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/25149/1.jpg?9781,True,270 FCFA,4%,4.4 out of 5,(19)
Boisson Gazeuse - 1L,650 FCFA,https://www.jumia.sn/sprite-boisson-gazeuse-1l-9796834.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/86979/1.jpg?8160,True,670 FCFA,3%,3.8 out of 5,(4)
VIMTO Boisson Gazeuse - 1L,650 FCFA,https://www.jumia.sn/vimto-boisson-gazeuse-1l-9796836.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/86979/1.jpg?8195,True,690 FCFA,6%,3.9 out of 5,(8)
Seven Up Canette - 33 CL,260 FCFA,https://www.jumia.sn/canette-33-cl-seven-up-mpg42988.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/25149/1.jpg?4958,True,270 FCFA,4%,4.4 out of 5,(17)
Schweppes Boisson Gazeuse Agrumes - 1L,675 FCFA,https://www.jumia.sn/schweppes-boisson-gazeuse-agrumes-1l-9796835.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/86979/1.jpg?7070,True,710 FCFA,5%,4 out of 5,(1)
Gazelle Boisson Gazeuse Pomme - 1L,575 FCFA,https://www.jumia.sn/boisson-gazeuse-pomme-1l-gazelle-mpg32033.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/86979/1.jpg?8145,True,610 FCFA,6%,4.3 out of 5,(3)
Gazelle Boisson Gazeuse Ananas - 1L,575 FCFA,https://www.jumia.sn/gazelle-boisson-gazeuse-ananas-1l-9796832.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/86979/1.jpg?8131,True,610 FCFA,6%,4.5 out of 5,(2)
Fanta Boisson Gazeuse Orange - 1L,650 FCFA,https://www.jumia.sn/fanta-boisson-gazeuse-orange-1l-9796823.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/86979/1.jpg?3181,True,670 FCFA,3%,,
Fanta Canette Orange - 330ML,285 FCFA,https://www.jumia.sn/fanta-canette-orange-330ml-9850910.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/90589/1.jpg?7429,True,290 FCFA,2%,,
Fanta Canette Fruits Rouges - 330ML,285 FCFA,https://www.jumia.sn/fanta-canette-fruits-rouges-330ml-10029099.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/092001/1.jpg?7222,True,290 FCFA,2%,,
Fanta Pack De 24 Canettes Orange - 330ML,6 955 FCFA,https://www.jumia.sn/fanta-pack-de-24-canettes-orange-330ml-9850895.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/80589/1.jpg?6303,True,6 960 FCFA,1%,,
Coca-cola Pack De 24 Canettes - 330ML,6 955 FCFA,https://www.jumia.sn/coca-cola-pack-de-24-canettes-330ml-9850894.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/80589/1.jpg?6283,True,6 960 FCFA,1%,,
