name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Marado Bouilloire en Verre à LED Marado 2 Litres - 1500 W - 220 - 240 V / 50 HZ,9 300 FCFA,https://www.jumia.sn/marado-bouilloire-en-verre-a-led-marado-2-litres-1500-w-220-240-v-50-hz-9735035.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/05379/1.jpg?7426,False,15 000 FCFA,38%,4.3 out of 5,(4)
Bouilloire Electrique CAC - 1.8 L - Inox - Gris / Noir - CA820178,6 900 FCFA,https://www.jumia.sn/cac-bouilloire-electrique-cac-1.8-l-inox-gris-noir-ca820178-21319.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/312/1.jpg?9097,False,20 000 FCFA,66%,4 out of 5,(159)
Generic Bouilloire ou chauffe eau Electrique - 2 Litres - Inox,5 900 FCFA,https://www.jumia.sn/generic-bouilloire-ou-chauffe-eau-electrique-2-litres-inox-9808104.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/18089/1.jpg?2014,False,9 000 FCFA,34%,4.3 out of 5,(9)
Generic Bouilloire Electrique (2 Litres) Inox,5 400 FCFA,https://www.jumia.sn/bouilloire-electrique-2-litres-inox-generic-mpg32724.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/61488/1.jpg?3161,False,6 000 FCFA,10%,3.4 out of 5,(27)
Generic Bouilloire Elctrique - HG-7868 - 2.5 L - Noir / Rouge,9 000 FCFA,https://www.jumia.sn/bouilloire-elctrique-hg-7868-2.5-l-noir-rouge-generic-mpg11186.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/74979/1.jpg?5843,False,,,3.9 out of 5,(14)
Generic Bouilloire Electrique - 2 Litres - Gris,5 500 FCFA - 5 900 FCFA,https://www.jumia.sn/bouilloire-electrique-2-litres-scarlett-mpg5328.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/02879/1.jpg?3905,False,15 000 FCFA,63%,3.8 out of 5,(27)
Bouilloire ou Chauffe Eau Electrique en Inox 2L- 220-240V - 50-60hz- 2000w,5 900 FCFA - 12 000 FCFA,https://www.jumia.sn/bouilloire-ou-chauffe-eau-electrique-en-inox-2l-220-240v-50-60hz-2000w-haeger-mpg36418.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/02879/1.jpg?2457,False,12 000 FCFA,51%,4.3 out of 5,(12)
Scarlett Chauffe Eau Electrique en Inox - 220-240V - 50-60hz- 2000w,6 000 FCFA,https://www.jumia.sn/scarlett-chauffe-eau-electrique-en-inox-220-240v-50-60hz-2000w-9960067.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/00699/1.jpg?9401,False,10 000 FCFA,40%,,
Bouilloire HAEGER LED Capacité 2 Litres,11 900 FCFA,https://www.jumia.sn/haeger-bouilloire-haeger-led-capacite-2-litres-2374259.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/24732/1.jpg?8690,False,20 000 FCFA,41%,,
Generic Bouilloire ou chauffe eau Electrique - 2 Litres - Inox,5 399 FCFA,https://www.jumia.sn/generic-bouilloire-ou-chauffe-eau-electrique-2-litres-inox-9963667.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/63699/1.jpg?3061,False,12 000 FCFA,55%,,
