name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Support Mural TV LED/LCD - pour Ecrans de 26 à 63 Pouces,2 100 FCFA,https://www.jumia.sn/support-mural-tv-ledlcd-pour-ecrans-de-26-a-55-pouces-generic-mpg20354.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/49639/1.jpg?5446,False,4 500 FCFA,53%,3.6 out of 5,(26)
White Label Support Mural DVD - Acier Verre,2 902 FCFA,https://www.jumia.sn/white-label-support-mural-dvd-acier-verre-9368572.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/58639/1.jpg?5123,False,5 000 FCFA,42%,,
Generic Premium Support Mural DVD - Acier Verre Noir,2 840 FCFA,https://www.jumia.sn/premium-support-mural-dvd-acier-verre-noir-generic-mpg29244.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/31579/1.jpg?7984,False,6 000 FCFA,53%,3.7 out of 5,(6)
Generic Support mural Decodeur pour lecteurs dvd,2 955 FCFA,https://www.jumia.sn/support-mural-decodeur-pour-lecteurs-dvd-generic-mpg35620.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/31579/1.jpg?7984,False,5 500 FCFA,46%,,
"White Label Support Mural TV LED ( 14"" - 42"" ) - Plus Support DVD",4 465 FCFA,https://www.jumia.sn/support-mural-tv-led-14-42-plus-support-dvd-white-label-mpg19896.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/40979/1.jpg?2839,False,8 000 FCFA,44%,4 out of 5,(2)
White Boitier Android CORALSTAR - TV BOX - connecté,29 500 FCFA,https://www.jumia.sn/white-boitier-android-coralstar-tv-box-connecte-9805824.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/85089/1.jpg?7017,False,60 000 FCFA,51%,,
Generic Support Mural Pivotant TV - 14 à 42 Pouces - Noir,4 150 FCFA,https://www.jumia.sn/support-mural-pivotant-tv-14-a-42-pouces-noir-generic-mpg35584.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/40979/1.jpg?4573,False,4 450 FCFA,7%,4.2 out of 5,(11)
White Label Support Mural Pivotant TV - 14 à 55 Pouces - Noir,6 200 FCFA,https://www.jumia.sn/white-label-support-mural-pivotant-tv-14-a-55-pouces-noir-6127503.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/57216/1.jpg?2823,True,,,,
White Label Support Mural TV orientable inclinable -TV écran plat 14'/42 'pouces,5 900 FCFA,https://www.jumia.sn/white-label-support-mural-tv-orientable-inclinable-tv-ecran-plat-1442-pouces-10000614.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/600001/1.jpg?1501,False,8 900 FCFA,34%,,
White Label Support Mural TV Orientable Inclinable -TV LED LCD (30 /52 Pouces) - Noir,20 800 FCFA,https://www.jumia.sn/white-label-support-mural-tv-orientable-inclinable-tv-led-lcd-30-52-pouces-noir-9806467.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/46089/1.jpg?6253,False,20 900 FCFA,1%,,
