name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Lampadaire Solaire LED COB,4 068 FCFA,https://www.jumia.sn/lampadaire-solaire-led-cob-generic-mpg33975.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/46019/1.jpg?3861,True,7 976 FCFA,49%,3.4 out of 5,(51)
Generic Lampe De Poche Longue Portée-noir,2 405 FCFA,https://www.jumia.sn/generic-lampe-de-poche-longue-portee-noir-9096356.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/36909/1.jpg?0039,True,4 716 FCFA,49%,4 out of 5,(6)
Generic 15 In 1 Malette Boîte à Outils,5 558 FCFA,https://www.jumia.sn/generic-15-in-1-malette-boite-a-outils-9096457.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/46909/1.jpg?7786,True,10 518 FCFA,47%,4.3 out of 5,(4)
Hisense Machine à Laver Frontal 7 kg - WFXE7012 - Gris - Classe A+++,183 300 FCFA,https://www.jumia.sn/hisense-machine-a-laver-frontal-7-kg-wfxe7012-gris-classe-a-9959582.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/59599/1.jpg?3722,True,235 000 FCFA,22%,,
Generic Lampe projecteur Solaire - Détecteur de mouvement - Intelligente 3F,9 900 FCFA,https://www.jumia.sn/generic-lampe-projecteur-solaire-detecteur-de-mouvement-intelligente-3f-9732194.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/12379/1.jpg?1994,False,350 000 FCFA,97%,3.8 out of 5,(5)
Hisense Machine à Laver Frontal 6kg - WFXE6010 - Gris,165 000 FCFA,https://www.jumia.sn/hisense-machine-a-laver-frontal-6kg-wfxe6010-gris-9959581.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/59599/1.jpg?3709,True,213 000 FCFA,23%,,
White Label Ring light 3 Eclairage de couleur différente avec trépied avec support téléphone,12 500 FCFA,https://www.jumia.sn/white-label-ring-light-3-eclairage-de-couleur-differente-avec-trepied-avec-support-telephone-9851573.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/51589/1.jpg?4339,False,35 000 FCFA,64%,5 out of 5,(1)
Generic Support Frigo - Cuisinière et Machine à Laver - Gris,6 490 FCFA,https://www.jumia.sn/support-frigo-cuisiniere-et-machine-a-laver-gris-generic-mpg43376.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/86539/1.jpg?4394,False,8 000 FCFA,19%,3.5 out of 5,(23)
SMART TECHNOLOGY Régulateur De Tension Automatique - AVR-2000Va - Inverter - Noir/Rouge - Garantie 12 mois,20 800 FCFA,https://www.jumia.sn/smart-technology-regulateur-de-tension-automatique-avr-2000va-inverter-noirrouge-garantie-12-mois-8886049.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/06888/1.jpg?5363,True,35 000 FCFA,41%,4.4 out of 5,(7)
Generic Lampe solaire et électrique rechargeable nouveau model,3 990 FCFA,https://www.jumia.sn/lampe-solaire-et-electrique-rechargeable-nouveau-model-generic-mpg34003.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/23588/1.jpg?1791,False,15 000 FCFA,73%,3.7 out of 5,(9)
