name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Lotion Activatrice et Réparateur de Boucles Pour Greffage frise naturel il maintient et revitaliser aussi nos cheveux bouclés.355ml,2 500 FCFA,https://www.jumia.sn/lotion-activatrice-et-reparateur-de-boucles-pour-greffage-frise-naturel-il-maintient-et-revitaliser-aussi-nos-cheveux-boucles.355ml-generic-mpg28956.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/04406/1.jpg?3469,False,5 000 FCFA,50%,4.1 out of 5,(9)
Generic LOT 12 PAIRES DE CHAUSSETTES ENFANT,2 999 FCFA,https://www.jumia.sn/generic-lot-12-paires-de-chaussettes-enfant-9779624.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/69779/1.jpg?3409,False,5 000 FCFA,40%,4.3 out of 5,(4)
Generic Packs de 5 pièces pour bébé,8 990 FCFA,https://www.jumia.sn/generic-packs-de-5-pieces-pour-bebe-6043706.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/73406/1.jpg?6917,False,15 000 FCFA,40%,3 out of 5,(1)
White Label Pack de 3 Chaussettes - 100% Coton - pour Bébé - Rose,2 400 FCFA,https://www.jumia.sn/white-label-pack-de-3-chaussettes-100-coton-pour-bebe-rose-6172457.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/42716/1.jpg?8672,False,3 000 FCFA,20%,,
Hudson Baby Ensemble 5 Pièces Bébé fille,7 990 FCFA - 7 999 FCFA,https://www.jumia.sn/ensemble-5-pieces-bebe-fille-hudson-baby-mpg36521.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/80866/1.jpg?5651,False,15 000 FCFA,47%,,
Generic Robe à fleur tournesol,6 500 FCFA,https://www.jumia.sn/generic-robe-a-fleur-tournesol-6062108.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/12606/1.jpg?6198,True,,,,
Generic Packs de 5 pièces pour bébé fille,9 999 FCFA,https://www.jumia.sn/generic-packs-de-5-pieces-pour-bebe-fille-6810154.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/10186/1.jpg?6115,False,,,,
Generic 500pcs haute Bandeaux élastiques Enfants cheveux jetables en caoutchouc Scrunchie cravate cheveux noirs,2 230 FCFA,https://www.jumia.sn/generic-500pcs-haute-bandeaux-elastiques-enfants-cheveux-jetables-en-caoutchouc-scrunchie-cravate-cheveux-noirs-1179081.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/09711/1.jpg?9770,False,6 590 FCFA,66%,,
Generic Packs de 3 vêtements bébé fille,6 999 FCFA,https://www.jumia.sn/generic-packs-de-3-vetements-bebe-fille-9051115.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/11509/1.jpg?6116,False,10 000 FCFA,30%,4 out of 5,(1)
Generic BALLERINE CONFORTABLE POUR BÉBÉ,3 990 FCFA,https://www.jumia.sn/generic-ballerine-confortable-pour-bebe-9249896.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/89429/1.jpg?5844,False,10 000 FCFA,60%,5 out of 5,(1)
Generic Pack de 2 bavoir bébé fille,4 900 FCFA,https://www.jumia.sn/generic-pack-de-2-bavoir-bebe-fille-6127466.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/47216/1.jpg?1161,False,4 990 FCFA,2%,5 out of 5,(1)
Generic Lot de 6 slip enfants,2 800 FCFA,https://www.jumia.sn/generic-lot-de-6-slip-enfants-9972654.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/62799/1.jpg?0640,False,6 000 FCFA,53%,,
"Generic Kit De Soin Pour Bébé (Ciseaux, Brosse, Thermomètre, Coupe-ongle, Etc) - Ros",9 990 FCFA,https://www.jumia.sn/generic-kit-de-soin-pour-bebe-ciseaux-brosse-thermometre-coupe-ongle-etc-ros-9255578.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/55529/1.jpg?4517,False,15 000 FCFA,33%,,
Chick Pea Ensemble 3 pieces,9 000 FCFA,https://www.jumia.sn/chick-pea-ensemble-3-pieces-3700055.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/00073/1.jpg?8344,False,,,,
Generic Lot de 3 bavoir bandanas classe pour bébé fille,5 900 FCFA,https://www.jumia.sn/generic-lot-de-3-bavoir-bandanas-classe-pour-bebe-fille-9225942.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/95229/1.jpg?9003,False,10 000 FCFA,41%,,
Carter Ensemble 2 Pièces pour Fille - Body Manches Longues + Pantalon,13 500 FCFA,https://www.jumia.sn/carter-ensemble-2-pieces-pour-fille-body-manches-longues-pantalon-95793.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/759/1.jpg?0703,False,,,,
"Generic Kit De Soin Pour Bébé (Ciseaux, Brosse, Thermomètre, Coupe-ongle, Etc) - bleu",10 990 FCFA,https://www.jumia.sn/generic-kit-de-soin-pour-bebe-ciseaux-brosse-thermometre-coupe-ongle-etc-bleu-9255579.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/55529/1.jpg?4516,False,15 000 FCFA,27%,,
Generic Women's Shiny Cloth Bow Hair Ring Hair Retro Simple Fabric Tiara Flower black,950 FCFA,https://www.jumia.sn/generic-womens-shiny-cloth-bow-hair-ring-hair-retro-simple-fabric-tiara-flower-black-1192952.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/92911/1.jpg?0473,False,2 750 FCFA,65%,,
Baby Ensemble 3 pièces,9 000 FCFA,https://www.jumia.sn/baby-ensemble-3-pieces-3715497.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/45173/1.jpg?3754,False,,,,
carter's baby Ensemble 3 pièces,9 000 FCFA,https://www.jumia.sn/carters-baby-ensemble-3-pieces-3715498.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/45173/1.jpg?3336,False,,,,
Generic Biberons silicone bébé rose,3 500 FCFA,https://www.jumia.sn/generic-biberons-silicone-bebe-rose-9278061.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/08729/1.jpg?4167,False,5 000 FCFA,30%,,
Little Treasures Ensemble 3 pièces,10 000 FCFA,https://www.jumia.sn/little-treasures-ensemble-3-pieces-3715318.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/35173/1.jpg?0820,False,,,,
Generic Packs de 3 barboteuse bébé,6 990 FCFA - 9 990 FCFA,https://www.jumia.sn/generic-packs-de-3-barboteuse-bebe-9278074.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/08729/1.jpg?4167,False,10 000 FCFA,30%,,
