name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
The Yellow 30 Sachets,1 290 FCFA,https://www.jumia.sn/lipton-the-yellow-30-sachets-10030516.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/503001/1.jpg?4858,True,,,,
Nescafe Boite 50g,770 FCFA,https://www.jumia.sn/boite-50g-nescafe-mpg37032.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/72189/1.jpg?7277,True,,,5 out of 5,(2)
Nescafe Boite 200g,2 740 FCFA,https://www.jumia.sn/boite-200g-nescafe-mpg37031.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/72189/1.jpg?1052,True,,,3 out of 5,(2)
Nesquick Chocolat En Poudre - 250g,1 620 FCFA,https://www.jumia.sn/pot-250g-nesquick-mpg37036.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/72189/1.jpg?5667,True,,,4.5 out of 5,(2)
Thé Yellow Label - 100 Sachets,2 740 FCFA,https://www.jumia.sn/lipton-the-yellow-label-100-sachets-9489191.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/19849/1.jpg?9405,True,,,4.9 out of 5,(10)
Café Royal 1 Boîte De Café Royal Coffee Aggloméré - Arôme Corsé - 200G,2 500 FCFA,https://www.jumia.sn/cafe-royal-1-boite-de-cafe-royal-coffee-agglomere-arome-corse-200g-2780451.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/40872/1.jpg?4302,False,,,3.9 out of 5,(78)
Twining Thé Citron Vert Gingembre - 20 Sticks,3 090 FCFA,https://www.jumia.sn/twining-the-citron-vert-gingembre-20-sticks-9774390.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/34779/1.jpg?1508,True,,,,
Café Royal Royal Coffee Strong - Arôme Corsé - 100G,2 500 FCFA,https://www.jumia.sn/cafe-royal-royal-coffee-strong-arome-corse-100g-2780450.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/40872/1.jpg?3707,False,,,3.9 out of 5,(55)
Nespresso 10 Capsules - Ristretto - Inspirazione Italiana,3 300 FCFA,https://www.jumia.sn/10-capsules-ristretto-inspirazione-italiana-nespresso-mpg45785.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/99489/1.jpg?0841,True,3 500 FCFA,6%,,
Nespresso 10 Capsules - Cosi - Espresso Classique,3 300 FCFA,https://www.jumia.sn/10-capsules-cosi-espresso-classique-nespresso-mpg45781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/99489/1.jpg?0961,True,3 500 FCFA,6%,4.8 out of 5,(5)
Café Royal 1 Paquet De 16 capsules CAFE AU LAIT - Compatibles avec Dolce Gusto,3 000 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-16-capsules-cafe-au-lait-compatibles-avec-dolce-gusto-2780443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/40872/1.jpg?7139,False,,,3.8 out of 5,(11)
Cappuccino Nature - 200G,1 490 FCFA,https://www.jumia.sn/carrefour-cappuccino-nature-200g-2712342.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/32172/1.jpg?3475,False,,,4.1 out of 5,(36)
Maxwell Café 25 Sticks Qualité Filtre 45g,2 750 FCFA,https://www.jumia.sn/maxwell-cafe-25-sticks-qualite-filtre-45g-9832142.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/12389/1.jpg?2189,True,,,4 out of 5,(1)
Café Dosettes Classique - 48X7G,2 700 FCFA,https://www.jumia.sn/carrefour-cafe-dosettes-classique-48x7g-2274405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/44722/1.jpg?4846,False,,,4.6 out of 5,(8)
Flecha Thé 4011 25Gx10,1 050 FCFA,https://www.jumia.sn/the-4011-25gx10-flecha-mpg30655.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/95688/1.jpg?1614,True,,,4.5 out of 5,(8)
Nespresso 10 Capsules - Roma - Inspirazione Italiana,3 300 FCFA,https://www.jumia.sn/10-capsules-roma-inspirazione-italiana-nespresso-mpg45786.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/99489/1.jpg?0681,True,3 500 FCFA,6%,,
Flecha Boite De Thé 41022 - 200g,950 FCFA,https://www.jumia.sn/flecha-boite-de-the-41022-200g-9201937.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/91029/1.jpg?3705,True,,,5 out of 5,(5)
