name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fos Vision AMPOULE CAMERA IP 360° Wi-Fi 3.0 MP,19 000 FCFA,https://www.jumia.sn/fos-vision-ampoule-camera-ip-360-wi-fi-3.0-mp-9990234.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/20999/1.jpg?8208,False,25 000 FCFA,24%,,
Generic 10Ft Adjustable Background Crossbar Kit For Photo Studio Backdrop Support Stand,15 190 FCFA,https://www.jumia.sn/generic-10ft-adjustable-background-crossbar-kit-for-photo-studio-backdrop-support-stand-5618134.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/18165/1.jpg?6162,True,30 380 FCFA,50%,,
Generic Endoscope en fil étanche avec miroir,10 790 FCFA,https://www.jumia.sn/endoscope-en-fil-etanche-avec-miroir-generic-mpg30460.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/72927/1.jpg?6145,False,23 000 FCFA,53%,2 out of 5,(3)
Generic XJ05 Digital Camera SLR 4X Zoom LCD Screen 3mp CMOS 12MP Resolution Black,60 610 FCFA,https://www.jumia.sn/generic-xj05-digital-camera-slr-4x-zoom-lcd-screen-3mp-cmos-12mp-resolution-black-2171067.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/01712/1.jpg?1412,False,118 843 FCFA,49%,3 out of 5,(1)
Generic Drone V14 caméra 4K HD mini quadcopter professional,60 000 FCFA,https://www.jumia.sn/generic-drone-v14-camera-4k-hd-mini-quadcopter-professional-9782022.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/02879/1.jpg?1997,False,,,,
Generic Appareil photo - 16 Million Pixel Home SLR Camera Digital Slr - Film HD 1080P - Noir,63 035 FCFA,https://www.jumia.sn/generic-appareil-photo-16-million-pixel-home-slr-camera-digital-slr-film-hd-1080p-noir-2182344.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/32812/1.jpg?9140,False,123 598 FCFA,49%,,
Generic Caméra Dvr rétroviseur 3.5 pouces enregistreur vidéo double lentille caméscope d'enregistrement,29 500 FCFA,https://www.jumia.sn/generic-camera-dvr-retroviseur-3.5-pouces-enregistreur-video-double-lentille-camescope-denregistrement-8854786.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/74588/1.jpg?3088,False,,,4 out of 5,(1)
Generic Anytek X28 FHD 1080P Car DVR Camera WiFi ADAS 150 Lens Dash Cam With 16GB TF Card To Recording Motion Detection DVR Camera SAISUO(White 16G GPS),10 008 FCFA,https://www.jumia.sn/generic-anytek-x28-fhd-1080p-car-dvr-camera-wifi-adas-150-lens-dash-cam-with-16gb-tf-card-to-recording-motion-detection-dvr-camera-saisuowhite-16g-gps-816838.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/8618/1.jpg?8121,False,19 624 FCFA,49%,,
Generic Hidden Mini WiFi USB IP Camera 1080P HD Wireless Detection Night Vision SPY,16 499 FCFA,https://www.jumia.sn/generic-hidden-mini-wifi-usb-ip-camera-1080p-hd-wireless-detection-night-vision-spy-3126281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/26213/1.jpg?5858,False,32 998 FCFA,50%,,
Generic Drone V14 caméra 4K HD mini quadcopter professional,60 000 FCFA,https://www.jumia.sn/generic-drone-v14-camera-4k-hd-mini-quadcopter-professional-9970829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/80799/1.jpg?2439,False,,,,
Generic SQ12 mini caméra à distance wifi ultra haute grand angle 155 degré noir,35 500 FCFA,https://www.jumia.sn/generic-sq12-mini-camera-a-distance-wifi-ultra-haute-grand-angle-155-degre-noir-9124171.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/14219/1.jpg?7348,False,50 000 FCFA,29%,,
Generic Ampoule caméra de surveillance - Esspion,19 900 FCFA,https://www.jumia.sn/ampoule-camera-de-surveillance-esspion-generic-mpg43056.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/56089/1.jpg?1951,False,35 000 FCFA,43%,4.3 out of 5,(4)
Generic Ampoule caméra espion,20 599 FCFA,https://www.jumia.sn/ampoule-camera-espion-generic-mpg10461.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/01475/1.jpg?4466,False,55 000 FCFA,63%,2 out of 5,(1)
Generic Phatom caméra de surveillance - Espionnage,22 900 FCFA,https://www.jumia.sn/phatom-camera-de-surveillance-espionnage-generic-mpg34617.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/48025/1.jpg?5307,False,80 000 FCFA,71%,3 out of 5,(2)
Generic 1080P Bulb IP Camera CCTV 360 Degree VR WiFi Wireless Lamp H.265 V380 PRO,22 279 FCFA,https://www.jumia.sn/generic-1080p-bulb-ip-camera-cctv-360-degree-vr-wifi-wireless-lamp-h.265-v380-pro-3126292.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/26213/1.jpg?5855,False,44 558 FCFA,50%,4 out of 5,(1)
Generic Endoscope en fil étanche avec miroir,12 000 FCFA,https://www.jumia.sn/generic-endoscope-en-fil-etanche-avec-miroir-9988453.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/48899/1.jpg?2376,False,,,,
Generic Ampoule Caméra Espion - Blanc,20 900 FCFA,https://www.jumia.sn/ampoule-camera-espion-blanc-generic-mpg10258.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/01475/1.jpg?4466,False,35 000 FCFA,40%,5 out of 5,(1)
Generic Caméra Ampoule Panoramique WiFi 360° HD - Blanc,29 900 FCFA,https://www.jumia.sn/generic-camera-ampoule-panoramique-wifi-360-hd-blanc-4147243.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/27414/1.jpg?6513,False,,,,
Generic Wemos NodeMCU V3 340G Lua WIFI Module Integration Of ESP8266+32M Extra Memory,3 150 FCFA,https://www.jumia.sn/generic-wemos-nodemcu-v3-340g-lua-wifi-module-integration-of-esp826632m-extra-memory-1037362.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/37301/1.jpg?8618,False,6 176 FCFA,49%,,
Generic Lot 2 Huiles Akpi - 100% Naturelle - 60 ml,2 175 FCFA,https://www.jumia.sn/generic-lot-2-huiles-akpi-100-naturelle-60-ml-5975896.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/85795/1.jpg?1321,False,2 700 FCFA,19%,,
Generic Caméra Espion Panoramique 360 ° HD avec WiFi + IR LED,40 000 FCFA,https://www.jumia.sn/camera-espion-panoramique-360-hd-avec-wifi-ir-led-generic-mpg8698.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/2812/1.jpg?3705,False,,,5 out of 5,(1)
Generic Ampoule de Surveillance Wifi à 380° Caméra de Sécurité IP à domicile CCTV,25 000 FCFA,https://www.jumia.sn/ampoule-de-surveillance-wifi-a-380-camera-de-securite-ip-a-domicile-cctv-generic-mpg32465.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/12812/1.jpg?5349,False,50 000 FCFA,50%,4 out of 5,(1)
Unbrand Caméra Cachee Stylo HD 1080p Enregistreur Vocal Vidéo Surveillance + 32Go,25 860 FCFA,https://www.jumia.sn/unbrand-camera-cachee-stylo-hd-1080p-enregistreur-vocal-video-surveillance-32go-9254042.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/04529/1.jpg?4517,False,30 000 FCFA,14%,,
Unbrand Caméra Espionnage Réveil Surveillance A Longue Distance 24h/24+Carte Memoire32GB,49 000 FCFA,https://www.jumia.sn/unbrand-camera-espionnage-reveil-surveillance-a-longue-distance-24h24carte-memoire32gb-9226005.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/06229/1.jpg?2978,False,75 000 FCFA,35%,,
Generic Caméra HD Wifi IP ampoule caméscope 360 ± degrés capteur de mouvement panoramique Vision nocturne,24 900 FCFA,https://www.jumia.sn/generic-camera-hd-wifi-ip-ampoule-camescope-360-degres-capteur-de-mouvement-panoramique-vision-nocturne-6071767.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/71706/1.jpg?0359,False,50 000 FCFA,50%,3 out of 5,(1)
Unbrand Mini Caméra Cachée en Stylo Full HD 1080P Enregistreur Vocal et Video,14 500 FCFA,https://www.jumia.sn/mini-camera-cachee-en-stylo-full-hd-1080p-enregistreur-vocal-et-video-unbrand-mpg40157.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/72188/1.jpg?4377,False,30 000 FCFA,52%,1.6 out of 5,(5)
"Generic Mini Drone - Double Appareil Photo, caméra Application de Contrôle Téléphone - 25 mn de vol",34 900 FCFA,https://www.jumia.sn/generic-mini-drone-double-appareil-photo-camera-application-de-controle-telephone-25-mn-de-vol-8853945.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/93588/1.jpg?4897,False,39 000 FCFA,11%,2 out of 5,(1)
