name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Carte mémoire Carte Micro SD 64 Go Carte TF,5 760 FCFA,https://www.jumia.sn/generic-carte-memoire-carte-micro-sd-64-go-carte-tf-9843699.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/63489/1.jpg?6207,True,11 294 FCFA,49%,5 out of 5,(1)
DAKEWEI SN Carte Mémoire - 32 GB - Noir,2 800 FCFA,https://www.jumia.sn/carte-memoire-32-gb-noir-dakewei-sn-mpg20863.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/46539/1.jpg?3673,False,7 000 FCFA,60%,3.7 out of 5,(67)
Generic Carte mémoire Carte Micro SD 32 Go Carte TF,3 490 FCFA,https://www.jumia.sn/generic-carte-memoire-carte-micro-sd-32-go-carte-tf-9843698.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/63489/1.jpg?6207,True,6 000 FCFA,42%,4 out of 5,(3)
Nb Carte Micro SD 32Go - Noir,4 500 FCFA,https://www.jumia.sn/carte-micro-sd-32go-noir-nb-mpg3509.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/56452/1.jpg?8709,True,,,3.6 out of 5,(25)
Dakewei Carte Mémoire DAKEWEI SN - 16 Go - Noir,2 500 FCFA,https://www.jumia.sn/dakewei-carte-memoire-dakewei-sn-16-go-noir-9970909.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/90799/1.jpg?5964,False,,,,
Sandisk Carte Mémoire - 4 Go - Noir,1 850 FCFA,https://www.jumia.sn/sandisk-carte-memoire-4-go-noir-32875.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/823/1.jpg?3623,False,5 000 FCFA,63%,3.5 out of 5,(4)
Faster clé usb mince et robuste 32gb,4 900 FCFA,https://www.jumia.sn/faster-cle-usb-mince-et-robuste-32gb-10002806.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/820001/1.jpg?1601,False,9 000 FCFA,46%,,
White Label Carte Mémoire - MicroSD - 8Go - Noir,2 990 FCFA,https://www.jumia.sn/carte-memoire-microsd-8go-noir-white-label-mpg6442.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/84392/1.jpg?0329,False,13 000 FCFA,77%,,
Nb Carte Mémoire - 16 Gb - Noir,3 090 FCFA,https://www.jumia.sn/nb-carte-memoire-16-gb-noir-123351.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/3321/1.jpg?1315,False,9 500 FCFA,67%,4.4 out of 5,(5)
Nb Carte mémoire micro SD 32Go - Noir,3 900 FCFA,https://www.jumia.sn/carte-memoire-micro-sd-32go-noir-nb-mpg37028.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/5964/1.jpg?9207,False,9 900 FCFA,61%,4.1 out of 5,(32)
White Label Original Carte Mémoire 32Go,8 500 FCFA,https://www.jumia.sn/white-label-original-carte-memoire-32go-2934863.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/84392/1.jpg?0328,False,13 000 FCFA,35%,1 out of 5,(1)
Nb Carte Mémoire - 16 Gb - Noir,2 300 FCFA,https://www.jumia.sn/carte-memoire-16-gb-noir-nb-mpg37027.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/47539/1.jpg?2606,False,5 000 FCFA,54%,4 out of 5,(18)
Generic V8 audiocasque Microphone Live USB carte son externe pour téléphone portable ordinateur interface audio carte son,15 304 FCFA,https://www.jumia.sn/generic-v8-audiocasque-microphone-live-usb-carte-son-externe-pour-telephone-portable-ordinateur-interface-audio-carte-son-2765151.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/15672/1.jpg?3481,False,30 008 FCFA,49%,,
Iconix clé USB - 32 Go iconix,4 900 FCFA,https://www.jumia.sn/iconix-cle-usb-32-go-iconix-10002803.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/820001/1.jpg?1599,False,9 000 FCFA,46%,,
Iconix Clé USB Mini Métal Silver 64 Go iconix,8 000 FCFA,https://www.jumia.sn/iconix-cle-usb-mini-metal-silver-64-go-iconix-10002804.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/820001/1.jpg?1599,False,12 000 FCFA,33%,,
White Label Carte Mémoire 16Go,3 120 FCFA,https://www.jumia.sn/white-label-carte-memoire-16go-2938742.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/78392/1.jpg?3388,False,3 900 FCFA,20%,,
