name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic 2 en 1 Adaptateur OTG Type C et câble micro USB vers adaptateur USB 3.0 OTG pour Type-C - Gris,1 900 FCFA,https://www.jumia.sn/generic-2-en-1-adaptateur-otg-type-c-et-cable-micro-usb-vers-adaptateur-usb-3.0-otg-pour-type-c-gris-8850230.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/20588/1.jpg?4571,False,,,3.8 out of 5,(36)
Generic Adaptateur OTG Bamba Fepp - Couleur Aléatoire,1 300 FCFA,https://www.jumia.sn/generic-adaptateur-otg-bamba-fepp-couleur-aleatoire-9959233.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/29599/1.jpg?3282,False,3 090 FCFA,58%,,
"Rohs Mini PowerBank Ultra Slim, 5000Mah Charge Rapide",5 500 FCFA,https://www.jumia.sn/rohs-mini-powerbank-ultra-slim-5000mah-charge-rapide-9806430.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/46089/1.jpg?0125,False,15 000 FCFA,63%,,
Generic For Huawei Watch2 Pro Smart Watch Charger Stand Smart Watch Charging Base-Black,9 650 FCFA,https://www.jumia.sn/generic-for-huawei-watch2-pro-smart-watch-charger-stand-smart-watch-charging-base-black-3152027.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/02513/1.jpg?3498,False,18 922 FCFA,49%,2 out of 5,(1)
Generic Adaptateur OTG .0 OTG pour Type-C - Couleur Aléatoire,1 300 FCFA,https://www.jumia.sn/generic-adaptateur-otg-.0-otg-pour-type-c-couleur-aleatoire-9959232.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/29599/1.jpg?3282,False,3 090 FCFA,58%,,
XIAOMI Power Bank Wireless sans fil Charge de batterie externe rapide -4USB,14 900 FCFA,https://www.jumia.sn/xiaomi-power-bank-wireless-sans-fil-charge-de-batterie-externe-rapide-4usb-10029360.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/392001/1.jpg?9258,False,17 000 FCFA,12%,,
Generic Mini Micro USB Male to 2.0 Female Adapter OTG Converter Connect Wire,7 610 FCFA,https://www.jumia.sn/generic-mini-micro-usb-male-to-2.0-female-adapter-otg-converter-connect-wire-1962120.html,,False,14 922 FCFA,49%,,
XIAOMI Power Bank 3 10000mAh Charge rapide USB-C,20 000 FCFA,https://www.jumia.sn/power-bank-3-10000mah-charge-rapide-usb-c-xiaomi-mpg38850.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/00865/1.jpg?2907,False,,,4 out of 5,(1)
Commercial Electric chargeur usb 2.4A,2 500 FCFA,https://www.jumia.sn/commercial-electric-chargeur-usb-2.4a-6092829.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/82906/1.jpg?0992,False,,,,
Lightning Power CHARGEUR UNIVERSEL LIGHTNING POUR TOUS IPHONES 20 WATTS ULTRAPUISSANT ET RAPIDE,5 890 FCFA,https://www.jumia.sn/lightning-power-chargeur-universel-lightning-pour-tous-iphones-20-watts-ultrapuissant-et-rapide-9969573.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/59699/1.jpg?9300,False,13 500 FCFA,56%,5 out of 5,(1)
Generic CE TECH chargeur usb 2.4A,2 500 FCFA,https://www.jumia.sn/generic-ce-tech-chargeur-usb-2.4a-6078546.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/58706/1.jpg?7248,False,,,,
Generic Data Line Cable Organizer Cable Manager Clip 2 Pack Random Color,660 FCFA,https://www.jumia.sn/generic-data-line-cable-organizer-cable-manager-clip-2-pack-random-color-1795791.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/75971/1.jpg?9136,False,1 320 FCFA,50%,,
Generic ADAPTATEUR USB C TRES PUISSANT 20W POUR IOS ET ANDROID,4 050 FCFA,https://www.jumia.sn/generic-adaptateur-usb-c-tres-puissant-20w-pour-ios-et-android-10021219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/212001/1.jpg?4783,False,7 650 FCFA,47%,,
Samsung chargeur Samsung type C fast chargeur,9 500 FCFA,https://www.jumia.sn/chargeur-samsung-type-c-fast-chargeur-samsung-mpg42171.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/01389/1.jpg?9292,False,18 700 FCFA,49%,,
Generic 5 Port USB Charger Rapid Charging Station Desktop Travel Hub USB Splitter,12 660 FCFA,https://www.jumia.sn/generic-5-port-usb-charger-rapid-charging-station-desktop-travel-hub-usb-splitter-4949825.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/89494/1.jpg?9734,False,24 824 FCFA,49%,,
