name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Portable 20000mAh Banques De Puissance De Charge,3 325 FCFA,https://www.jumia.sn/generic-portable-20000mah-banques-de-puissance-de-charge-9096338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/36909/1.jpg?5310,True,6 520 FCFA,49%,4.4 out of 5,(10)
Oraimo - OCW-E36S - Chargeur éfficace et durable (Adaptateur + Câble),1 490 FCFA,https://www.jumia.sn/ocw-e36s-chargeur-efficace-et-durable-adaptateur-cable-oraimo-mpg37112.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/52379/1.jpg?1102,False,3 000 FCFA,50%,3.9 out of 5,(10)
"Generic Câble Smartphone - Pour Apple iPhone 5, 6, 7, 8, X, Xs, XsMax, Ipad et Ipod Lightning Usb - Blanc",1 190 FCFA,https://www.jumia.sn/cable-smartphone-pour-apple-iphone-5-6-7-8-x-xs-xsmax-ipad-et-ipod-lightning-usb-blanc-generic-mpg33122.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/05622/1.jpg?8300,False,3 107 FCFA,62%,5 out of 5,(1)
Generic Chargeur Pour Iphone 6/6S/7/7S,1 490 FCFA,https://www.jumia.sn/generic-chargeur-pour-iphone-66s77s-3075418.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/45703/1.jpg?7034,False,6 000 FCFA,75%,4.3 out of 5,(21)
XIAOMI Chargeur Rapide Téléphone Mi 33W (Type-A + Type-C),12 000 FCFA,https://www.jumia.sn/xiaomi-chargeur-rapide-telephone-mi-33w-type-a-type-c-9845897.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/85489/1.jpg?7353,False,15 000 FCFA,20%,5 out of 5,(1)
"Generic Oraimo Firefly-2, Chargeur rapide double USB et câble micro-USB",2 300 FCFA,https://www.jumia.sn/generic-oraimo-firefly-2-chargeur-rapide-double-usb-et-cable-micro-usb-9900486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/40099/1.jpg?2343,False,5 000 FCFA,54%,5 out of 5,(1)
"Câble USB 3 en 1 Faction de données 3,5 A 1,2 M pour iP + Micro + Type-C",1 960 FCFA,https://www.jumia.sn/cable-usb-3-en-1-faction-de-donnees-35-a-12-m-pour-ip-micro-type-c-italy-mpg43468.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/35089/1.jpg?3668,False,10 000 FCFA,80%,3 out of 5,(1)
Oraimo Chargeur Type C,3 000 FCFA,https://www.jumia.sn/oraimo-chargeur-type-c-10024971.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/942001/1.jpg?7858,False,8 000 FCFA,63%,,
Generic Câble Chargeur Micro USB - Best Quality - Blanc,1 500 FCFA,https://www.jumia.sn/generic-cable-chargeur-micro-usb-best-quality-blanc-6105428.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/45016/1.jpg?1587,False,3 500 FCFA,57%,,
Generic CHARGEUR A 3 PORT USB AVEC FILAIRE TYPE B,2 200 FCFA,https://www.jumia.sn/chargeur-a-3-port-usb-avec-filaire-type-b-generic-mpg26075.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/74392/1.jpg?8482,False,7 500 FCFA,71%,2 out of 5,(1)
"Oraimo Firefly-2, Chargeur rapide double USB et câble micro-USB avec multi-protection",3 500 FCFA,https://www.jumia.sn/oraimo-firefly-2-chargeur-rapide-double-usb-et-cable-micro-usb-avec-multi-protection-9732532.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/52379/1.jpg?1341,False,4 000 FCFA,13%,4 out of 5,(1)
Oraimo Chargeur Oraimo Fast Charging avec Câble Iphone - CU-60ARL,4 690 FCFA,https://www.jumia.sn/chargeur-oraimo-fast-charging-avec-cable-iphone-cu-60arl-oraimo-mpg31306.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/22139/1.jpg?4587,False,8 000 FCFA,41%,5 out of 5,(1)
"Generic Câble Smartphone - Pour iPhone 5, 6, 7, 8, X, Xs, XsMax, Ipad et Ipod Lightning Usb - Blanc",1 615 FCFA,https://www.jumia.sn/generic-cable-smartphone-pour-iphone-5-6-7-8-x-xs-xsmax-ipad-et-ipod-lightning-usb-blanc-5974687.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/64795/1.jpg?5684,False,1 900 FCFA,15%,,
Generic Chargeur sans fil en bambou en bois - Chargeur portable Qi pour téléphones mobiles - Bambou,8 500 FCFA,https://www.jumia.sn/generic-chargeur-sans-fil-en-bambou-en-bois-chargeur-portable-qi-pour-telephones-mobiles-bambou-7299182.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/19927/1.jpg?9151,False,10 000 FCFA,15%,5 out of 5,(1)
Oraimo CHARGEUR FILAIRE TYPE B ORAIMO AVEC PORT - 2A,2 500 FCFA,https://www.jumia.sn/chargeur-filaire-type-b-oraimo-avec-port-2a-oraimo-mpg31218.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/22139/1.jpg?2622,False,3 000 FCFA,17%,,
Oraimo Chargeur Smartphones ORAIMO BAMBA FEP,2 800 FCFA,https://www.jumia.sn/oraimo-chargeur-smartphones-oraimo-bamba-fep-9927071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/07299/1.jpg?4817,False,15 000 FCFA,81%,,
Oraimo Chargeur Oraimo OCW-E65S+C53 2A Fast Charging - Garantie 365 Jours,3 990 FCFA,https://www.jumia.sn/oraimo-chargeur-oraimo-ocw-e65sc53-2a-fast-charging-garantie-365-jours-9959219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/29599/1.jpg?3281,False,7 000 FCFA,43%,,
Original Câble Compatible USB 3.0 - Blanc,2 800 FCFA,https://www.jumia.sn/original-cable-compatible-usb-3.0-blanc-9797658.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/67979/1.jpg?6108,False,15 000 FCFA,81%,,
Generic Chargeur éfficace et durable (Type C to Type C) - 45W,10 900 FCFA,https://www.jumia.sn/chargeur-efficace-et-durable-type-c-to-type-c-45w-generic-mpg45326.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/27489/1.jpg?3422,False,20 000 FCFA,46%,,
Oraimo CHARGEUR FILAIRE TYPE B ORAIMO AVEC PORT - 2USB,2 700 FCFA,https://www.jumia.sn/oraimo-chargeur-filaire-type-b-oraimo-avec-port-2usb-9902601.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/62099/1.jpg?8704,False,5 000 FCFA,46%,,
Generic Chargeur Compatible iPhone X,2 550 FCFA,https://www.jumia.sn/generic-chargeur-compatible-iphone-x-9732324.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/32379/1.jpg?3962,False,5 500 FCFA,54%,5 out of 5,(1)
Generic CHARGEUR A 6 PORT USB AVEC FIL TYPE B,3 379 FCFA,https://www.jumia.sn/chargeur-a-6-port-usb-avec-fil-type-b-generic-mpg26076.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/78192/1.jpg?0944,False,7 500 FCFA,55%,2.5 out of 5,(2)
Cable Iphone - moxom usb ios CA820706,4 000 FCFA,https://www.jumia.sn/cable-iphone-moxom-usb-ios-italy-mpg27224.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/6605/1.jpg?9232,False,6 000 FCFA,33%,3 out of 5,(1)
DAKEWEI SN Chargeur 2 IN 1 DAKEWE - 2 ports,2 900 FCFA,https://www.jumia.sn/dakewei-sn-chargeur-2-in-1-dakewe-2-ports-9840511.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/50489/1.jpg?8159,False,8 000 FCFA,64%,,
