name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion Chaussures Décontractées Pour Femmes,1 900 FCFA,https://www.jumia.sn/chaussures-decontractees-pour-femmes-fashion-mpg43030.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/07029/1.jpg?1607,True,8 000 FCFA,76%,5 out of 5,(3)
Generic Baskets en tissu Blanches Femmes / color,3 900 FCFA,https://www.jumia.sn/generic-baskets-en-tissu-blanches-femmes-color-9826274.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/26289/1.jpg?3682,False,6 000 FCFA,35%,3.5 out of 5,(13)
Fashion Chaussures Pour Femmes Baskets blanc,2 900 FCFA,https://www.jumia.sn/fashion-chaussures-pour-femmes-baskets-blanc-9209192.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/19029/1.jpg?7055,True,5 280 FCFA,45%,3.5 out of 5,(17)
Fashion Baskets Chaussures Pour Femmes Noires,3 200 FCFA,https://www.jumia.sn/fashion-baskets-chaussures-pour-femmes-noires-9209196.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/19029/1.jpg?7058,True,5 280 FCFA,39%,3.6 out of 5,(11)
Fashion Pantoufles Femme Tongs À Bout Pointu,1 710 FCFA,https://www.jumia.sn/fashion-pantoufles-femme-tongs-a-bout-pointu-9223995.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/93229/2.jpg?2329,True,3 353 FCFA,49%,4 out of 5,(13)
Fashion Chaussures Pour Femmes Baskets Femmes Blanc,3 100 FCFA,https://www.jumia.sn/chaussures-pour-femmes-baskets-femmes-blanc-fashion-mpg46443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/19029/1.jpg?7054,True,5 280 FCFA,41%,3.8 out of 5,(13)
Fashion Chaussures Femmes Baskets Noir Et Mauve,3 200 FCFA,https://www.jumia.sn/fashion-chaussures-femmes-baskets-noir-et-mauve-9792161.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/12979/1.jpg?0108,True,5 280 FCFA,39%,4 out of 5,(1)
Generic Sandales à La Mode Pour Femmes,4 498 FCFA,https://www.jumia.sn/generic-sandales-a-la-mode-pour-femmes-8934771.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/74398/1.jpg?7079,True,8 820 FCFA,49%,3.9 out of 5,(8)
Fashion Chaussures Pour Baskets Femmes Blanc,3 440 FCFA,https://www.jumia.sn/fashion-chaussures-pour-baskets-femmes-blanc-9209193.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/19029/1.jpg?7058,True,5 280 FCFA,35%,4 out of 5,(12)
Fashion Chaussures Baskets Pour Femmes Noires,3 200 FCFA,https://www.jumia.sn/fashion-chaussures-baskets-pour-femmes-noires-9209194.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/19029/1.jpg?7055,True,5 280 FCFA,39%,3.4 out of 5,(7)
