name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion 2022 Basket Class Pour Homme - Kaki,6 999 FCFA - 7 999 FCFA,https://www.jumia.sn/fashion-2022-basket-class-pour-homme-kaki-6034146.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/14306/1.jpg?3832,True,15 980 FCFA,56%,4.1 out of 5,(148)
Fashion Baskets à Lacets Respirants pour Hommes de Couleur Unie,7 450 FCFA,https://www.jumia.sn/fashion-baskets-a-lacets-respirants-pour-hommes-de-couleur-unie-6042852.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/82406/1.jpg?3360,True,14 608 FCFA,49%,3.9 out of 5,(385)
Starvalley Nouveau Baskets De Mode pour Hommes - Gris,2 990 FCFA - 3 490 FCFA,https://www.jumia.sn/nouveau-baskets-de-mode-pour-hommes-gris-starvalley-mpg37949.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/48263/1.jpg?8943,True,6 843 FCFA - 9 216 FCFA,68%,4.1 out of 5,(361)
Fashion Men's Platform Daddy Shoes Mecha Transformers Sneakers,8 900 FCFA,https://www.jumia.sn/fashion-mens-platform-daddy-shoes-mecha-transformers-sneakers-9796387.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/36979/1.jpg?6294,True,10 567 FCFA,16%,4.6 out of 5,(33)
Fashion Baskets à Lacets Respirants de Couleur Unie,6 500 FCFA,https://www.jumia.sn/baskets-a-lacets-respirants-de-couleur-unie-fashion-mpg45209.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/42134/1.jpg?1952,True,14 216 FCFA - 14 608 FCFA,56%,3.8 out of 5,(512)
Fashion 2021 Chaussures De Sport Mode Pour Hommes - Blanc,8 499 FCFA,https://www.jumia.sn/fashion-2021-chaussures-de-sport-mode-pour-hommes-blanc-6034147.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/14306/1.jpg?4342,True,16 076 FCFA - 16 980 FCFA,50%,4.2 out of 5,(112)
Fashion Baskets à Lacets Respirants de Couleur,6 950 FCFA,https://www.jumia.sn/fashion-baskets-a-lacets-respirants-de-couleur-4312560.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/52134/1.jpg?6159,True,12 843 FCFA,46%,3.9 out of 5,(137)
Fashion Sandales Baskets à Lacets Respirants pour Hommes de Couleur Unie,5 800 FCFA,https://www.jumia.sn/fashion-sandales-baskets-a-lacets-respirants-pour-hommes-de-couleur-unie-9421030.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/01249/1.jpg?9624,True,11 569 FCFA - 25 000 FCFA,77%,3.9 out of 5,(74)
Fashion Chaussures à Enfiler Pour Hommes,3 900 FCFA,https://www.jumia.sn/fashion-chaussures-a-enfiler-pour-hommes-9207071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/07029/1.jpg?1609,True,18 000 FCFA,78%,4.8 out of 5,(4)
Fashion Chaussures Mocassin Hard-Wearing pour Hommes en Cuir - Noir,4 500 FCFA,https://www.jumia.sn/chaussures-mocassin-hard-wearing-pour-hommes-en-cuir-noir-fashion-mpg39179.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/72979/1.jpg?0397,False,15 000 FCFA,70%,3.3 out of 5,(29)
Fashion Baskets Sci-Fi Pour Hommes - Noir,5 999 FCFA,https://www.jumia.sn/baskets-sci-fi-pour-hommes-noir-fashion-mpg39106.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/05134/1.jpg?8610,True,11 763 FCFA,49%,3.9 out of 5,(231)
Fashion Running sneakers breathable men's old shoes,8 300 FCFA,https://www.jumia.sn/fashion-running-sneakers-breathable-mens-old-shoes-9796399.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/36979/1.jpg?5549,True,13 080 FCFA,37%,4.7 out of 5,(13)
Fashion Men's sports casual platform daddy shoes,8 300 FCFA,https://www.jumia.sn/fashion-mens-sports-casual-platform-daddy-shoes-9796415.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/46979/1.jpg?9766,True,11 514 FCFA,28%,4.6 out of 5,(22)
Generic Chaussures De Sport Pour Hommes - Bleu,4 300 FCFA,https://www.jumia.sn/generic-chaussures-de-sport-pour-hommes-bleu-9793016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/03979/1.jpg?9620,True,8 820 FCFA,51%,3.7 out of 5,(14)
