name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Souris Sans Fil Rechargeable - 2.4Ghz - Noir,2 200 FCFA,https://www.jumia.sn/generic-souris-sans-fil-rechargeable-2.4ghz-noir-6094102.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/14906/1.jpg?4412,True,4 584 FCFA,52%,4.2 out of 5,(169)
Generic Course De Souris Radio-argent,1 700 FCFA,https://www.jumia.sn/generic-course-de-souris-radio-argent-9096334.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/36909/1.jpg?5310,True,3 604 FCFA,53%,3.7 out of 5,(56)
Generic Tapis De Souris 70 * 30 Cm Caoutchouc Souple,2 500 FCFA,https://www.jumia.sn/generic-tapis-de-souris-70-30-cm-caoutchouc-souple-9801071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/01089/1.jpg?3902,True,4 902 FCFA,49%,3.5 out of 5,(4)
Generic Souris De Jeu Gamer - 6 boutons - Noir,2 490 FCFA,https://www.jumia.sn/generic-souris-de-jeu-gamer-6-boutons-noir-6094103.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/14906/1.jpg?4415,True,4 882 FCFA,49%,4.2 out of 5,(48)
Generic Souris De Jeu Gamer - gris,1 900 FCFA,https://www.jumia.sn/generic-souris-de-jeu-gamer-gris-9096335.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/36909/1.jpg?7784,True,4 310 FCFA,56%,4 out of 5,(25)
Hp Souris Sans Fil HP S1000 Plus 1600DPI Silencieuse - Noir,4 900 FCFA,https://www.jumia.sn/hp-souris-sans-fil-hp-s1000-plus-1600dpi-silencieuse-noir-9845328.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/35489/1.jpg?4469,False,10 000 FCFA,51%,5 out of 5,(1)
Woxter Souris gamer + Tapis de souris - Stinger fx 80M - 3200 DPI - Pc - Noir,17 500 FCFA,https://www.jumia.sn/woxter-souris-gamer-tapis-de-souris-stinger-fx-80m-3200-dpi-pc-noir-9838259.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/28389/1.jpg?8713,False,19 000 FCFA,8%,,
Generic Souris sans fil Bluetooth silencieuse rechargeable avec rétroéclairage LED RVB,4 990 FCFA,https://www.jumia.sn/generic-souris-sans-fil-bluetooth-silencieuse-rechargeable-avec-retroeclairage-led-rvb-9847245.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/27489/1.jpg?4810,True,6 280 FCFA,21%,,
Original Dock Clavier sans Fil - 2.4G - Noir,8 500 FCFA,https://www.jumia.sn/original-dock-clavier-sans-fil-2.4g-noir-1219052.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/09121/1.jpg?8648,False,15 000 FCFA,43%,3.6 out of 5,(15)
Generic Tapis pour PC - Jeu - Surface Lisse Antidérapant - 70*40cm - Motif Globe,5 500 FCFA,https://www.jumia.sn/generic-tapis-pour-pc-jeu-surface-lisse-antiderapant-7040cm-motif-globe-10002776.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/720001/1.jpg?1598,False,,,,
