name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Global Air Ventilateur Sur Pied 10 pouces - Global Air - Noir,7 900 FCFA,https://www.jumia.sn/global-air-ventilateur-sur-pied-10-pouces-global-air-noir-38574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/583/1.jpg?6102,True,11 900 FCFA,34%,3.4 out of 5,(19)
Astech Air cooler 16 litres - CP16NG-AL,49 900 FCFA,https://www.jumia.sn/astech-air-cooler-16-litres-cp16ng-al-10028447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/482001/1.jpg?4645,True,75 000 FCFA,33%,,
SMART TECHNOLOGY Split Éco Anti Corrosion Et Purificateur 1.25 CV9000BTU-Blanc-Garantie12mois,129 000 FCFA,https://www.jumia.sn/smart-technology-split-eco-anti-corrosion-et-purificateur-1.25-cv9000btu-blanc-garantie12mois-8886047.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/06888/1.jpg?8159,True,200 000 FCFA,36%,4.3 out of 5,(3)
"Global Air Pack 2 Ventilateur Sur Pied 16"" - Blanc",18 500 FCFA,https://www.jumia.sn/global-air-pack-2-ventilateur-sur-pied-16-blanc-3700112.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/10073/1.jpg?9638,True,29 800 FCFA,38%,3.7 out of 5,(53)
Roch Split 1CV Anti-corrosion Et Anti-bactérie - 9000BTU - R410 - RAC-S09R4-A - Blanc,145 000 FCFA,https://www.jumia.sn/roch-split-1cv-anti-corrosion-et-anti-bacterie-9000btu-r410-rac-s09r4-a-blanc-8816355.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/36188/1.jpg?1644,True,200 000 FCFA,28%,4.2 out of 5,(20)
SMART TECHNOLOGY Split Éco Anti Corrosion Et Purificateur 1.5 CV - Blanc - Garantie 12 mois,159 900 FCFA,https://www.jumia.sn/smart-technology-split-eco-anti-corrosion-et-purificateur-1.5-cv-blanc-garantie-12-mois-8886234.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/26888/1.jpg?4393,True,250 000 FCFA,36%,3.8 out of 5,(4)
Generic Mini Ventilateur Usb - Portable Climatiseur couleur aléatoire,3 500 FCFA,https://www.jumia.sn/mini-ventilateur-usb-portable-climatiseur-generic-mpg39729.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/04535/1.jpg?3471,False,12 000 FCFA,71%,1 out of 5,(1)
Roch Split 1.5 CV Anti-corrosion Et Anti-bactérie -12000BTU - R410 - RAC-S09R4-A - Blanc,161 000 FCFA,https://www.jumia.sn/roch-split-1.5-cv-anti-corrosion-et-anti-bacterie-12000btu-r410-rac-s09r4-a-blanc-8816356.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/36188/1.jpg?1646,True,220 000 FCFA,27%,4.1 out of 5,(8)
White Label Ventilateur Sur Pied 10″ – Ventilateur Sur Pied - 10 Pouces – Noir,9 500 FCFA,https://www.jumia.sn/white-label-ventilateur-sur-pied-10-ventilateur-sur-pied-10-pouces-noir-10022244.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/222001/1.jpg?6162,False,11 000 FCFA,14%,,
TenGO Ventilateur Climatiseur à Eau - Blanc,62 000 FCFA,https://www.jumia.sn/ventilateur-climatiseur-a-eau-blanc-tengo-mpg38157.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/00809/1.jpg?0832,False,110 000 FCFA,44%,3.2 out of 5,(16)
