name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Chouette Et Utile Lention Coque De Protection Rigide Pour Nouveau Macbook Air 13 Pouces Retina (2018-2020),8 400 FCFA,https://www.jumia.sn/chouette-et-utile-lention-coque-de-protection-rigide-pour-nouveau-macbook-air-13-pouces-retina-2018-2020-9846833.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/86489/1.jpg?8360,False,10 500 FCFA,20%,,
Generic Lecteur de carte OTG micro USB pour micro SD / SD / USB lecteur de carte de téléphone portable,3 900 FCFA,https://www.jumia.sn/lecteur-de-carte-otg-micro-usb-pour-micro-sd-sd-usb-lecteur-de-carte-de-telephone-portable-generic-mpg34043.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/55679/1.jpg?2991,False,4 900 FCFA,20%,3.4 out of 5,(9)
Generic SUPPORT 1TB 8 PORT USB,3 900 FCFA,https://www.jumia.sn/generic-support-1tb-8-port-usb-9959210.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/29599/1.jpg?3281,False,10 000 FCFA,61%,,
Generic TenGO Ventilateur clim à eau - Blanc,70 000 FCFA,https://www.jumia.sn/generic-tengo-ventilateur-clim-a-eau-blanc-3798817.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/88973/1.jpg?2555,False,80 000 FCFA,13%,,
Generic Mini Ventilateur électronique a Usage Multiple,14 500 FCFA,https://www.jumia.sn/generic-mini-ventilateur-electronique-a-usage-multiple-10028400.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/482001/1.jpg?3140,False,,,,
Generic XIEDE X021 DDR2 800MHz 4GB General AMD Special Strip Memory RAM Module For Desktop PC,6 510 FCFA,https://www.jumia.sn/generic-xiede-x021-ddr2-800mhz-4gb-general-amd-special-strip-memory-ram-module-for-desktop-pc-515136.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/1515/1.jpg?8168,False,12 765 FCFA,49%,,
Generic Adaptateur de lecteur de carte mémoire multi-en 1 de type c 3 ports aluminium 3.0 / 3.1 Hub MS SD M2 TF,9 500 FCFA,https://www.jumia.sn/generic-adaptateur-de-lecteur-de-carte-memoire-multi-en-1-de-type-c-3-ports-aluminium-3.0-3.1-hub-ms-sd-m2-tf-9806292.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/26089/1.jpg?5066,False,,,,
Generic SUPPORT 1TB 8 PORT USB,3 900 FCFA,https://www.jumia.sn/support-1tb-8-port-usb-generic-mpg35249.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/26206/1.jpg?0086,False,10 000 FCFA,61%,4.5 out of 5,(11)
Other TenGO Ventilateur climatisation,70 000 FCFA,https://www.jumia.sn/tengo-ventilateur-climatisation-other-mpg37276.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/05788/1.jpg?1371,False,95 000 FCFA,26%,,
Generic TenGO Ventilateur climatisation,80 000 FCFA,https://www.jumia.sn/tengo-ventilateur-climatisation-generic-mpg35787.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/56679/1.jpg?9180,False,100 000 FCFA,20%,,
