name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Zena Confiture Mangue 430g,1 160 FCFA,https://www.jumia.sn/zena-confiture-mangue-430g-9788165.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/18879/1.jpg?5328,True,,,4.3 out of 5,(3)
Zena Confiture Fraise 430g,1 290 FCFA,https://www.jumia.sn/zena-confiture-fraise-430g-9788170.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/18879/1.jpg?3495,True,,,4 out of 5,(1)
Zena Confiture Papaye 30g,230 FCFA,https://www.jumia.sn/zena-confiture-papaye-30g-9788173.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/18879/1.jpg?5186,True,,,5 out of 5,(2)
Zena Confiture Mangue 30g,230 FCFA,https://www.jumia.sn/zena-confiture-mangue-30g-9788172.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/18879/1.jpg?5146,True,,,4.6 out of 5,(7)
Zena Confiture Bissap 30g,230 FCFA,https://www.jumia.sn/zena-confiture-bissap-30g-9788171.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/18879/1.jpg?4879,True,,,4.3 out of 5,(7)
Zena Confiture Exotic 450g,1 160 FCFA,https://www.jumia.sn/zena-confiture-exotic-450g-9788166.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/18879/1.jpg?5408,True,,,5 out of 5,(3)
Zena Confiture Papaye 430g,1 160 FCFA,https://www.jumia.sn/zena-confiture-papaye-430g-9788167.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/18879/1.jpg?5431,True,,,4.7 out of 5,(3)
Bonne Maman Confiture de Fraise - 320G,1 310 FCFA,https://www.jumia.sn/pot-de-confiture-fraise-320g-bonne-maman-mpg30667.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/06688/1.jpg?0576,True,,,3.5 out of 5,(2)
Zena Confiture Goyave 450g,1 290 FCFA,https://www.jumia.sn/zena-confiture-goyave-450g-9788169.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/18879/1.jpg?5796,True,,,5 out of 5,(2)
Bonne Maman Confiture de Framboises - 370G,1 480 FCFA,https://www.jumia.sn/pot-de-confiture-framboise-370g-bonne-maman-mpg30668.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/06688/1.jpg?4600,True,,,4.8 out of 5,(4)
Zena Confiture Bissap 430 G,1 160 FCFA,https://www.jumia.sn/zena-confiture-bissap-430-g-9788164.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/18879/1.jpg?5209,True,,,5 out of 5,(1)
Zena Confiture Abricot 450g,1 160 FCFA,https://www.jumia.sn/zena-confiture-abricot-450g-9788168.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/18879/1.jpg?7420,True,,,,
Pot De Confiture De Mangue- 370G,1 490 FCFA,https://www.jumia.sn/carrefour-pot-de-confiture-de-mangue-370g-6061969.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/91606/1.jpg?6309,False,,,5 out of 5,(4)
Bauducco 100G COOKIES CHOCO,835 FCFA,https://www.jumia.sn/bauducco-100g-cookies-choco-6064679.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/64606/1.jpg?4812,False,,,,
Mina Pâte d'arachides Grillées - 1 Kg,2 525 FCFA,https://www.jumia.sn/mina-pate-darachides-grillees-1-kg-6061978.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/91606/1.jpg?6310,False,,,3 out of 5,(1)
Pot De Confiture De Mangue- 320G,1 610 FCFA,https://www.jumia.sn/carrefour-pot-de-confiture-de-mangue-320g-6061990.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/91606/1.jpg?6311,False,,,,
Confiture Fraisesﾠ- 1Kg,2 025 FCFA,https://www.jumia.sn/carrefour-confiture-fraises-1kg-2210103.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/10122/1.jpg?4989,False,,,4.5 out of 5,(11)
Confiture De Mûre - 370G,1 600 FCFA,https://www.jumia.sn/carrefour-confiture-de-mure-370g-2210100.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/10122/1.jpg?4827,False,,,5 out of 5,(1)
