name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
SMART TECHNOLOGY Congélateur Horizontal 72 Litres Brut - Gris - Garantie 12 Mois,88 850 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-72-litres-brut-gris-garantie-12-mois-8886039.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/06888/4.jpg?2172,True,150 000 FCFA,41%,3.1 out of 5,(11)
SMART TECHNOLOGY Congélateur Horizontal 200 Litres - Gris - Garantie 12 Mois,129 000 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-200-litres-gris-garantie-12-mois-8886040.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/06888/1.jpg?4937,True,200 000 FCFA,36%,3.1 out of 5,(10)
Westpool Congelateur vertical - 6 TIROIR 229L - Silver - Garantie 12 Mois,200 000 FCFA,https://www.jumia.sn/westpool-congelateur-vertical-6-tiroir-229l-silver-garantie-12-mois-9979021.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/09799/1.jpg?3431,True,230 000 FCFA,13%,,
Astech Congélateur horizontal 280L CH280,173 300 FCFA,https://www.jumia.sn/astech-congelateur-horizontal-280l-ch280-9957042.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/07599/1.jpg?8837,True,190 000 FCFA,9%,,
Hisense Congélateur Vertical 160 Litres - 5 Tiroirs - RS-20DC4SA - Blanc - Classe A+,184 900 FCFA,https://www.jumia.sn/hisense-congelateur-vertical-160-litres-5-tiroirs-rs-20dc4sa-blanc-classe-a-9959378.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/39599/1.jpg?3684,True,239 000 FCFA,23%,,
Haier Congélateur Horizontal 250 Litres - HCF 208 - Argenté - Garantie 12 Mois,149 900 FCFA,https://www.jumia.sn/haier-congelateur-horizontal-250-litres-hcf-208-argente-garantie-12-mois-9971054.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/01799/1.jpg?9029,True,150 950 FCFA,1%,,
Astech Congélateur Horizontal 380 Litres - Gris,195 500 FCFA,https://www.jumia.sn/astech-congelateur-horizontal-380-litres-gris-9844995.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/94489/1.jpg?8079,True,210 000 FCFA,7%,5 out of 5,(1)
Astech Congélateur Vertical 6 Tiroirs 185L - Gris - Classe A+,212 200 FCFA,https://www.jumia.sn/astech-congelateur-vertical-6-tiroirs-185l-gris-classe-a-9844992.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/94489/1.jpg?8081,True,224 000 FCFA,5%,3 out of 5,(2)
SMART TECHNOLOGY Congélateur Horizontal 320 Litres Brut- Gris - Garantie 12 Mois,201 550 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-320-litres-brut-gris-garantie-12-mois-8886042.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/06888/1.jpg?0297,True,250 000 FCFA,19%,4 out of 5,(5)
SMART TECHNOLOGY Congélateur Vertical 280 Litres - 7 Tiroirs - Gris - Garantie 12 Mois,289 950 FCFA,https://www.jumia.sn/smart-technology-congelateur-vertical-280-litres-7-tiroirs-gris-garantie-12-mois-8886028.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/06888/1.jpg?6089,True,410 000 FCFA,29%,3 out of 5,(1)
Beko Congélateur Horizontal 208 Litres - HS221520S - Garantie 12 Mois - Classe A+,175 000 FCFA,https://www.jumia.sn/beko-congelateur-horizontal-208-litres-hs221520s-garantie-12-mois-classe-a-9972789.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/72799/1.jpg?1350,True,220 000 FCFA,20%,,
Astech Congélateur vertical 4 tiroirs FC120,132 000 FCFA,https://www.jumia.sn/astech-congelateur-vertical-4-tiroirs-fc120-9957037.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/07599/1.jpg?5037,True,140 000 FCFA,6%,4 out of 5,(1)
SMART TECHNOLOGY Congélateur Horizontal Avec Vitre 264 Litres - Gris - Garantie 12 Mois,217 750 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-avec-vitre-264-litres-gris-garantie-12-mois-9757474.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/47579/1.jpg?7535,True,250 000 FCFA,13%,4 out of 5,(1)
LG CONGELATEUR - LG - Horizontal + pied - GCS175SVF - GARANTIE 12 MOIS,175 900 FCFA,https://www.jumia.sn/lg-congelateur-lg-horizontal-pied-gcs175svf-garantie-12-mois-5996443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/46995/1.jpg?4451,False,250 000 FCFA,30%,3 out of 5,(1)
Solstar Congélateur Horizontal - Solstar - CF 280 - 280 Litres - Garantie 12 Mois,215 000 FCFA,https://www.jumia.sn/solstar-congelateur-horizontal-solstar-cf-280-280-litres-garantie-12-mois-91852.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/819/1.jpg?9044,False,325 000 FCFA,34%,,
SMART TECHNOLOGY Congélateur Horizontal 275 Litres - Gris - Garantie 12 Mois,173 300 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-275-litres-gris-garantie-12-mois-8886041.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/06888/1.jpg?7815,True,250 000 FCFA,31%,5 out of 5,(1)
SMART TECHNOLOGY Congélateur Vertical 258 Litres - 7 tiroirs - Gris - Garantie 12 Mois,274 950 FCFA,https://www.jumia.sn/smart-technology-congelateur-vertical-258-litres-7-tiroirs-gris-garantie-12-mois-9329412.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/49239/1.jpg?8339,True,350 000 FCFA,21%,5 out of 5,(1)
Congélateur horizontal 150 L CAC - Gris - Vitres Coulissants - Garantie 12 Mois,188 900 FCFA,https://www.jumia.sn/cac-congelateur-horizontal-150-l-cac-gris-vitres-coulissants-garantie-12-mois-8842134.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/12488/1.jpg?1684,False,280 000 FCFA,33%,4.3 out of 5,(7)
Roch Congélateur Horizontal 93 Litres - RCF 150 - Blanc,99 900 FCFA,https://www.jumia.sn/roch-congelateur-horizontal-93-litres-rcf-150-blanc-10000751.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/700001/1.jpg?6772,True,130 000 FCFA,23%,,
Sharp CONGELATEUR - SHARP - 8TIROIRS - VERTICAL - PLAQ ALUM,309 000 FCFA,https://www.jumia.sn/sharp-congelateur-sharp-8tiroirs-vertical-plaq-alum-5384956.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/94835/1.jpg?9851,False,350 000 FCFA,12%,4.5 out of 5,(4)
Beko Congélateur Horizontal 425 Litres - HSA40502s - Gris - Garantie 12 Mois - Classe A,269 900 FCFA,https://www.jumia.sn/beko-congelateur-horizontal-425-litres-hsa40502s-gris-garantie-12-mois-classe-a-9972787.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/72799/1.jpg?8402,True,280 000 FCFA,4%,,
Astech Congélateur Horizontal 195 Litres - Gris - Classe A+,134 500 FCFA,https://www.jumia.sn/astech-congelateur-horizontal-195-litres-gris-classe-a-9845004.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/05489/1.jpg?3851,True,137 000 FCFA,2%,2.5 out of 5,(2)
Haier CONGELATEUR - HAIER - HCF 428 - HORIZONTAL - BLANC,335 000 FCFA,https://www.jumia.sn/haier-congelateur-haier-hcf-428-horizontal-blanc-4323864.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/83234/1.jpg?7526,False,450 000 FCFA,26%,4.5 out of 5,(2)
Beko CONGELATEUR - BEKO - HORIZONTAL - 500L - HSA 40502 S - GARANTIE 12 MOIS,330 000 FCFA,https://www.jumia.sn/beko-congelateur-beko-horizontal-500l-hsa-40502-s-garantie-12-mois-9195645.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/65919/1.jpg?0732,False,425 000 FCFA,22%,1 out of 5,(1)
