name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Tablet Huawei Mediapad T5 10 Case PU Leather Hard Case Cover,6 000 FCFA,https://www.jumia.sn/generic-tablet-huawei-mediapad-t5-10-case-pu-leather-hard-case-cover-5426746.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/76245/1.jpg?8144,False,11 765 FCFA,49%,,
Generic Étui Pour Airpods - Rouge,950 FCFA,https://www.jumia.sn/etui-pour-ecouteurs-sans-fil-rouge-generic-mpg27108.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/654/1.jpg?8445,False,,,3.2 out of 5,(44)
Generic Samsung Galaxy A50 3 In 1 Hard PC Case - Black With Red,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a50-3-in-1-hard-pc-case-black-with-red-1747936.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/97471/1.jpg?3122,False,9 804 FCFA,49%,5 out of 5,(1)
Generic Etuit Pochettes Étanches universel Téléphone Certifiée IPX8,3 500 FCFA,https://www.jumia.sn/generic-etuit-pochettes-etanches-universel-telephone-certifiee-ipx8-9763944.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/93679/1.jpg?9877,False,,,,
Generic Samsung Galaxy A12 5G 3 In 1 Hard PC Case - Black/Silver,10 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a12-5g-3-in-1-hard-pc-case-blacksilver-6069323.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/39606/1.jpg?7466,False,,,,
Generic Coque Rigide 3 en 1 pour Samsung Galaxy A51 - Rouge,5 000 FCFA,https://www.jumia.sn/generic-coque-rigide-3-en-1-pour-samsung-galaxy-a51-rouge-1918556.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/58191/1.jpg?2861,False,9 804 FCFA,49%,,
Generic Samsung Galaxy A51 Plating Mirror Leather Case - Purple Blue,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a51-plating-mirror-leather-case-purple-blue-1751014.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/01571/1.jpg?9884,False,9 804 FCFA,49%,5 out of 5,(1)
Generic Étui Pour Airpods - aleatoire,900 FCFA,https://www.jumia.sn/generic-etui-pour-airpods-aleatoire-9368519.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/58639/1.jpg?4157,False,5 000 FCFA,82%,3.3 out of 5,(3)
Generic Coque Rigide 3 en 1 pour Samsung Galaxy A10 - Noire avec Rouge,999 FCFA,https://www.jumia.sn/generic-coque-rigide-3-en-1-pour-samsung-galaxy-a10-noire-avec-rouge-1748957.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/98471/1.jpg?3322,False,1 959 FCFA,49%,,
Hoot Bakeey 360° Full Body Hard PC Front+Back Cover Case+Soft Screen Protector For Samsung Galaxy Note 8,2 770 FCFA,https://www.jumia.sn/hoot-bakeey-360-full-body-hard-pc-frontback-cover-casesoft-screen-protector-for-samsung-galaxy-note-8-4199909.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/99914/1.jpg?5510,True,5 540 FCFA,50%,,
"Cafele 0.4mm Slim Micro Matte Anti Fingerprint PP Protective Case For iPhone XR 6.1"" 2018",4 450 FCFA,https://www.jumia.sn/cafele-0.4mm-slim-micro-matte-anti-fingerprint-pp-protective-case-for-iphone-xr-6.1-2018-5449508.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/59445/1.jpg?4227,True,8 900 FCFA,50%,,
Generic Iphone 12 5.4 Inch Case Glass Phone Case Cover - Blue,2 750 FCFA,https://www.jumia.sn/generic-iphone-12-5.4-inch-case-glass-phone-case-cover-blue-4972991.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/92794/1.jpg?6008,False,5 392 FCFA,49%,,
Generic Samsung Galaxy S10 5G 3 In 1 Hard PC Case - Silver With Black,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-s10-5g-3-in-1-hard-pc-case-silver-with-black-1746792.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/76471/1.jpg?1290,False,9 804 FCFA,49%,,
Generic Pour iPhone 7plus Etui portefeuille simple mode camouflage tempérament,11 180 FCFA,https://www.jumia.sn/generic-pour-iphone-7plus-etui-portefeuille-simple-mode-camouflage-temperament-488102.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/1884/1.jpg?3910,False,28 980 FCFA,61%,,
Generic Samsung Galaxy A51 Case Leather Phone Case Cover - Blue,2 750 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a51-case-leather-phone-case-cover-blue-3307938.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/97033/1.jpg?9415,False,5 392 FCFA,49%,,
Generic Coque Pour Oneplus 7T Pro Coque Housse en cuir TPU pour téléphone - Bleu,5 500 FCFA,https://www.jumia.sn/generic-coque-pour-oneplus-7t-pro-coque-housse-en-cuir-tpu-pour-telephone-bleu-3075317.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/35703/1.jpg?5972,False,10 588 FCFA,48%,,
Choetech Coque de protection en silicone Noir - Magnétique pour iPhone 12/12 Pro.,6 400 FCFA,https://www.jumia.sn/choetech-coque-de-protection-en-silicone-noir-magnetique-pour-iphone-1212-pro.-9846846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/86489/1.jpg?8357,False,8 000 FCFA,20%,,
Generic Samsung Galaxy A21s 3 In 1 Hard PC Case - Blue,10 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a21s-3-in-1-hard-pc-case-blue-4614365.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/34164/1.jpg?4767,False,,,,
Generic Huawei Nova 5T 3 In 1 Hard PC Case - Black With Silver,3 725 FCFA,https://www.jumia.sn/generic-huawei-nova-5t-3-in-1-hard-pc-case-black-with-silver-2885559.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/55882/1.jpg?1822,False,7 304 FCFA,49%,,
Generic Samsung Galaxy A80 Plating Mirror Leather Case - Gold,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a80-plating-mirror-leather-case-gold-1748641.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/68471/1.jpg?6697,False,9 804 FCFA,49%,5 out of 5,(2)
Generic Bakeey Waterproof Shockproof Earphone Case With Hook For Apple AirPods,2 535 FCFA,https://www.jumia.sn/generic-bakeey-waterproof-shockproof-earphone-case-with-hook-for-apple-airpods-956427.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/4659/1.jpg?1845,False,4 971 FCFA,49%,,
Generic Samsung Galaxy Note 20 Ultra Case Phone Case Cover,3 100 FCFA,https://www.jumia.sn/generic-samsung-galaxy-note-20-ultra-case-phone-case-cover-5426183.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/16245/1.jpg?5624,False,6 078 FCFA,49%,,
Generic Étui Pour écouteurs sans fil - Rouge,1 900 FCFA,https://www.jumia.sn/etui-pour-ecouteurs-sans-fil-rouge-generic-mpg43446.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/26205/1.jpg?1912,False,,,1 out of 5,(1)
Generic Samsung Galaxy A21s Plating Mirror Leather Case - Blue,10 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a21s-plating-mirror-leather-case-blue-3731338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/31373/1.jpg?1083,False,,,3 out of 5,(3)
Generic Xiaomi Redmi Note 9 3 In 1 Hard PC Case - Black/Red,10 000 FCFA,https://www.jumia.sn/generic-xiaomi-redmi-note-9-3-in-1-hard-pc-case-blackred-5347529.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/57435/1.jpg?6152,False,,,,
Generic Samsung Galaxy Note 10 Lite TPU Case(3PCS) - Multi,6 999 FCFA,https://www.jumia.sn/generic-samsung-galaxy-note-10-lite-tpu-case3pcs-multi-2885646.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/65882/1.jpg?1955,False,13 724 FCFA,49%,,
"Generic Bakeey Carbon Fiber Fingerprint Resistant Soft TPU Protective Case For iPhone XR 6.1""",4 990 FCFA,https://www.jumia.sn/generic-bakeey-carbon-fiber-fingerprint-resistant-soft-tpu-protective-case-for-iphone-xr-6.1-5449509.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/59445/1.jpg?4241,True,9 980 FCFA,50%,,
Generic Samsung Galaxy A01 3 In 1 Hard PC Case - Black/Silver,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a01-3-in-1-hard-pc-case-blacksilver-3760516.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/50673/1.jpg?3604,False,9 804 FCFA,49%,1 out of 5,(1)
Generic Étui - Silicone - Rouge,1 900 FCFA,https://www.jumia.sn/etui-silicone-rouge-generic-mpg36338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/30811/1.jpg?0406,False,,,,
Generic Huawei Y9 Prime 2019 3 In 1 Hard PC Case - Black With Red,10 000 FCFA,https://www.jumia.sn/generic-huawei-y9-prime-2019-3-in-1-hard-pc-case-black-with-red-1749419.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/49471/1.jpg?8363,False,,,,
Generic Samsung Galaxy A80 3 In 1 Hard PC Case - Rose Gold,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a80-3-in-1-hard-pc-case-rose-gold-1749943.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/99471/1.jpg?3529,False,9 804 FCFA,49%,1 out of 5,(1)
Generic Samsung Galaxy S10 5G Plating Mirror Leather Case - Silver,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-s10-5g-plating-mirror-leather-case-silver-1748640.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/68471/1.jpg?4861,False,9 804 FCFA,49%,,
Generic Samsung Galaxy A80 Plating Mirror Leather Case - Purple,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a80-plating-mirror-leather-case-purple-1750136.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/10571/1.jpg?1524,False,9 804 FCFA,49%,,
Generic Samsung Galaxy M21 Case PC Leather Phone Case Cover - Black,5 500 FCFA,https://www.jumia.sn/generic-samsung-galaxy-m21-case-pc-leather-phone-case-cover-black-4006312.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/36004/1.jpg?9286,False,10 588 FCFA,48%,,
Generic Samsung Galaxy A21s Plating Mirror Leather Case - Rose Gold,5 000 FCFA,https://www.jumia.sn/generic-samsung-galaxy-a21s-plating-mirror-leather-case-rose-gold-3731339.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/31373/1.jpg?0051,False,9 804 FCFA,49%,,
Generic Ultra Thin TPU Transparent Mobile Phone Housse de protection pour iPhone bleu X,3 910 FCFA,https://www.jumia.sn/generic-ultra-thin-tpu-transparent-mobile-phone-housse-de-protection-pour-iphone-bleu-x-1905978.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/95091/1.jpg?5401,False,7 451 FCFA,48%,,
Generic For Samsung Galaxy S20 FE Protective Case(Brown),2 645 FCFA,https://www.jumia.sn/generic-for-samsung-galaxy-s20-fe-protective-casebrown-6123092.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/03216/1.jpg?8572,False,3 779 FCFA,30%,,
Generic Pour étui iphone6 Porte-cartes à la mode Maple Leaf,11 540 FCFA,https://www.jumia.sn/generic-pour-etui-iphone6-porte-cartes-a-la-mode-maple-leaf-487626.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/6784/1.jpg?4083,False,30 060 FCFA,62%,,
Hoot Bakeey™ 3 in 1 Double Dip 360° Full Body Protective Case for Samsung Galaxy A8/A8Plus,1 620 FCFA,https://www.jumia.sn/hoot-bakeeytm-3-in-1-double-dip-360-full-body-protective-case-for-samsung-galaxy-a8a8plus-954956.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/9459/1.jpg?0683,False,3 176 FCFA,49%,,
Generic Housse en Cuir Miroir pour Samsung Galaxy A51 - Argent,5 000 FCFA,https://www.jumia.sn/generic-housse-en-cuir-miroir-pour-samsung-galaxy-a51-argent-1750093.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/00571/1.jpg?3541,False,9 804 FCFA,49%,,
