name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion Femmes droites Bob perruque cheveux pour dames,3 840 FCFA,https://www.jumia.sn/fashion-femmes-droites-bob-perruque-cheveux-pour-dames-9253709.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/73529/1.jpg?7917,True,7 529 FCFA,49%,2.8 out of 5,(4)
Generic Peignoir doux et absorbant - Saumon,11 900 FCFA,https://www.jumia.sn/generic-peignoir-doux-et-absorbant-saumon-10022500.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/522001/1.jpg?1528,False,20 000 FCFA,41%,,
Generic hijab silk medine,8 500 FCFA,https://www.jumia.sn/generic-hijab-silk-medine-9843148.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/13489/1.jpg?5804,False,,,,
Jsy Lingerie sexy Nuisette Euphrosyne,22 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-nuisette-euphrosyne-9960186.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/10699/1.jpg?9401,False,,,,
Generic hijab silk medine,8 500 FCFA,https://www.jumia.sn/generic-hijab-silk-medine-9843147.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/13489/1.jpg?5804,False,,,,
Jsy Lingerie sexy Ensemble Calliope Deguisement,20 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-ensemble-calliope-deguisement-9960182.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/10699/1.jpg?9401,False,,,,
Generic Peignoir doux et absorbant - Gris,11 900 FCFA,https://www.jumia.sn/generic-peignoir-doux-et-absorbant-gris-10022499.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/422001/1.jpg?1528,False,20 000 FCFA,41%,,
Generic Boîte de Rangement de Produits Cosmétiques,7 998 FCFA,https://www.jumia.sn/boite-de-rangement-de-produits-cosmetiques-generic-mpg28424.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/06506/1.jpg?5457,False,10 000 FCFA,20%,,
Jsy Lingerie sexy Nuisette Melete,23 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-nuisette-melete-9960187.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/10699/1.jpg?9401,False,,,,
Fashion Ensemble Pour Femme - Tunique + Pantalon - Orange Blanc,30 000 FCFA,https://www.jumia.sn/fashion-ensemble-pour-femme-tunique-pantalon-orange-blanc-114951.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/9411/1.jpg?3953,False,,,,
Jsy Lingerie sexy Ensemble Nyx Deguisement,25 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-ensemble-nyx-deguisement-9960184.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/10699/1.jpg?9401,False,,,,
Jsy Lingerie sexy Ensemble Bunny Girl Deguisement,27 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-ensemble-bunny-girl-deguisement-9960181.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/10699/1.jpg?9401,False,,,,
Fashion Ensemble Pour Femme - Tunique + Pantalon - Gris Blanc,30 000 FCFA,https://www.jumia.sn/fashion-ensemble-pour-femme-tunique-pantalon-gris-blanc-114947.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/9411/1.jpg?3952,False,,,,
Jsy Lingerie sexy Nuisette Alcippe,23 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-nuisette-alcippe-9960185.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/10699/1.jpg?9401,False,,,,
Jsy Lingerie sexy Nuisette Sémélé,23 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-nuisette-semele-9960189.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/10699/1.jpg?9401,False,,,,
Jsy Lingerie sexy Ensemble Hippolyte Deguisement,27 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-ensemble-hippolyte-deguisement-9960183.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/10699/1.jpg?9401,False,,,,
Jsy Lingerie sexy Nuisette Larisa,23 000 FCFA,https://www.jumia.sn/jsy-lingerie-sexy-nuisette-larisa-9960188.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/10699/1.jpg?9401,False,,,,
Fashion Ensemble Pour Femme - Tunique + Pantalon - Noir Blanc,30 000 FCFA,https://www.jumia.sn/fashion-ensemble-pour-femme-tunique-pantalon-noir-blanc-114944.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/9411/1.jpg?3916,False,,,,
Fashion Ensemble Pour Femme - Tunique + Pantalon - Bleu Blanc,30 000 FCFA,https://www.jumia.sn/fashion-ensemble-pour-femme-tunique-pantalon-bleu-blanc-114950.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/9411/1.jpg?3953,False,,,,
Unbrand Poudre Bronzante Matte Levée du Soleil,8 000 FCFA,https://www.jumia.sn/unbrand-poudre-bronzante-matte-levee-du-soleil-6141291.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/21416/1.jpg?1003,False,,,,
Boots Ensemble Maquillage Beauty Heroes Grandes Marques Boots,11 400 FCFA,https://www.jumia.sn/ensemble-maquillage-beauty-heroes-grandes-marques-boots-boots-mpg31489.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/45539/1.jpg?7928,False,12 000 FCFA,5%,,
Fashion Ensemble Pour Femme - Tunique + Pantalon - Rose Blanc,30 000 FCFA,https://www.jumia.sn/fashion-ensemble-pour-femme-tunique-pantalon-rose-blanc-114949.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/9411/1.jpg?3953,False,,,,
Fashion Perruques Bobo Noir Cheveux Courts Perruques Beauté Féminine,4 400 FCFA,https://www.jumia.sn/fashion-perruques-bobo-noir-cheveux-courts-perruques-beaute-feminine-9253708.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/73529/1.jpg?7917,True,6 800 FCFA,35%,2.8 out of 5,(11)
White Label Steamright 2 en 1 Hair Styler,8 980 FCFA,https://www.jumia.sn/white-label-steamright-2-en-1-hair-styler-6066878.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/86606/1.jpg?5616,False,15 000 FCFA,40%,,
Lot de Produits Dove Cadeau Populaire pour Femme,20 000 FCFA,https://www.jumia.sn/dove-lot-de-produits-dove-cadeau-populaire-pour-femme-6107357.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/37016/1.jpg?1606,False,,,,
Unbrand Makeup London Revolution palette de fards,9 990 FCFA,https://www.jumia.sn/unbrand-makeup-london-revolution-palette-de-fards-9372750.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/72739/1.jpg?4334,False,20 000 FCFA,50%,,
Fashion Ensemble Pour Femme - Longue Tunique + Pantalon - Mauve,30 000 FCFA,https://www.jumia.sn/fashion-ensemble-pour-femme-longue-tunique-pantalon-mauve-114943.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/9411/1.jpg?3916,False,,,,
