name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Pampers Pack 1 mois - 72 couches - Pampers Baby Dry Mini - Taille 3,10 075 FCFA,https://www.jumia.sn/pampers-pack-1-mois-72-couches-pampers-baby-dry-mini-taille-3-9294574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/54929/1.jpg?3802,True,,,4 out of 5,(1)
Generic Trotteur Youpala Pour Bébé - ( multicolores) CA820938,18 900 FCFA,https://www.jumia.sn/generic-trotteur-youpala-pour-bebe-multicolores-ca820938-6106125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/16016/1.jpg?3825,False,50 000 FCFA,62%,4 out of 5,(4)
Pampers Couches Bébé Baby Dry Maxi - Taille 4 ( 9 - 18 kg ) - 32 Couches,5 560 FCFA,https://www.jumia.sn/pampers-couches-bebe-baby-dry-maxi-taille-4-9-18-kg-32-couches-9294578.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/54929/1.jpg?1111,True,,,5 out of 5,(2)
Pampers Couches-Culottes Baby-Dry Pants Taille 3 (6-11kg) - 31 Couches,5 480 FCFA,https://www.jumia.sn/pampers-couches-culottes-baby-dry-pants-taille-3-6-11kg-31-couches-9288020.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/08829/1.jpg?5082,True,,,4.5 out of 5,(4)
Generic Sac à Langer 4 en 1 (2 Sacs+Trousse Biberon & Trousse),10 500 FCFA,https://www.jumia.sn/generic-sac-a-langer-4-en-1-2-sacstrousse-biberon-trousse-9797431.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/47979/1.jpg?9912,False,15 000 FCFA,30%,4.7 out of 5,(3)
Generic Bracelet De sécurité Anti Perte Enfant - Bleu - CA820606,1 900 FCFA,https://www.jumia.sn/generic-bracelet-de-securite-anti-perte-enfant-bleu-ca820606-1208180.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/18021/1.jpg?2536,False,2 500 FCFA,24%,3.5 out of 5,(2)
Chicco Sac à Langer 4 Pièces (2 Sacs+Trousse Biberon+Trousse accessoire,11 500 FCFA,https://www.jumia.sn/sac-a-langer-4-pieces-2-sacstrousse-biberontrousse-accessoire-chicco-mpg42997.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/15906/1.jpg?9463,False,23 000 FCFA,50%,3.7 out of 5,(6)
Pampers Pack 1 mois - 80 couches - Pampers Baby Dry - Taille 2,9 990 FCFA,https://www.jumia.sn/pampers-pack-1-mois-80-couches-pampers-baby-dry-taille-2-9294575.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/54929/1.jpg?6512,True,,,,
Pampers Couches Bébé Baby Dry Maxi - Taille 5 (11 - 25 kg) - 60 Couches,9 990 FCFA,https://www.jumia.sn/pampers-couches-bebe-baby-dry-maxi-taille-5-11-25-kg-60-couches-9294583.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/54929/1.jpg?7097,True,,,,
Evoluderm 25 Lingettes Démaquillantes Eau Micellaire - Peaux Sensibles,1 500 FCFA,https://www.jumia.sn/evoluderm-25-lingettes-demaquillantes-eau-micellaire-peaux-sensibles-9908163.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/18099/1.jpg?3930,True,3 000 FCFA,50%,,
