name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Robinet Intelligent-noir,2 998 FCFA,https://www.jumia.sn/generic-robinet-intelligent-noir-9096408.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/46909/1.jpg?4200,True,5 196 FCFA,42%,3.9 out of 5,(23)
Generic Balance De Cuisine Numérique - 5kg - Blanc,2 338 FCFA,https://www.jumia.sn/generic-balance-de-cuisine-numerique-5kg-blanc-8841534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/51488/1.jpg?9372,True,4 584 FCFA,49%,3.2 out of 5,(26)
Generic Sonde De Thermomètre Numérique,1 500 FCFA,https://www.jumia.sn/generic-sonde-de-thermometre-numerique-9801079.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/01089/1.jpg?9396,True,2 941 FCFA,49%,4 out of 5,(1)
Nasco NASCO - Batteur Sur Socle - HM945B - 2.3 Litres - 200-250W - Blanc,6 900 FCFA,https://www.jumia.sn/nasco-nasco-batteur-sur-socle-hm945b-2.3-litres-200-250w-blanc-9850838.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/80589/1.jpg?5600,True,12 000 FCFA,43%,4.1 out of 5,(26)
Generic Crochets Adhésifs Transparents - 10 pièces,1 690 FCFA,https://www.jumia.sn/generic-crochets-adhesifs-transparents-10-pieces-9842550.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/52489/1.jpg?6660,True,3 314 FCFA,49%,2.3 out of 5,(4)
Nasco Presse Agrume électrique - MIXER_JE3000GS - 30W - 0.5 Litre - Blanc,2 900 FCFA,https://www.jumia.sn/nasco-presse-agrume-electrique-mixerje3000gs-30w-0.5-litre-blanc-9850841.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/80589/1.jpg?7366,True,5 000 FCFA,42%,4.1 out of 5,(8)
Konka Petite Machine à Café Domestique Portable de 300ml avec Tasse de Café,9 900 FCFA,https://www.jumia.sn/konka-petite-machine-a-cafe-domestique-portable-de-300ml-avec-tasse-de-cafe-9801962.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/91089/1.jpg?7798,False,30 000 FCFA,67%,5 out of 5,(2)
Nasco Batteur à Main - Hm411 - 250 W - Blanc,3 900 FCFA,https://www.jumia.sn/nasco-batteur-a-main-hm411-250-w-blanc-9850839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/80589/1.jpg?6543,True,7 000 FCFA,44%,4.4 out of 5,(12)
Mug bouteille Isotherme 12 H - Acier Inoxydable - 350 ml - CA820180,1 900 FCFA,https://www.jumia.sn/canette-isotherme-acier-inoxydable-350-ml-generic-mpg7654.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/7601/1.jpg?4593,False,13 000 FCFA,85%,3.3 out of 5,(51)
Generic Mixeur 380ml pour smoothie Milk Shake,5 500 FCFA,https://www.jumia.sn/mixeur-380ml-pour-smoothie-milk-shake-generic-mpg14000.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/86606/1.jpg?8695,False,,,4.2 out of 5,(17)
Generic Thermos-Mug Isotherme - Inoxydable - Boisson chaude et froide - 500ml,3 500 FCFA,https://www.jumia.sn/thermos-mug-isotherme-acier-inoxydable-boisson-chaude-et-froide-500ml-b-generic-mpg45669.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/09489/1.jpg?4652,False,5 000 FCFA,30%,4.4 out of 5,(13)
Generic Poche à douille pour décoration gâteau 15 pièces,1 800 FCFA,https://www.jumia.sn/generic-poche-a-douille-pour-decoration-gateau-15-pieces-9998606.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/68999/1.jpg?1405,False,,,,
