name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Serviettes de bain 100% coton ultra doux Gris 1 mètre,3 900 FCFA,https://www.jumia.sn/serviettes-de-bain-100-coton-ultra-doux-gris-1-metre-generic-mpg35416.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/15979/1.jpg?6502,False,4 900 FCFA,20%,3.7 out of 5,(3)
Other Pompe à Eau Electrique - Noir,4 590 FCFA,https://www.jumia.sn/pompe-a-eau-electrique-noir-other-mpg4630.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/21895/1.jpg?3158,False,10 000 FCFA,54%,3.8 out of 5,(6)
Generic Pompe à air électrique 12 VOLTES Noir,8 668 FCFA,https://www.jumia.sn/pompe-a-air-electrique-12-voltes-noir-generic-mpg34885.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/90749/1.jpg?0455,False,13 500 FCFA,36%,,
Lot De 2 Bouche Evier,890 FCFA,https://www.jumia.sn/carrefour-lot-de-2-bouche-evier-9781486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/41879/1.jpg?8626,False,,,,
Generic Set de 3 pièces Salle de bain - Toilette + Lavabo + Baignoire/Douche - Bleu clair,8 000 FCFA,https://www.jumia.sn/set-de-3-pieces-salle-de-bain-toilette-lavabo-baignoiredouche-bleu-generic-mpg2581.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/908/1.jpg?0451,False,18 000 FCFA,56%,3 out of 5,(1)
Generic Pompe à Eau Electrique,3 390 FCFA,https://www.jumia.sn/generic-pompe-a-eau-electrique-6129559.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/59216/1.jpg?3714,False,,,,
IT Fontaine à Eau - Blanc - 20 Litres,39 000 FCFA,https://www.jumia.sn/fontaine-a-eau-blanc-20-litres-it-mpg8680.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/323/1.jpg?5563,False,76 000 FCFA,49%,3.2 out of 5,(5)
White Label Sèche-Linge Démontable,22 000 FCFA,https://www.jumia.sn/white-label-seche-linge-demontable-3805970.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/95083/1.jpg?1492,False,,,,
Generic Serviettes de bain 100% coton ultra doux blanche 2 mètres,3 900 FCFA,https://www.jumia.sn/serviettes-de-bain-100-coton-ultra-doux-blanche-2-metres-generic-mpg29365.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/44706/1.jpg?0330,False,,,5 out of 5,(2)
Generic 2 pcs évier acier inoxydable - Gris,2 000 FCFA,https://www.jumia.sn/generic-2-pcs-evier-acier-inoxydable-gris-110616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/6011/1.jpg?8363,False,,,4.7 out of 5,(6)
Robinet de lavabo - mitigeur - Chromé - CA820438,4 500 FCFA,https://www.jumia.sn/robinet-de-lavabo-mitigeur-chrome-italy-mpg3082.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/559/1.jpg?7747,False,25 000 FCFA,82%,3 out of 5,(1)
"Utopia Serviette de Bain, Drap de Bain Gris - 2 mètres",4 900 FCFA,https://www.jumia.sn/serviette-de-bain-drap-de-bain-gris-2-metres-utopia-mpg27683.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/22979/1.jpg?9146,False,6 900 FCFA,29%,3.9 out of 5,(17)
Generic Étagère de Douche,4 900 FCFA,https://www.jumia.sn/etagere-de-douche-inox-generic-mpg9552.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/95979/1.jpg?1969,False,,,3.6 out of 5,(16)
Generic 3 pcs Art Moderne Peinture À L'huile Impression Sur Toile Sans Cadre,3 195 FCFA,https://www.jumia.sn/generic-3-pcs-art-moderne-peinture-a-lhuile-impression-sur-toile-sans-cadre-1751807.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/81571/1.jpg?4926,False,6 265 FCFA,49%,,
White Label Porte Mouchoir Salle de Bain,3 900 FCFA,https://www.jumia.sn/white-label-porte-mouchoir-salle-de-bain-3533663.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/63353/1.jpg?7223,False,,,3 out of 5,(1)
Douchette - Flexible Kit Douchette Hygiène - Blanc -,4 900 FCFA,https://www.jumia.sn/douchette-flexible-kit-douchette-hygiene-blanc-italy-mpg43469.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/74979/1.jpg?5842,False,13 000 FCFA,62%,,
