name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés Noir,4 900 FCFA,https://www.jumia.sn/10000mah-power-banks-4-cables-tres-mince-de-charge-integres-noir-generic-mpg44904.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/01579/1.jpg?1502,False,9 000 FCFA,46%,4 out of 5,(10)
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés Noir/blanc,6 000 FCFA,https://www.jumia.sn/10000mah-power-banks-4-cables-tres-mince-de-charge-integres-noirblanc-generic-mpg32110.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/58749/1.jpg?2106,False,25 000 FCFA,76%,4.6 out of 5,(7)
Generic Mini Led USB - Lampe pour Clavier - Orange,1 590 FCFA,https://www.jumia.sn/mini-led-usb-lampe-pour-clavier-generic-mpg26514.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/60895/1.jpg?6130,False,3 000 FCFA,47%,4.6 out of 5,(16)
TC2i CABLE VGA VERS VGA 3M ORDINATEUR PC MONITEUR ECRAN PROJECTEUR CBL16,5 000 FCFA,https://www.jumia.sn/tc2i-cable-vga-vers-vga-3m-ordinateur-pc-moniteur-ecran-projecteur-cbl16-9766382.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/36679/1.jpg?5779,False,,,,
Generic Comfast Adaptateur Usb Wifi et Bluetooth 2 en 1 sans Fil 150Mbps,8 000 FCFA,https://www.jumia.sn/generic-comfast-adaptateur-usb-wifi-et-bluetooth-2-en-1-sans-fil-150mbps-6063251.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/23606/1.jpg?4140,False,12 000 FCFA,33%,4.3 out of 5,(4)
Generic Câble USB 2.0 Type A vers Mini USB Data Charging Compatible avec Manette PS3,1 700 FCFA,https://www.jumia.sn/cable-usb-2.0-type-a-vers-mini-usb-data-charging-compatible-avec-manette-ps3-generic-mpg30428.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/64549/1.jpg?2664,False,5 000 FCFA,66%,2.5 out of 5,(2)
Pomme Câble USB 3.0 pour disque dur externe,2 450 FCFA,https://www.jumia.sn/pomme-cable-usb-3.0-pour-disque-dur-externe-9459702.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/79549/1.jpg?8305,False,3 500 FCFA,30%,4 out of 5,(4)
Original Câble USB Type A vers Type C Data and fast Charging,4 000 FCFA,https://www.jumia.sn/original-cable-usb-type-a-vers-type-c-data-and-fast-charging-9974143.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/14799/1.jpg?3474,False,15 000 FCFA,73%,,
Generic Câble USB support téléphonique,5 000 FCFA,https://www.jumia.sn/generic-cable-usb-support-telephonique-10023558.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/532001/1.jpg?9307,False,,,,
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés -blanc,5 375 FCFA,https://www.jumia.sn/generic-10000mah-power-banks-4-cables-tres-mince-de-charge-integres-blanc-9782006.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/02879/1.jpg?8236,False,14 500 FCFA,63%,,
Unbrand Clé USB OTG 512Go 2 en 1 Flash Drive Photo-Stick Android Samsung PC /MAC,29 900 FCFA,https://www.jumia.sn/unbrand-cle-usb-otg-512go-2-en-1-flash-drive-photo-stick-android-samsung-pc-mac-8874986.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/94788/1.jpg?4418,False,50 000 FCFA,40%,4 out of 5,(1)
Pomme Patch câble réseau RJ45 FTP Cat6 3m,2 100 FCFA,https://www.jumia.sn/pomme-patch-cable-reseau-rj45-ftp-cat6-3m-9354035.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/04539/1.jpg?8378,False,3 000 FCFA,30%,,
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés -blanc,5 500 FCFA,https://www.jumia.sn/generic-10000mah-power-banks-4-cables-tres-mince-de-charge-integres-blanc-9972780.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/72799/1.jpg?4412,False,8 000 FCFA,31%,,
