name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Câble De Charge Magnétique - 3 En 1,1 998 FCFA,https://www.jumia.sn/generic-cable-de-charge-magnetique-3-en-1-8360321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/30638/1.jpg?3447,True,3 918 FCFA,49%,3.9 out of 5,(32)
Oraimo 3 in 1 Câble de charge micro USB Oraimo - Garantie 180 Jours,3 900 FCFA,https://www.jumia.sn/oraimo-3-in-1-cable-de-charge-micro-usb-oraimo-garantie-180-jours-9959217.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/29599/1.jpg?3281,False,5 000 FCFA,22%,4 out of 5,(1)
Generic CABLE CHARGEUR 3 EN (MICRO/ IOS/ TYPE C),1 900 FCFA,https://www.jumia.sn/generic-cable-chargeur-3-en-micro-ios-type-c-9900010.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/00099/1.jpg?4808,False,5 000 FCFA,62%,4.3 out of 5,(3)
"Topk Câble magnétique LED 3 en1 - Compatible iPhone, Android, USB C - Fast Charging",2 900 FCFA,https://www.jumia.sn/cable-magnetique-led-3-en1-compatible-iphone-android-usb-c-fast-charging-topk-mpg38193.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/19639/1.jpg?6562,False,3 900 FCFA,26%,3.9 out of 5,(20)
Generic CÂBLE DE CHARGE USB TROIS EN 1 (micro/ ios/ type C),1 800 FCFA,https://www.jumia.sn/generic-cable-de-charge-usb-trois-en-1-micro-ios-type-c-9898683.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/68989/1.jpg?4808,False,4 000 FCFA,55%,5 out of 5,(1)
Rohs CABLE POUR IPHONE USB-C VERS LIGHNING TOUS IPHONES JUSQUA 13 PRO MAX,2 720 FCFA,https://www.jumia.sn/rohs-cable-pour-iphone-usb-c-vers-lighning-tous-iphones-jusqua-13-pro-max-9926699.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/66299/1.jpg?1053,False,4 000 FCFA,32%,5 out of 5,(2)
Oraimo ORAIMO-CABLE MICRO USB INCASSABLE,990 FCFA,https://www.jumia.sn/oraimo-oraimo-cable-micro-usb-incassable-9900337.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/30099/1.jpg?9251,False,2 500 FCFA,60%,,
Generic MT USB Charger Sync Data Cable for ASUS Eee Pad Tablet Transformer TF101 TF201-black,7 235 FCFA,https://www.jumia.sn/generic-mt-usb-charger-sync-data-cable-for-asus-eee-pad-tablet-transformer-tf101-tf201-black-2036790.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/76302/1.jpg?4076,False,14 186 FCFA,49%,,
Generic Câble USB Lightning Compatible avec iPhone X/8/7/6/5 - 1m Blanc,1 290 FCFA,https://www.jumia.sn/cable-usb-lightning-compatible-avec-iphone-x8765-1m-blanc-generic-mpg9511.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/04535/1.jpg?1860,False,6 000 FCFA,79%,4.3 out of 5,(6)
Generic 1m 2.1A Output USB To Micro USB Magnetic Charging Cable(Grey),1 348 FCFA,https://www.jumia.sn/generic-1m-2.1a-output-usb-to-micro-usb-magnetic-charging-cablegrey-5604284.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/24065/1.jpg?4017,False,2 643 FCFA,49%,,
Generic Network Lan Cable Tester Rj45 Rj-11 Cat5 Utp Ethernet Tool 6 E Rj11 8P white,7 915 FCFA,https://www.jumia.sn/generic-network-lan-cable-tester-rj45-rj-11-cat5-utp-ethernet-tool-6-e-rj11-8p-white-2160476.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/40612/1.jpg?3924,False,15 520 FCFA,49%,,
