name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Ferrero Pot Nutella - 750G,4 425 FCFA,https://www.jumia.sn/ferrero-pot-nutella-750g-9163364.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/33619/1.jpg?4538,True,4 580 FCFA,3%,4.8 out of 5,(10)
Ferrero Pot Nutella - 350G,2 300 FCFA,https://www.jumia.sn/ferrero-pot-nutella-350g-9163365.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/33619/1.jpg?4633,True,2 380 FCFA,3%,3.9 out of 5,(35)
Delia Pâte à Tartiner - 500G,1 050 FCFA,https://www.jumia.sn/pate-a-tartiner-500g-delia-mpg30654.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/95688/1.jpg?0386,True,,,3.6 out of 5,(5)
Nutella Pâte à Tartiner Nutella -180G,1 910 FCFA,https://www.jumia.sn/nutella-pate-a-tartiner-nutella-180g-5666515.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/56665/1.jpg?3387,False,,,4.2 out of 5,(13)
Delia Pâte à Tartiner - 1 kg,1 490 FCFA,https://www.jumia.sn/delia-pate-a-tartiner-1-kg-6061972.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/91606/1.jpg?6310,False,,,4.2 out of 5,(5)
Nutella Pot De Chocolat À Tartiner - 350g,2 590 FCFA,https://www.jumia.sn/nutella-pot-de-chocolat-a-tartiner-350g-6073857.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/83706/1.jpg?1750,False,,,4.7 out of 5,(3)
Autre Grille-pain 2 FENTES HIGH ONE,8 900 FCFA,https://www.jumia.sn/grille-pain-2-fentes-high-one-autre-mpg30968.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/84588/1.jpg?3089,False,9 955 FCFA,11%,4 out of 5,(1)
Pony Cocktail Au Sirop 420g,1 210 FCFA,https://www.jumia.sn/pony-cocktail-au-sirop-420g-9785171.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/15879/1.jpg?5745,True,,,,
"CANADA GRANDEA Sirop D'érable 250ml ""Maple Joe""",4 280 FCFA,https://www.jumia.sn/canada-grandea-sirop-derable-250ml-maple-joe-9957190.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/17599/1.jpg?6993,True,,,,
Seau Pâte à Tartiner - Chocomousse - 1 kg,1 575 FCFA,https://www.jumia.sn/carrefour-seau-pate-a-tartiner-chocomousse-1-kg-6061985.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/91606/1.jpg?6311,False,,,3.5 out of 5,(4)
Infusion Bio Menthe Douce Et Thym - 20 Sachets - 30g,1 400 FCFA,https://www.jumia.sn/carrefour-infusion-bio-menthe-douce-et-thym-20-sachets-30g-6062141.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/12606/1.jpg?6331,False,,,,
Tapioca - 500g,1 875 FCFA,https://www.jumia.sn/carrefour-tapioca-500g-6071969.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/91706/1.jpg?6351,False,,,4 out of 5,(2)
Biscuits Chocolat/laitﾠ- 125g,1 025 FCFA,https://www.jumia.sn/carrefour-biscuits-chocolatlait-125g-2307388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/37032/1.jpg?2113,False,,,5 out of 5,(2)
Moukhamssa - 250g,300 FCFA,https://www.jumia.sn/pastami-moukhamssa-250g-6063014.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/03606/1.jpg?6355,False,,,4.5 out of 5,(2)
Nutella Pot Nutella Ferrero - 750G,4 990 FCFA,https://www.jumia.sn/nutella-pot-nutella-ferrero-750g-5666514.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/56665/1.jpg?8657,False,,,4.7 out of 5,(11)
Bio Naturelle Grains de Fenouil - 100 Gr,3 000 FCFA,https://www.jumia.sn/bio-naturelle-grains-de-fenouil-100-gr-10023531.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/532001/1.jpg?9306,False,5 000 FCFA,40%,,
Cornflakes - Choco Pops - 375G,1 405 FCFA,https://www.jumia.sn/carrefour-cornflakes-choco-pops-375g-6061813.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/81606/1.jpg?6293,False,,,4.6 out of 5,(5)
Pony Pêches Au Sirop 410g,1 160 FCFA,https://www.jumia.sn/pony-peches-au-sirop-410g-9785168.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/15879/1.jpg?5918,True,,,,
Generic Boite - Pate à Fataya- 500g,1 200 FCFA,https://www.jumia.sn/generic-boite-pate-a-fataya-500g-9944310.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/34499/1.jpg?9685,False,,,,
Hellema Fourre Tout Choco,1 750 FCFA,https://www.jumia.sn/hellema-fourre-tout-choco-6064705.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/74606/1.jpg?9003,False,,,,
Nestle Boite De Cérélac Biscuité - 400g,2 650 FCFA,https://www.jumia.sn/nestle-boite-de-cerelac-biscuite-400g-6073901.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/93706/1.jpg?1752,False,,,4.5 out of 5,(6)
Céréales 3 Chocolats Crunchy - 500g,3 090 FCFA,https://www.jumia.sn/carrefour-cereales-3-chocolats-crunchy-500g-2266137.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/16622/1.jpg?2606,False,,,,
Generic Cookies Rice Raisin,495 FCFA,https://www.jumia.sn/generic-cookies-rice-raisin-6064640.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/64606/1.jpg?8996,False,,,,
Generic Couscous aromatisé,1 300 FCFA,https://www.jumia.sn/generic-couscous-aromatise-9928352.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/38299/1.jpg?3870,False,,,,
Céréales Chocolat Au Lait & Noisettes Crunchy- 500g,3 000 FCFA,https://www.jumia.sn/carrefour-cereales-chocolat-au-lait-noisettes-crunchy-500g-2209963.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/99022/1.jpg?0437,False,,,3 out of 5,(2)
