name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Darling Yaki Lisse - Qualité supérieure - Couleur T1 / 27 - Supporte le fer à lisser,2 600 FCFA,https://www.jumia.sn/darling-yaki-lisse-qualite-superieure-couleur-t1-27-supporte-le-fer-a-lisser-83401.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/438/1.jpg?4281,True,3 340 FCFA,22%,3.8 out of 5,(22)
Darling Yaki Lisse - Qualité Supérieure - Couleur T1 / 39 - Supporte le fer à lisser,2 800 FCFA,https://www.jumia.sn/darling-yaki-lisse-qualite-superieure-couleur-t1-39-supporte-le-fer-a-lisser-74221.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/247/1.jpg?8679,True,3 340 FCFA,16%,3.3 out of 5,(9)
Darling Mèches Crochet Braids Afro Kinky - Natural Curl - Couleur T1/30,1 980 FCFA,https://www.jumia.sn/meches-crochet-braids-afro-kinky-natural-curl-couleur-t130-darling-mpg7612.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/273/1.jpg?7837,True,2 200 FCFA,10%,,
Darling Mèche Bambi Locks - Couleur 02 - Style Raggae - Afro vibes,2 700 FCFA,https://www.jumia.sn/darling-meche-bambi-locks-couleur-02-style-raggae-afro-vibes-9838885.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/88389/1.jpg?5877,True,3 100 FCFA,13%,,
Darling Mèches Crochet Braids Afro Kinky - Natural Curl - Couleur 1,1 890 FCFA,https://www.jumia.sn/darling-meches-crochet-braids-afro-kinky-natural-curl-couleur-1-37279.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/273/1.jpg?8086,True,2 200 FCFA,14%,4.2 out of 5,(5)
Darling Packet de mèche Super Magic -100% Kanekalon - Couleur 30 - Rousse,1 600 FCFA,https://www.jumia.sn/darling-packet-de-meche-super-magic-100-kanekalon-couleur-30-rousse-9839290.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/29389/1.jpg?8335,True,1 700 FCFA,6%,4.7 out of 5,(3)
Darling Paquet de Super Magic -100% Kanekalon - Couleur 2,1 600 FCFA,https://www.jumia.sn/darling-paquet-de-super-magic-100-kanekalon-couleur-2-9839288.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/29389/1.jpg?9847,True,1 700 FCFA,6%,,
Darling Mèches Crochet Braids Afro Kinky - Natural Curl - Couleur T2/27,1 980 FCFA,https://www.jumia.sn/darling-meches-crochet-braids-afro-kinky-natural-curl-couleur-t227-37281.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/273/1.jpg?1830,True,2 200 FCFA,10%,4 out of 5,(4)
Darling Paquet de mèche Super Magic -100% Kanekalon - T2 - Mauve,1 600 FCFA,https://www.jumia.sn/darling-paquet-de-meche-super-magic-100-kanekalon-t2-mauve-9851512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/51589/1.jpg?9095,True,1 700 FCFA,6%,4.5 out of 5,(2)
Darling Super Magic -100% Kanekalon - 2 Tons - Couleur T2/39,1 600 FCFA,https://www.jumia.sn/darling-super-magic-100-kanekalon-2-tons-couleur-t239-67215.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/276/1.jpg?8225,True,1 700 FCFA,6%,,
